sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,86115885558266,0.063171,0.041077,54.0,10000
2,86115895556675,0.062744,0.040832,55.0,10000
3,86115905555971,0.060669,0.039307,54.0,10000
4,86115915555549,0.062927,0.041015,55.0,10000
5,86115925556516,0.065185,0.042481,56.0,10000
6,86115935556226,0.064698,0.040649,53.0,10000
7,86115945555908,0.065490,0.040833,56.0,10000
8,86115955555934,0.060364,0.039184,56.0,10000
9,86115965555960,0.063049,0.040832,54.0,10000
10,86115975556110,0.062256,0.040711,55.0,10000
11,86115985555137,0.065612,0.042907,57.0,10000
12,86115995555390,0.059326,0.038635,55.0,10000
13,86116005555834,0.064819,0.042115,55.0,10000
14,86116015555678,0.063050,0.040954,57.0,10000
15,86116025555514,0.062316,0.040649,56.0,10000
16,86116035555516,0.061585,0.040039,56.0,10000
17,86116045555878,0.062133,0.040528,56.0,10000
18,86116055556025,0.063660,0.041442,56.0,10000
19,86116065554846,0.061645,0.040100,56.0,10000
20,86116075555309,0.060791,0.039612,54.0,10000
21,86116085555848,0.065124,0.042542,56.0,10000
22,86116095555439,0.061463,0.040100,56.0,10000
23,86116105556152,0.061279,0.039855,56.0,10000
24,86116115555233,0.064514,0.042053,56.0,10000
25,86116125556044,0.063049,0.041077,56.0,10000
26,86116135555569,0.063781,0.040283,56.0,10000
27,86116145555853,0.065247,0.040649,56.0,10000
28,86116155555503,0.061523,0.039917,55.0,10000
29,86116165555601,0.063965,0.041687,55.0,10000
30,86116175555066,0.062683,0.040833,56.0,10000
31,86116185555507,0.062988,0.041015,54.0,10000
32,86116195555208,0.060608,0.039429,55.0,10000
33,86116205555060,0.064330,0.041931,55.0,10000
34,86116215555771,0.061097,0.039734,56.0,10000
35,86116225556034,0.064086,0.041809,56.0,10000
36,86116235555174,0.062622,0.040710,54.0,10000
37,86116245555741,0.061646,0.040222,56.0,10000
38,86116255554946,0.062988,0.041077,55.0,10000
39,86116265555518,0.063781,0.041564,54.0,10000
40,86116275555973,0.060303,0.039124,55.0,10000
41,86116285554975,0.064819,0.042358,56.0,10000
42,86116295555285,0.062927,0.041016,56.0,10000
43,86116305555448,0.061645,0.040161,56.0,10000
44,86116315555765,0.062866,0.041015,56.0,10000
45,86116325555814,0.060608,0.039307,57.0,10000
46,86116335555921,0.065002,0.042297,54.0,10000
47,86116345555014,0.062012,0.040527,54.0,10000
48,86116355555769,0.066711,0.041443,55.0,10000
49,86116365555787,0.064270,0.040710,56.0,10000
50,86116375555807,0.062012,0.040467,55.0,10000
51,86116385555312,0.062927,0.041015,56.0,10000
52,86116395555266,0.060547,0.039429,54.0,10000
53,86116405555335,0.062438,0.040710,55.0,10000
54,86116415554971,0.064026,0.041626,56.0,10000
55,86116425555431,0.062012,0.040405,56.0,10000
56,86116435555939,0.061401,0.039917,56.0,10000
57,86116445555554,0.063720,0.041565,56.0,10000
58,86116455555536,0.063355,0.041320,56.0,10000
59,86116465555686,0.060546,0.039429,56.0,10000
60,86116475555776,0.064331,0.041992,56.0,10000
61,86116485555501,0.060181,0.039063,54.0,10000
62,86116495555878,0.064697,0.042297,56.0,10000
63,86116505555077,0.062866,0.041015,56.0,10000
64,86116515555495,0.059875,0.038941,57.0,10000
65,86116525555756,0.064087,0.041687,54.0,10000
66,86116535555878,0.062439,0.040649,55.0,10000
67,86116545555586,0.063476,0.041321,56.0,10000
68,86116555555730,0.063477,0.039245,56.0,10000
69,86116565556058,0.067199,0.042603,55.0,10000
70,86116575555928,0.062195,0.040466,56.0,10000
71,86116585555878,0.062561,0.040710,57.0,10000
72,86116595555485,0.062316,0.040588,56.0,10000
73,86116605555825,0.062805,0.041016,56.0,10000
74,86116615556080,0.061585,0.040161,56.0,10000
75,86116625554924,0.062744,0.040954,56.0,10000
76,86116635555531,0.062500,0.040650,56.0,10000
77,86116645555229,0.063537,0.041442,56.0,10000
78,86116655555457,0.061584,0.039978,56.0,10000
79,86116665555673,0.063843,0.041504,56.0,10000
80,86116675554910,0.061767,0.040161,56.0,10000
81,86116685555351,0.063538,0.041321,56.0,10000
82,86116695555689,0.059936,0.039062,56.0,10000
83,86116705555653,0.062622,0.040833,55.0,10000
84,86116715555609,0.063599,0.041565,56.0,10000
85,86116725555197,0.061462,0.039977,56.0,10000
86,86116735555172,0.062927,0.041138,56.0,10000
87,86116745555246,0.064453,0.041992,56.0,10000
88,86116755555921,0.061096,0.039673,56.0,10000
89,86116765554996,0.065429,0.042114,54.0,10000
90,86116775555212,0.066712,0.041199,56.0,10000
91,86116785555216,0.060974,0.039306,55.0,10000
92,86116795555611,0.065856,0.043396,55.0,10000
93,86116805555357,0.063538,0.041626,55.0,10000
94,86116815555967,0.062195,0.040344,56.0,10000
95,86116825555913,0.059875,0.038879,56.0,10000
96,86116835555138,0.065185,0.042420,56.0,10000
97,86116845555094,0.061585,0.039978,56.0,10000
98,86116855555435,0.063476,0.041198,54.0,10000
99,86116865556133,0.061767,0.040283,55.0,10000
100,86116875555428,0.060669,0.039490,56.0,10000
101,86116885555426,0.064331,0.041870,56.0,10000
