sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,50882242472953,0.058349,0.037720,52.0,10000
2,50882252472210,0.066529,0.033935,53.0,10000
3,50882262471616,0.052062,0.030579,53.0,10000
4,50882272471065,0.060303,0.035766,53.0,10000
5,50882282471335,0.057190,0.034058,53.0,10000
6,50882292471220,0.051513,0.030578,54.0,10000
7,50882302471839,0.062744,0.037232,52.0,10000
8,50882312471123,0.056946,0.033691,53.0,10000
9,50882322471250,0.058838,0.035095,53.0,10000
10,50882332470897,0.056762,0.033631,53.0,10000
11,50882342471856,0.055420,0.032897,52.0,10000
12,50882352471027,0.053711,0.031922,52.0,10000
13,50882362470949,0.057007,0.033752,52.0,10000
14,50882372471698,0.062560,0.037048,53.0,10000
15,50882382471161,0.052063,0.030762,52.0,10000
16,50882392471722,0.057129,0.033752,52.0,10000
17,50882402471280,0.061401,0.036255,53.0,10000
18,50882412471410,0.053345,0.031616,52.0,10000
19,50882422470845,0.062683,0.037048,52.0,10000
20,50882432471018,0.051513,0.034058,53.0,10000
21,50882442471185,0.063904,0.034057,53.0,10000
22,50882452471902,0.054993,0.030579,52.0,10000
23,50882462471957,0.062011,0.036194,53.0,10000
24,50882472471165,0.053284,0.031677,52.0,10000
25,50882482471113,0.060974,0.036194,52.0,10000
26,50882492471480,0.058471,0.034668,53.0,10000
27,50882502471308,0.057129,0.033935,53.0,10000
28,50882512471092,0.057312,0.033874,52.0,10000
29,50882522471319,0.057129,0.034180,52.0,10000
30,50882532471423,0.055724,0.032898,52.0,10000
31,50882542471476,0.056946,0.033691,53.0,10000
32,50882552471685,0.058716,0.034973,54.0,10000
33,50882562471055,0.057312,0.033936,53.0,10000
34,50882572471777,0.051879,0.030639,53.0,10000
35,50882582471090,0.056702,0.033692,52.0,10000
36,50882592471448,0.061218,0.036254,53.0,10000
37,50882602471134,0.057190,0.033997,53.0,10000
38,50882612471189,0.053589,0.031799,52.0,10000
39,50882622471337,0.062377,0.037048,53.0,10000
40,50882632471601,0.055420,0.032776,53.0,10000
41,50882642471149,0.057251,0.033997,53.0,10000
42,50882652471308,0.051208,0.030456,52.0,10000
43,50882662471302,0.065125,0.037476,53.0,10000
44,50882672471807,0.056518,0.031738,53.0,10000
45,50882682471435,0.060669,0.035888,53.0,10000
46,50882692471445,0.057373,0.033814,53.0,10000
47,50882702471444,0.053894,0.032043,53.0,10000
48,50882712471272,0.062683,0.036987,53.0,10000
49,50882722471350,0.052062,0.034119,53.0,10000
50,50882732471350,0.057007,0.030456,52.0,10000
51,50882742471530,0.057678,0.033997,53.0,10000
52,50882752471861,0.056946,0.037048,53.0,10000
53,50882762472161,0.062683,0.033630,53.0,10000
54,50882772471638,0.055969,0.033020,53.0,10000
55,50882782471751,0.057556,0.033936,53.0,10000
56,50882792471923,0.058960,0.034790,53.0,10000
57,50882802471508,0.057190,0.033935,53.0,10000
58,50882812471460,0.052307,0.030945,52.0,10000
59,50882822471414,0.061035,0.036011,53.0,10000
60,50882832471029,0.057128,0.033752,53.0,10000
61,50882842471586,0.059082,0.035034,53.0,10000
62,50882852471189,0.050110,0.029541,54.0,10000
63,50882862471688,0.064819,0.037292,52.0,10000
64,50882872471211,0.059997,0.033692,52.0,10000
65,50882882471670,0.053955,0.031921,52.0,10000
66,50882892471656,0.055054,0.032410,53.0,10000
67,50882902471261,0.064636,0.038391,53.0,10000
68,50882912471508,0.057251,0.033813,52.0,10000
69,50882922471800,0.055664,0.032898,53.0,10000
70,50882932471704,0.058288,0.034668,54.0,10000
71,50882942471904,0.056152,0.033142,52.0,10000
72,50882952471059,0.052918,0.035156,52.0,10000
73,50882962470746,0.063293,0.033691,53.0,10000
74,50882972471125,0.055725,0.032959,52.0,10000
75,50882982471400,0.053650,0.031799,52.0,10000
76,50882992471012,0.062439,0.036927,53.0,10000
77,50883002471525,0.055602,0.032897,53.0,10000
78,50883012471205,0.059265,0.035096,52.0,10000
79,50883022471321,0.051575,0.030517,53.0,10000
80,50883032471646,0.062622,0.037048,52.0,10000
81,50883042471397,0.051636,0.033997,52.0,10000
82,50883052471736,0.060974,0.032531,54.0,10000
83,50883062471435,0.059265,0.035096,53.0,10000
84,50883072471603,0.055419,0.032775,53.0,10000
85,50883082471461,0.060120,0.033753,52.0,10000
86,50883092471671,0.060669,0.034851,53.0,10000
87,50883102470988,0.055663,0.033020,53.0,10000
88,50883112471230,0.058411,0.034729,53.0,10000
89,50883122471102,0.057068,0.033996,53.0,10000
90,50883132471187,0.051696,0.030640,53.0,10000
91,50883142471332,0.060669,0.035827,53.0,10000
92,50883152470962,0.058777,0.034973,52.0,10000
93,50883162471501,0.055053,0.032776,52.0,10000
94,50883172471550,0.058655,0.034912,53.0,10000
95,50883182471976,0.055603,0.033020,52.0,10000
96,50883192471481,0.058349,0.034607,52.0,10000
97,50883202471112,0.055542,0.033020,52.0,10000
98,50883212471838,0.051148,0.030456,52.0,10000
99,50883222471841,0.064636,0.038513,52.0,10000
100,50883232471218,0.056945,0.033692,52.0,10000
101,50883242471300,0.055542,0.033020,53.0,10000
102,50883252471534,0.058166,0.034484,53.0,10000
103,50883262471439,0.057495,0.034058,52.0,10000
104,50883272472193,0.051758,0.030762,52.0,10000
105,50883282471702,0.065979,0.037231,52.0,10000
106,50883292471218,0.058533,0.033630,52.0,10000
107,50883302471544,0.057556,0.034119,52.0,10000
108,50883312471638,0.056396,0.033447,52.0,10000
109,50883322471170,0.058044,0.034424,53.0,10000
110,50883332471344,0.055359,0.032714,52.0,10000
111,50883342471109,0.058960,0.034973,53.0,10000
112,50883352471811,0.056579,0.033631,53.0,10000
113,50883362471389,0.055664,0.032959,52.0,10000
114,50883372471045,0.058594,0.034790,53.0,10000
115,50883382470996,0.052185,0.030883,52.0,10000
116,50883392471101,0.060607,0.035828,52.0,10000
117,50883402471784,0.058960,0.035217,52.0,10000
118,50883412471131,0.051697,0.030701,52.0,10000
119,50883422471797,0.062378,0.037109,53.0,10000
120,50883432471368,0.049499,0.029297,52.0,10000
121,50883442471676,0.063049,0.037475,52.0,10000
122,50883452471346,0.051392,0.030518,52.0,10000
123,50883462471083,0.058654,0.034790,53.0,10000
124,50883472471221,0.061279,0.036316,54.0,10000
125,50883482471093,0.059143,0.035217,53.0,10000
126,50883492471307,0.051941,0.030517,53.0,10000
127,50883502471692,0.064697,0.035889,53.0,10000
128,50883512471255,0.054138,0.031921,53.0,10000
129,50883522471395,0.060791,0.036194,52.0,10000
130,50883532471910,0.053162,0.031616,52.0,10000
131,50883542471179,0.055297,0.032654,53.0,10000
132,50883552471255,0.059204,0.035278,53.0,10000
133,50883562471429,0.060913,0.036011,52.0,10000
134,50883572471795,0.058716,0.034851,53.0,10000
135,50883582471229,0.051513,0.030578,52.0,10000
136,50883592470910,0.057190,0.033813,53.0,10000
137,50883602471395,0.061096,0.036194,52.0,10000
138,50883612471820,0.053101,0.031494,52.0,10000
139,50883622471254,0.062927,0.037293,53.0,10000
140,50883632471160,0.051513,0.030334,53.0,10000
141,50883642471034,0.061646,0.036377,54.0,10000
142,50883652471555,0.058349,0.034607,52.0,10000
143,50883662471597,0.056580,0.033752,53.0,10000
144,50883672472060,0.057067,0.033875,52.0,10000
145,50883682470915,0.058655,0.034728,53.0,10000
146,50883692470922,0.052185,0.030762,52.0,10000
147,50883702470922,0.061096,0.033997,52.0,10000
148,50883712471126,0.063720,0.037170,52.0,10000
149,50883722471582,0.055298,0.032898,52.0,10000
150,50883732470982,0.059143,0.035095,52.0,10000
151,50883742471489,0.055237,0.032654,52.0,10000
152,50883752470938,0.053527,0.031860,53.0,10000
153,50883762470970,0.057373,0.033996,53.0,10000
154,50883772471715,0.056946,0.033753,53.0,10000
155,50883782471690,0.062561,0.036926,53.0,10000
156,50883792471709,0.057251,0.033813,53.0,10000
157,50883802471088,0.057434,0.033997,53.0,10000
158,50883812471510,0.056091,0.033203,52.0,10000
159,50883822470921,0.052978,0.035034,52.0,10000
160,50883832471381,0.063049,0.033630,52.0,10000
161,50883842471662,0.057617,0.033997,53.0,10000
162,50883852471277,0.057007,0.033752,53.0,10000
163,50883862470917,0.051514,0.030518,53.0,10000
164,50883872471889,0.061218,0.036254,53.0,10000
165,50883882471544,0.053039,0.034912,52.0,10000
166,50883892471735,0.057312,0.030396,53.0,10000
167,50883902471447,0.063232,0.037475,52.0,10000
