sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,177803637846864,0.028991,0.009094,43.0,10000
2,177803647844409,0.028381,0.007202,43.0,10000
3,177803657842873,0.023194,0.006226,42.0,10000
4,177803667842915,0.026184,0.006287,42.0,10000
5,177803677842899,0.025940,0.006286,42.0,10000
6,177803687843367,0.026001,0.006653,43.0,10000
7,177803697842244,0.027954,0.006836,43.0,10000
8,177803707844728,0.025573,0.007202,42.0,10000
9,177803717842664,0.029785,0.005676,43.0,10000
10,177803727842908,0.026062,0.006653,43.0,10000
11,177803737842560,0.028259,0.006897,42.0,10000
12,177803747842836,0.026123,0.006653,43.0,10000
13,177803757842127,0.023743,0.005798,42.0,10000
14,177803767842586,0.025879,0.006592,43.0,10000
15,177803777842778,0.028625,0.006958,43.0,10000
16,177803787842221,0.024048,0.006226,43.0,10000
17,177803797842387,0.025635,0.006164,43.0,10000
18,177803807842690,0.026306,0.007324,42.0,10000
19,177803817843142,0.026123,0.005860,43.0,10000
20,177803827842862,0.028320,0.007080,43.0,10000
21,177803837842393,0.023560,0.005798,43.0,10000
22,177803847843155,0.028381,0.007263,43.0,10000
23,177803857842074,0.023498,0.005860,43.0,10000
24,177803867842413,0.026184,0.006591,43.0,10000
25,177803877841961,0.025696,0.006287,42.0,10000
26,177803887842497,0.026001,0.006653,43.0,10000
27,177803897842452,0.025757,0.006958,43.0,10000
28,177803907841986,0.026001,0.005920,43.0,10000
29,177803917845508,0.026733,0.007385,43.0,10000
30,177803927842468,0.028992,0.006714,42.0,10000
31,177803937842670,0.028259,0.006287,43.0,10000
32,177803947842523,0.025879,0.006592,43.0,10000
33,177803957842507,0.025879,0.006286,42.0,10000
34,177803967842038,0.026489,0.006165,43.0,10000
35,177803977843002,0.027954,0.006836,42.0,10000
36,177803987844590,0.023925,0.006836,43.0,10000
37,177803997842409,0.028016,0.006286,43.0,10000
38,177804007843164,0.023925,0.006165,43.0,10000
39,177804017842976,0.025574,0.006225,43.0,10000
40,177804027842175,0.028442,0.007202,44.0,10000
41,177804037842907,0.023682,0.005921,43.0,10000
42,177804047842256,0.028137,0.007141,43.0,10000
43,177804057842429,0.023193,0.005737,43.0,10000
44,177804067842220,0.026245,0.006775,43.0,10000
45,177804077844173,0.025635,0.006287,43.0,10000
46,177804087842116,0.026489,0.006652,42.0,10000
47,177804097842741,0.027588,0.006653,43.0,10000
48,177804107842585,0.026245,0.006775,43.0,10000
49,177804117842715,0.025635,0.006287,43.0,10000
50,177804127842565,0.029480,0.006775,42.0,10000
51,177804137842096,0.027404,0.006103,43.0,10000
52,177804147842194,0.024109,0.006470,43.0,10000
53,177804157842383,0.027832,0.006653,43.0,10000
54,177804167841923,0.026001,0.006653,43.0,10000
55,177804177842516,0.023438,0.005676,43.0,10000
56,177804187842985,0.028808,0.007385,43.0,10000
57,177804197842037,0.025696,0.006226,43.0,10000
58,177804207841975,0.023742,0.006042,43.0,10000
59,177804217843694,0.028443,0.007080,43.0,10000
60,177804227842255,0.026733,0.007019,43.0,10000
61,177804237842073,0.023437,0.005737,42.0,10000
62,177804247842688,0.026062,0.006653,42.0,10000
63,177804257842516,0.025757,0.006470,43.0,10000
64,177804267842486,0.025879,0.006714,42.0,10000
65,177804277842519,0.025940,0.006225,43.0,10000
66,177804287842704,0.026123,0.006775,42.0,10000
67,177804297842219,0.028198,0.006897,43.0,10000
68,177804307842981,0.023804,0.006104,43.0,10000
69,177804317842567,0.025512,0.006225,43.0,10000
70,177804327845188,0.028931,0.007691,43.0,10000
71,177804337842167,0.023620,0.005859,43.0,10000
72,177804347842147,0.029847,0.006592,43.0,10000
73,177804357842157,0.026794,0.006286,42.0,10000
74,177804367841809,0.026123,0.006653,44.0,10000
75,177804377842740,0.026123,0.006409,43.0,10000
76,177804387842906,0.026245,0.006592,43.0,10000
77,177804397842938,0.025513,0.006897,43.0,10000
78,177804407842443,0.026428,0.006164,43.0,10000
79,177804417841835,0.027832,0.006775,43.0,10000
80,177804427842434,0.026062,0.006592,43.0,10000
81,177804437842063,0.023437,0.005798,43.0,10000
82,177804447843345,0.033264,0.006836,42.0,10000
83,177804457844979,0.036926,0.007446,43.0,10000
84,177804467844771,0.030762,0.006348,45.0,10000
85,177804477842449,0.033203,0.006348,43.0,10000
86,177804487844484,0.028320,0.006836,43.0,10000
87,177804497841802,0.025696,0.006286,43.0,10000
88,177804507845093,0.026245,0.006958,43.0,10000
89,177804517842765,0.028259,0.007019,43.0,10000
90,177804527843615,0.024170,0.006226,43.0,10000
91,177804537844650,0.029175,0.007446,43.0,10000
92,177804547844936,0.030578,0.007080,43.0,10000
93,177804557841994,0.027222,0.006470,43.0,10000
94,177804567842349,0.023498,0.006714,43.0,10000
95,177804577842407,0.025513,0.006164,43.0,10000
96,177804587842459,0.026611,0.006165,43.0,10000
97,177804597842635,0.025635,0.006836,42.0,10000
98,177804607842322,0.028625,0.006530,43.0,10000
99,177804617842566,0.023682,0.005799,43.0,10000
100,177804627850656,0.028442,0.007263,43.0,10000
101,177804637842902,0.023255,0.005676,43.0,10000
102,177804647844099,0.026367,0.006958,43.0,10000
103,177804657844806,0.026245,0.007324,43.0,10000
104,177804667842696,0.025940,0.006836,43.0,10000
105,177804677842817,0.028381,0.006165,42.0,10000
106,177804687842667,0.023804,0.006714,43.0,10000
107,177804697844776,0.026428,0.006225,43.0,10000
108,177804707842696,0.028625,0.007263,43.0,10000
109,177804717841905,0.025696,0.006287,43.0,10000
110,177804727842712,0.023743,0.005981,43.0,10000
111,177804737842829,0.028259,0.006897,43.0,10000
112,177804747844812,0.026672,0.007264,43.0,10000
113,177804757843754,0.027710,0.006469,43.0,10000
114,177804767842787,0.029480,0.006592,43.0,10000
115,177804777842302,0.025879,0.006409,43.0,10000
116,177804787842667,0.024047,0.007019,43.0,10000
117,177804797842875,0.025818,0.005676,43.0,10000
118,177804807842937,0.028565,0.007202,42.0,10000
119,177804817842432,0.023498,0.006470,43.0,10000
120,177804827845176,0.026733,0.006408,43.0,10000
121,177804837842614,0.028016,0.006836,43.0,10000
122,177804847842149,0.026123,0.006653,43.0,10000
123,177804857844509,0.026367,0.006653,43.0,10000
124,177804867842530,0.023925,0.006287,43.0,10000
125,177804877841853,0.028321,0.006836,43.0,10000
126,177804887842660,0.026306,0.006713,43.0,10000
127,177804897842650,0.023742,0.006409,42.0,10000
128,177804907842139,0.026367,0.006653,43.0,10000
129,177804917841836,0.028321,0.006286,42.0,10000
130,177804927842676,0.026245,0.006592,42.0,10000
131,177804937842581,0.023498,0.005738,43.0,10000
132,177804947842542,0.028504,0.007202,43.0,10000
133,177804957844170,0.025573,0.006408,43.0,10000
134,177804967842686,0.029785,0.006714,43.0,10000
135,177804977841774,0.028137,0.006836,43.0,10000
136,177804987842529,0.023499,0.006775,42.0,10000
137,177804997844453,0.026306,0.005981,43.0,10000
138,177805007842816,0.028320,0.007142,43.0,10000
139,177805017841914,0.025818,0.006225,43.0,10000
140,177805027842581,0.026062,0.006592,43.0,10000
141,177805037841956,0.023743,0.005859,43.0,10000
142,177805047842301,0.026062,0.007263,43.0,10000
143,177805057842050,0.025695,0.006226,43.0,10000
144,177805067844534,0.026428,0.007141,42.0,10000
145,177805077842893,0.026001,0.005676,43.0,10000
146,177805087842893,0.025879,0.006531,43.0,10000
147,177805097842665,0.025574,0.006226,43.0,10000
148,177805107842607,0.026184,0.006713,43.0,10000
149,177805117842284,0.025879,0.006287,43.0,10000
150,177805127842148,0.026062,0.006531,42.0,10000
151,177805137842848,0.025573,0.006775,43.0,10000
152,177805147842249,0.026428,0.006775,43.0,10000
153,177805157842275,0.025696,0.005676,43.0,10000
154,177805167843371,0.028198,0.007202,43.0,10000
155,177805177842346,0.025879,0.006348,42.0,10000
156,177805187842805,0.031067,0.006775,43.0,10000
157,177805197842242,0.023743,0.005798,43.0,10000
158,177805207842711,0.025634,0.006409,43.0,10000
159,177805217845035,0.026367,0.006835,43.0,10000
160,177805227842743,0.025940,0.006470,42.0,10000
161,177805237842300,0.028198,0.006714,43.0,10000
162,177805247842789,0.025635,0.006287,42.0,10000
163,177805257842710,0.023682,0.006530,43.0,10000
164,177805267842850,0.028198,0.006287,43.0,10000
165,177805277842294,0.023376,0.005859,43.0,10000
166,177805287842919,0.025757,0.006287,43.0,10000
167,177805297842251,0.025940,0.006348,43.0,10000
168,177805307841913,0.028320,0.006774,43.0,10000
169,177805317842684,0.023255,0.006348,43.0,10000
170,177805327842538,0.026184,0.005676,43.0,10000
171,177805337842821,0.027954,0.006897,43.0,10000
172,177805347842450,0.023681,0.005860,43.0,10000
173,177805357842215,0.028076,0.006836,43.0,10000
174,177805367844263,0.023987,0.006225,43.0,10000
175,177805377842502,0.029053,0.007080,42.0,10000
176,177805387842492,0.031189,0.006226,43.0,10000
177,177805397842098,0.023681,0.005859,42.0,10000
178,177805407842335,0.028687,0.006897,43.0,10000
179,177805417842003,0.023376,0.005798,43.0,10000
180,177805427842293,0.028076,0.006897,43.0,10000
181,177805437842459,0.023865,0.005982,43.0,10000
182,177805447842501,0.027954,0.006836,43.0,10000
183,177805457842801,0.023926,0.006103,43.0,10000
184,177805467842586,0.025817,0.007019,43.0,10000
185,177805477843084,0.025818,0.005677,43.0,10000
186,177805487842771,0.026184,0.006469,43.0,10000
187,177805497845434,0.025940,0.006531,43.0,10000
188,177805507842185,0.026245,0.006470,43.0,10000
189,177805517842006,0.025757,0.006347,43.0,10000
190,177805527845034,0.026306,0.006653,43.0,10000
191,177805537844064,0.028320,0.007141,43.0,10000
192,177805547841951,0.023804,0.005982,42.0,10000
193,177805557842133,0.026245,0.006469,43.0,10000
194,177805567842537,0.026123,0.006287,43.0,10000
195,177805577844929,0.028992,0.007446,42.0,10000
196,177805587843422,0.024169,0.006104,43.0,10000
197,177805597841856,0.029663,0.006164,43.0,10000
198,177805607842230,0.029908,0.006836,43.0,10000
199,177805617841928,0.023376,0.005860,43.0,10000
200,177805627841364,0.025940,0.006408,42.0,10000
201,177805637843392,0.026062,0.006348,43.0,10000
202,177805647843985,0.027832,0.006836,43.0,10000
203,177805657848298,0.026672,0.006775,43.0,10000
204,177805667842585,0.023498,0.005981,43.0,10000
205,177805677842569,0.028321,0.006775,42.0,10000
206,177805687842527,0.023864,0.005798,43.0,10000
207,177805697843239,0.028077,0.006836,43.0,10000
208,177805707842162,0.023559,0.006531,42.0,10000
209,177805717842351,0.025696,0.006348,43.0,10000
210,177805727842162,0.026062,0.005676,43.0,10000
211,177805737843083,0.025879,0.006897,43.0,10000
212,177805747842578,0.028015,0.006225,43.0,10000
213,177805757842084,0.026062,0.006409,43.0,10000
214,177805767842767,0.023620,0.005859,43.0,10000
215,177805777841856,0.025757,0.006287,43.0,10000
216,177805787845120,0.029114,0.007324,43.0,10000
217,177805797842656,0.027160,0.005738,43.0,10000
218,177805807843021,0.029175,0.006896,43.0,10000
219,177805817842500,0.023804,0.005860,43.0,10000
220,177805827842125,0.025939,0.006409,43.0,10000
221,177805837842301,0.027893,0.006774,43.0,10000
222,177805847842194,0.023499,0.005860,43.0,10000
223,177805857842125,0.025635,0.006286,43.0,10000
224,177805867842656,0.025878,0.006348,43.0,10000
225,177805877841985,0.028077,0.006958,43.0,10000
226,177805887842161,0.023498,0.005798,43.0,10000
227,177805897842578,0.026184,0.006531,43.0,10000
228,177805907841914,0.025940,0.006409,43.0,10000
229,177805917842981,0.026184,0.006347,43.0,10000
230,177805927842343,0.025818,0.006348,43.0,10000
231,177805937842636,0.026489,0.006287,43.0,10000
232,177805947842151,0.028259,0.006958,43.0,10000
233,177805957842014,0.023865,0.006469,43.0,10000
234,177805967842327,0.025818,0.005799,43.0,10000
235,177805977841979,0.025634,0.006836,43.0,10000
236,177805987842014,0.029358,0.006347,43.0,10000
237,177805997844231,0.024597,0.006165,43.0,10000
238,177806007844501,0.030457,0.006897,43.0,10000
239,177806017842506,0.027526,0.005859,43.0,10000
240,177806027842708,0.028931,0.006958,43.0,10000
