sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,190700620457189,0.058411,0.037354,54.0,10000
2,190700630456376,0.056335,0.036316,54.0,10000
3,190700640456097,0.058471,0.037597,54.0,10000
4,190700650455413,0.057495,0.036865,54.0,10000
5,190700660455417,0.057740,0.036804,54.0,10000
6,190700670455945,0.057678,0.036682,54.0,10000
7,190700680455620,0.058410,0.037171,54.0,10000
8,190700690455414,0.058899,0.037536,54.0,10000
9,190700700455821,0.057983,0.036804,54.0,10000
10,190700710455404,0.057495,0.036560,54.0,10000
11,190700720455737,0.059082,0.037537,53.0,10000
12,190700730455222,0.058105,0.036865,54.0,10000
13,190700740455445,0.058106,0.037048,54.0,10000
14,190700750456186,0.058288,0.037293,54.0,10000
15,190700760456066,0.060425,0.036926,54.0,10000
16,190700770455804,0.060729,0.036987,54.0,10000
17,190700780455796,0.057373,0.036621,54.0,10000
18,190700790455859,0.057923,0.037170,54.0,10000
19,190700800455455,0.057678,0.036926,54.0,10000
20,190700810455420,0.058288,0.037415,54.0,10000
21,190700820455850,0.056641,0.036194,54.0,10000
22,190700830455492,0.059081,0.037780,54.0,10000
23,190700840455780,0.057251,0.036621,54.0,10000
24,190700850456045,0.058655,0.037354,54.0,10000
25,190700860455848,0.057312,0.036438,54.0,10000
26,190700870455453,0.058227,0.036926,54.0,10000
27,190700880455985,0.058044,0.036987,54.0,10000
28,190700890455119,0.058289,0.037292,54.0,10000
29,190700900455207,0.057983,0.037171,54.0,10000
30,190700910456004,0.058594,0.037231,54.0,10000
31,190700920455866,0.058288,0.036926,54.0,10000
32,190700930455678,0.057861,0.036804,54.0,10000
33,190700940455974,0.057800,0.036866,54.0,10000
34,190700950455684,0.058106,0.037170,54.0,10000
35,190700960455630,0.058654,0.037414,54.0,10000
36,190700970455516,0.057862,0.036621,54.0,10000
37,190700980456121,0.063049,0.037476,54.0,10000
38,190700990455665,0.059021,0.036621,54.0,10000
39,190701000455439,0.058654,0.037475,54.0,10000
40,190701010455339,0.058167,0.036804,54.0,10000
41,190701020455329,0.058105,0.037232,54.0,10000
42,190701030455821,0.057373,0.036621,54.0,10000
43,190701040455401,0.057129,0.036560,54.0,10000
44,190701050455086,0.058471,0.037353,54.0,10000
45,190701060456294,0.057922,0.036865,54.0,10000
46,190701070455911,0.058899,0.037537,54.0,10000
47,190701080455461,0.057861,0.036621,54.0,10000
48,190701090456010,0.059021,0.037536,54.0,10000
49,190701100455398,0.057434,0.036560,54.0,10000
50,190701110455114,0.057800,0.036804,54.0,10000
51,190701120455681,0.058533,0.037293,54.0,10000
52,190701130455400,0.058593,0.037109,54.0,10000
53,190701140456101,0.058106,0.036804,54.0,10000
54,190701150455496,0.058166,0.037048,55.0,10000
55,190701160455921,0.057983,0.036743,54.0,10000
56,190701170455845,0.059021,0.037659,54.0,10000
57,190701180455537,0.061951,0.037109,54.0,10000
58,190701190455933,0.058227,0.036438,54.0,10000
59,190701200455744,0.059021,0.037598,54.0,10000
60,190701210455322,0.057800,0.036682,54.0,10000
61,190701220455783,0.057922,0.036926,54.0,10000
62,190701230455320,0.058228,0.037109,54.0,10000
63,190701240455374,0.058532,0.037232,53.0,10000
64,190701250456124,0.058045,0.037048,54.0,10000
65,190701260455586,0.057433,0.036865,54.0,10000
66,190701270456067,0.057679,0.036682,54.0,10000
67,190701280455822,0.058837,0.037292,54.0,10000
68,190701290455169,0.058106,0.037049,54.0,10000
69,190701300455689,0.057067,0.036377,54.0,10000
70,190701310455724,0.059082,0.037719,54.0,10000
71,190701320455405,0.057312,0.036438,54.0,10000
72,190701330455510,0.058594,0.037292,56.0,10000
73,190701340455852,0.057800,0.036621,54.0,10000
74,190701350455797,0.058838,0.037659,54.0,10000
75,190701360455660,0.058227,0.037170,54.0,10000
76,190701370456207,0.056946,0.036194,54.0,10000
77,190701380455838,0.058349,0.037109,54.0,10000
78,190701390455639,0.059997,0.037232,54.0,10000
79,190701400455914,0.061646,0.036987,54.0,10000
80,190701410456004,0.059021,0.037353,54.0,10000
81,190701420455463,0.058044,0.036804,54.0,10000
82,190701430456328,0.065307,0.039246,54.0,10000
83,190701440455806,0.064759,0.038574,54.0,10000
84,190701450455573,0.060729,0.037659,54.0,10000
85,190701460455005,0.058411,0.036804,54.0,10000
86,190701470455742,0.058838,0.037231,55.0,10000
87,190701480455491,0.057861,0.036743,54.0,10000
88,190701490455770,0.059021,0.037293,54.0,10000
89,190701500455231,0.058532,0.036560,54.0,10000
90,190701510455126,0.059570,0.037353,55.0,10000
