sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,77432518049032,0.060974,0.037842,56.0,10000
2,77432528048552,0.058838,0.037048,57.0,10000
3,77432538048428,0.058594,0.039856,56.0,10000
4,77432548047949,0.063537,0.036804,56.0,10000
5,77432558048500,0.055115,0.034912,55.0,10000
6,77432568048296,0.056640,0.035522,55.0,10000
7,77432578047745,0.061462,0.039002,56.0,10000
8,77432588048135,0.058533,0.036682,56.0,10000
9,77432598047935,0.058044,0.040100,56.0,10000
10,77432608048566,0.061279,0.034729,56.0,10000
11,77432618048431,0.058350,0.039550,56.0,10000
12,77432628048316,0.063476,0.036805,57.0,10000
13,77432638048078,0.055420,0.034851,55.0,10000
14,77432648047684,0.057434,0.035949,55.0,10000
15,77432658047987,0.059692,0.037659,56.0,10000
16,77432668048091,0.064270,0.040344,56.0,10000
17,77432678047612,0.054443,0.034302,56.0,10000
18,77432688048213,0.063843,0.039978,56.0,10000
19,77432698047534,0.059143,0.037109,56.0,10000
20,77432708048701,0.059631,0.037414,57.0,10000
21,77432718047635,0.057068,0.034729,56.0,10000
22,77432728047804,0.062194,0.037048,57.0,10000
23,77432738048389,0.063294,0.039856,57.0,10000
24,77432748048878,0.059631,0.037537,56.0,10000
25,77432758047529,0.054687,0.034546,54.0,10000
26,77432768048361,0.063660,0.039978,56.0,10000
27,77432778047881,0.055114,0.034851,56.0,10000
28,77432788047498,0.058411,0.036682,56.0,10000
29,77432798048192,0.063537,0.039916,56.0,10000
30,77432808048025,0.055115,0.034973,56.0,10000
31,77432818048453,0.057739,0.036194,54.0,10000
32,77432828047930,0.065002,0.041016,56.0,10000
33,77432838047626,0.054505,0.034424,55.0,10000
34,77432848047515,0.057311,0.036071,54.0,10000
35,77432858048256,0.060364,0.038208,56.0,10000
36,77432868048440,0.059753,0.037598,56.0,10000
37,77432878048329,0.058472,0.036804,56.0,10000
38,77432888047816,0.058960,0.037048,56.0,10000
