sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,101840572184243,0.031250,0.009583,41.0,10000
2,101840582181378,0.027710,0.007324,42.0,10000
3,101840592180076,0.028503,0.006897,41.0,10000
4,101840602179565,0.024781,0.005981,41.0,10000
5,101840612180164,0.030212,0.007446,41.0,10000
6,101840622178377,0.026550,0.006043,42.0,10000
7,101840632179034,0.031616,0.006775,41.0,10000
8,101840642178643,0.028137,0.006470,43.0,10000
9,101840652180095,0.028199,0.006896,42.0,10000
10,101840662178793,0.027832,0.006470,42.0,10000
11,101840672181335,0.029480,0.007630,41.0,10000
12,101840682178018,0.024352,0.005798,42.0,10000
13,101840692178855,0.028992,0.006714,42.0,10000
14,101840702180694,0.028320,0.006836,42.0,10000
15,101840712179314,0.027710,0.006469,42.0,10000
16,101840722178549,0.027771,0.006287,42.0,10000
17,101840732181068,0.030274,0.007568,42.0,10000
18,101840742179278,0.026122,0.006226,43.0,10000
19,101840752178594,0.026856,0.006164,43.0,10000
20,101840762181169,0.031250,0.007447,42.0,10000
21,101840772178392,0.024780,0.005798,42.0,10000
22,101840782178409,0.028503,0.007019,42.0,10000
23,101840792181042,0.030396,0.007568,42.0,10000
24,101840802178851,0.025512,0.005921,42.0,10000
25,101840812180638,0.030640,0.007751,41.0,10000
26,101840822180928,0.026245,0.006470,43.0,10000
27,101840832178662,0.032349,0.006592,43.0,10000
28,101840842180615,0.030639,0.007690,42.0,10000
29,101840852180492,0.026184,0.006531,42.0,10000
30,101840862180651,0.030396,0.007751,42.0,10000
31,101840872178402,0.025695,0.005921,42.0,10000
32,101840882179147,0.028260,0.006897,43.0,10000
33,101840892179528,0.030334,0.009460,41.0,10000
34,101840902180651,0.032165,0.008667,42.0,10000
35,101840912180042,0.026062,0.006470,42.0,10000
36,101840922181334,0.028504,0.007019,42.0,10000
37,101840932178922,0.028076,0.006470,42.0,10000
38,101840942178053,0.027466,0.006347,43.0,10000
39,101840952181172,0.031372,0.008423,42.0,10000
