sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,5789047184503,0.059509,0.036255,52.0,10000
2,5789057182900,0.059815,0.036560,52.0,10000
3,5789067182584,0.060058,0.036682,52.0,10000
4,5789077182103,0.057312,0.034729,52.0,10000
5,5789087182289,0.061584,0.037781,51.0,10000
6,5789097181922,0.058655,0.035766,52.0,10000
7,5789107182071,0.059692,0.036499,53.0,10000
8,5789117182469,0.057312,0.034790,52.0,10000
9,5789127181828,0.059631,0.036194,52.0,10000
10,5789137182327,0.059143,0.035950,50.0,10000
11,5789147182038,0.061707,0.036315,52.0,10000
12,5789157182220,0.064330,0.037415,50.0,10000
13,5789167182161,0.059510,0.036255,50.0,10000
14,5789177182405,0.060058,0.036621,50.0,10000
15,5789187181543,0.059936,0.036621,52.0,10000
16,5789197181889,0.059632,0.036254,52.0,10000
17,5789207182491,0.057983,0.035279,52.0,10000
18,5789217182341,0.060852,0.036804,50.0,10000
19,5789227181654,0.057739,0.034912,52.0,10000
20,5789237181978,0.061584,0.037353,52.0,10000
21,5789247182068,0.059692,0.036133,52.0,10000
22,5789257181860,0.058533,0.035461,50.0,10000
23,5789267181880,0.060791,0.036987,52.0,10000
24,5789277181832,0.057434,0.034913,50.0,10000
25,5789287181815,0.061279,0.037475,50.0,10000
26,5789297182160,0.057556,0.034912,52.0,10000
27,5789307182020,0.061828,0.037903,50.0,10000
28,5789317181717,0.057190,0.034729,52.0,10000
29,5789327182434,0.059753,0.036315,53.0,10000
30,5789337182399,0.059876,0.036438,52.0,10000
31,5789347181974,0.061462,0.037415,52.0,10000
32,5789357181721,0.060119,0.036621,52.0,10000
33,5789367181602,0.060120,0.034546,53.0,10000
34,5789377182292,0.061340,0.036315,52.0,10000
35,5789387182534,0.060974,0.037232,50.0,10000
36,5789397181481,0.060303,0.036865,52.0,10000
37,5789407181949,0.060241,0.036682,52.0,10000
38,5789417182360,0.056641,0.034424,52.0,10000
39,5789427182586,0.061706,0.037658,52.0,10000
40,5789437182093,0.058655,0.035706,50.0,10000
41,5789447181522,0.060180,0.036865,50.0,10000
