sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,203288904170809,0.054932,0.034362,51.0,10000
2,203288914167907,0.053589,0.033631,52.0,10000
3,203288924167488,0.056945,0.034057,53.0,10000
4,203288934168015,0.056763,0.033875,53.0,10000
5,203288944167802,0.054687,0.034240,52.0,10000
6,203288954167764,0.053345,0.033569,53.0,10000
7,203288964167937,0.053833,0.033936,52.0,10000
8,203288974167416,0.054992,0.034668,53.0,10000
9,203288984168187,0.052857,0.033508,52.0,10000
10,203288994167486,0.053955,0.033874,52.0,10000
11,203289004167221,0.053893,0.033936,53.0,10000
12,203289014168142,0.053223,0.033630,52.0,10000
13,203289024168047,0.053955,0.033875,52.0,10000
14,203289034167642,0.054138,0.034240,52.0,10000
15,203289044167581,0.053772,0.034119,53.0,10000
16,203289054167395,0.053283,0.033386,52.0,10000
17,203289064168004,0.054749,0.034424,53.0,10000
18,203289074167914,0.053711,0.033752,52.0,10000
19,203289084167681,0.052917,0.033447,52.0,10000
20,203289094167581,0.054077,0.033936,53.0,10000
21,203289104167894,0.053650,0.033813,53.0,10000
22,203289114167940,0.053466,0.033997,52.0,10000
23,203289124168292,0.054810,0.034545,52.0,10000
24,203289134167256,0.053588,0.033814,52.0,10000
25,203289144167918,0.057434,0.034118,52.0,10000
26,203289154167487,0.055054,0.033753,52.0,10000
27,203289164167630,0.052917,0.033386,54.0,10000
28,203289174168025,0.053650,0.033996,53.0,10000
29,203289184167894,0.054077,0.034241,53.0,10000
30,203289194167527,0.053955,0.034180,52.0,10000
31,203289204167184,0.053467,0.033752,52.0,10000
32,203289214168182,0.053588,0.033935,52.0,10000
33,203289224168019,0.053833,0.034058,53.0,10000
34,203289234167363,0.053162,0.033508,53.0,10000
35,203289244167673,0.054870,0.034790,54.0,10000
36,203289254167334,0.053711,0.033874,53.0,10000
37,203289264167597,0.052734,0.033326,52.0,10000
38,203289274167815,0.053711,0.034057,52.0,10000
39,203289284167948,0.053528,0.033936,52.0,10000
40,203289294167813,0.053711,0.034118,52.0,10000
41,203289304167597,0.052673,0.033264,53.0,10000
42,203289314168075,0.054199,0.034485,53.0,10000
43,203289324167938,0.053283,0.033569,53.0,10000
44,203289334167769,0.054627,0.034485,52.0,10000
45,203289344167314,0.057617,0.033935,52.0,10000
46,203289354167921,0.055297,0.033936,52.0,10000
47,203289364167859,0.052918,0.033386,52.0,10000
48,203289374167440,0.054321,0.034058,52.0,10000
49,203289384167957,0.053955,0.034179,53.0,10000
50,203289394167281,0.052917,0.033386,52.0,10000
51,203289404167273,0.053650,0.033814,53.0,10000
52,203289414167700,0.053833,0.034118,52.0,10000
53,203289424168265,0.053833,0.034058,52.0,10000
54,203289434167696,0.053650,0.033691,51.0,10000
55,203289444167628,0.054687,0.034485,52.0,10000
56,203289454168050,0.053528,0.033691,52.0,10000
57,203289464167880,0.052734,0.033447,52.0,10000
58,203289474167484,0.054260,0.034058,52.0,10000
59,203289484167620,0.054077,0.034180,53.0,10000
60,203289494168043,0.053833,0.033935,53.0,10000
61,203289504167799,0.053650,0.033508,53.0,10000
62,203289514167434,0.054504,0.033936,52.0,10000
63,203289524167530,0.054321,0.034118,52.0,10000
64,203289534167365,0.054382,0.033936,52.0,10000
65,203289544167912,0.053833,0.033935,53.0,10000
