sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,96773619485456,0.030151,0.008545,43.0,10000
2,96773629482764,0.028808,0.007202,42.0,10000
3,96773639481622,0.027893,0.006348,43.0,10000
4,96773649481247,0.028382,0.006835,43.0,10000
5,96773659481075,0.027587,0.006409,42.0,10000
6,96773669481404,0.028626,0.007019,42.0,10000
7,96773679480857,0.027466,0.006226,43.0,10000
8,96773689481403,0.028747,0.006958,41.0,10000
9,96773699484564,0.027649,0.006775,43.0,10000
10,96773709481022,0.029175,0.007202,43.0,10000
11,96773719480941,0.030212,0.006347,42.0,10000
12,96773729481117,0.030395,0.007080,43.0,10000
13,96773739481517,0.028321,0.006592,43.0,10000
14,96773749481481,0.028137,0.007080,42.0,10000
15,96773759481065,0.027832,0.006348,42.0,10000
16,96773769480804,0.028747,0.007202,43.0,10000
17,96773779480648,0.027954,0.006592,42.0,10000
18,96773789480986,0.029358,0.007385,43.0,10000
19,96773799480544,0.028076,0.006653,42.0,10000
20,96773809480612,0.028381,0.007202,43.0,10000
21,96773819481325,0.026856,0.006409,43.0,10000
22,96773829481585,0.028381,0.007263,43.0,10000
23,96773839480436,0.028565,0.006592,43.0,10000
24,96773849481445,0.029296,0.007263,43.0,10000
25,96773859481132,0.026673,0.006103,42.0,10000
26,96773869481705,0.029541,0.007386,42.0,10000
27,96773879482819,0.028564,0.006958,43.0,10000
28,96773889480491,0.028747,0.007141,42.0,10000
29,96773899481435,0.028015,0.006286,42.0,10000
30,96773909483206,0.028809,0.007569,43.0,10000
31,96773919481377,0.029541,0.006164,43.0,10000
32,96773929481647,0.032165,0.007263,43.0,10000
33,96773939481201,0.027527,0.006348,42.0,10000
34,96773949481878,0.029236,0.007568,42.0,10000
35,96773959481100,0.027954,0.006409,43.0,10000
36,96773969481324,0.028564,0.007019,43.0,10000
37,96773979481409,0.027771,0.006226,43.0,10000
38,96773989480934,0.028321,0.007263,43.0,10000
39,96773999481168,0.028625,0.006469,42.0,10000
40,96774009481461,0.027649,0.006714,42.0,10000
41,96774019480748,0.028686,0.006592,42.0,10000
42,96774029481012,0.028992,0.007263,42.0,10000
43,96774039481294,0.027466,0.006287,43.0,10000
44,96774049480907,0.027893,0.006775,43.0,10000
45,96774059480881,0.028930,0.006836,43.0,10000
46,96774069480985,0.027710,0.006774,42.0,10000
47,96774079481438,0.028564,0.006531,43.0,10000
48,96774089480940,0.027955,0.006958,43.0,10000
49,96774099480760,0.028259,0.006775,42.0,10000
50,96774109483257,0.029480,0.007568,43.0,10000
51,96774119483111,0.030334,0.006897,42.0,10000
52,96774129481089,0.031006,0.007080,42.0,10000
53,96774139480682,0.027099,0.006226,43.0,10000
54,96774149482756,0.028931,0.007507,43.0,10000
55,96774159480803,0.028808,0.006592,43.0,10000
56,96774169480933,0.029053,0.007263,43.0,10000
57,96774179480568,0.027771,0.006348,43.0,10000
58,96774189480975,0.028686,0.007202,42.0,10000
59,96774199481255,0.026917,0.006348,43.0,10000
60,96774209481102,0.029297,0.007202,43.0,10000
61,96774219480653,0.027404,0.006531,43.0,10000
62,96774229482531,0.028992,0.007385,43.0,10000
63,96774239480503,0.028137,0.006531,43.0,10000
64,96774249480916,0.028504,0.007141,42.0,10000
65,96774259481111,0.028137,0.006408,43.0,10000
66,96774269481385,0.029174,0.007447,43.0,10000
67,96774279480854,0.028015,0.006469,43.0,10000
