sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,210591854946197,0.028442,0.008972,43.0,10000
2,210591864942587,0.026428,0.007141,43.0,10000
3,210591874941598,0.025696,0.006287,43.0,10000
4,210591884941585,0.026550,0.006836,43.0,10000
5,210591894941754,0.025757,0.006409,43.0,10000
6,210591904941780,0.026611,0.007202,43.0,10000
7,210591914944088,0.029114,0.006592,43.0,10000
8,210591924940901,0.028686,0.006957,42.0,10000
9,210591934940764,0.025147,0.006226,43.0,10000
10,210591944941624,0.026672,0.007080,44.0,10000
11,210591954940771,0.026184,0.006409,43.0,10000
12,210591964940842,0.026367,0.006958,43.0,10000
13,210591974942883,0.026062,0.006653,42.0,10000
14,210591984941155,0.026428,0.007019,42.0,10000
15,210591994941353,0.025696,0.006286,43.0,10000
16,210592004941373,0.025757,0.006653,42.0,10000
17,210592014941320,0.026001,0.006531,43.0,10000
18,210592024941112,0.026489,0.007202,43.0,10000
19,210592034940666,0.025391,0.006287,43.0,10000
20,210592044941968,0.026733,0.006958,43.0,10000
21,210592054940956,0.025696,0.006408,42.0,10000
22,210592064941603,0.026428,0.007141,43.0,10000
23,210592074941593,0.026123,0.006470,43.0,10000
24,210592084940972,0.026367,0.007019,43.0,10000
25,210592094940754,0.025757,0.006592,43.0,10000
26,210592104943976,0.026916,0.007507,43.0,10000
27,210592114940737,0.029053,0.006592,43.0,10000
28,210592124941310,0.028198,0.006897,43.0,10000
29,210592134940457,0.025879,0.006470,43.0,10000
30,210592144941447,0.025940,0.006897,43.0,10000
31,210592154941063,0.025817,0.006347,43.0,10000
32,210592164940946,0.027039,0.007263,42.0,10000
33,210592174940825,0.025513,0.006226,43.0,10000
34,210592184941701,0.026489,0.007019,43.0,10000
35,210592194941189,0.026245,0.006470,43.0,10000
36,210592204941362,0.026184,0.006958,43.0,10000
37,210592214940955,0.026123,0.006530,43.0,10000
38,210592224941961,0.026489,0.007325,43.0,10000
39,210592234941749,0.026062,0.006835,43.0,10000
40,210592244941163,0.025818,0.006531,43.0,10000
41,210592254941779,0.026367,0.006836,43.0,10000
42,210592264941811,0.026245,0.006897,43.0,10000
43,210592274941137,0.026184,0.006714,43.0,10000
44,210592284941456,0.026611,0.006775,43.0,10000
45,210592294941476,0.026001,0.006470,42.0,10000
46,210592304940629,0.026306,0.007019,43.0,10000
47,210592314943393,0.026367,0.007019,43.0,10000
48,210592324941987,0.026062,0.006530,43.0,10000
49,210592334941085,0.030090,0.006714,43.0,10000
50,210592344941456,0.027405,0.007141,43.0,10000
51,210592354941609,0.026367,0.006836,43.0,10000
52,210592364940873,0.025940,0.006592,43.0,10000
53,210592374941205,0.025879,0.006653,43.0,10000
54,210592384941319,0.026733,0.007019,43.0,10000
55,210592394941316,0.026062,0.006592,43.0,10000
56,210592404941403,0.025940,0.006652,43.0,10000
57,210592414940717,0.026306,0.006958,44.0,10000
58,210592424941267,0.026673,0.007141,43.0,10000
59,210592434941189,0.025695,0.006531,42.0,10000
60,210592444941101,0.026001,0.006592,43.0,10000
61,210592454941136,0.025940,0.006592,42.0,10000
62,210592464941153,0.026611,0.007019,43.0,10000
63,210592474941162,0.026001,0.006592,43.0,10000
64,210592484940508,0.025574,0.006469,43.0,10000
65,210592494940983,0.026367,0.006836,43.0,10000
66,210592504941006,0.026733,0.006836,42.0,10000
67,210592514941465,0.026062,0.006653,42.0,10000
68,210592524943503,0.026978,0.007324,43.0,10000
69,210592534941335,0.030090,0.006653,43.0,10000
70,210592544940475,0.027466,0.006897,43.0,10000
71,210592554940814,0.025573,0.006531,43.0,10000
72,210592564940684,0.026123,0.006714,43.0,10000
73,210592574940960,0.026184,0.006652,42.0,10000
74,210592584941842,0.026246,0.006653,43.0,10000
75,210592594940615,0.026061,0.006653,43.0,10000
76,210592604941230,0.025818,0.006653,43.0,10000
77,210592614941191,0.025940,0.006714,43.0,10000
78,210592624941048,0.026306,0.006775,42.0,10000
79,210592634940898,0.026001,0.006958,43.0,10000
80,210592644943896,0.026550,0.006958,43.0,10000
81,210592654941048,0.025940,0.006713,43.0,10000
82,210592664941263,0.025940,0.006592,42.0,10000
83,210592674941048,0.026550,0.006836,43.0,10000
84,210592684941220,0.025696,0.006531,43.0,10000
85,210592694940970,0.026001,0.006531,43.0,10000
86,210592704941083,0.026611,0.006774,43.0,10000
87,210592714940820,0.026184,0.006897,43.0,10000
88,210592724940839,0.025940,0.006653,42.0,10000
89,210592734943378,0.026367,0.006958,42.0,10000
90,210592744941601,0.027466,0.006653,43.0,10000
91,210592754941158,0.029175,0.006653,43.0,10000
92,210592764941682,0.026367,0.006653,43.0,10000
93,210592774941074,0.026489,0.006958,43.0,10000
94,210592784941021,0.025879,0.006591,43.0,10000
95,210592794941158,0.025940,0.006897,43.0,10000
96,210592804941464,0.025818,0.006531,43.0,10000
97,210592814940490,0.026184,0.006653,42.0,10000
98,210592824941161,0.026062,0.006775,43.0,10000
99,210592834941132,0.026000,0.006714,43.0,10000
100,210592844940100,0.025879,0.006591,43.0,10000
101,210592854941828,0.026184,0.006714,43.0,10000
102,210592864941060,0.025635,0.006653,43.0,10000
103,210592874943339,0.026855,0.007141,42.0,10000
104,210592884941333,0.026062,0.006653,43.0,10000
105,210592894940949,0.025940,0.006592,43.0,10000
106,210592904941073,0.026062,0.006714,44.0,10000
107,210592914941499,0.026001,0.006591,43.0,10000
108,210592924940405,0.026672,0.006958,43.0,10000
109,210592934941203,0.025818,0.006531,43.0,10000
110,210592944944312,0.027649,0.006897,43.0,10000
111,210592954941421,0.029419,0.006653,43.0,10000
112,210592964941460,0.026001,0.006531,42.0,10000
113,210592974943504,0.026611,0.007141,43.0,10000
114,210592984941287,0.026123,0.006714,42.0,10000
115,210592994941157,0.026001,0.006591,43.0,10000
116,210593004941681,0.026001,0.006653,42.0,10000
117,210593014941828,0.026428,0.006775,43.0,10000
118,210593024941079,0.026001,0.006714,43.0,10000
119,210593034941073,0.025757,0.006592,43.0,10000
120,210593044940958,0.025634,0.006530,42.0,10000
121,210593054940942,0.025818,0.006470,43.0,10000
122,210593064941088,0.026367,0.006897,42.0,10000
123,210593074941333,0.026001,0.006592,42.0,10000
124,210593084940587,0.025818,0.006531,43.0,10000
125,210593094941020,0.025818,0.006530,43.0,10000
126,210593104941671,0.025757,0.006653,43.0,10000
127,210593114940646,0.026428,0.006775,43.0,10000
128,210593124941411,0.025879,0.006653,42.0,10000
129,210593134940760,0.025939,0.006592,43.0,10000
130,210593144943552,0.026856,0.007141,43.0,10000
131,210593154941316,0.025574,0.006592,43.0,10000
132,210593164940912,0.028930,0.006591,43.0,10000
133,210593174940629,0.028137,0.006592,43.0,10000
134,210593184940916,0.026062,0.006714,42.0,10000
135,210593194943295,0.026184,0.006897,42.0,10000
136,210593204941062,0.026245,0.006653,43.0,10000
137,210593214941775,0.026123,0.006714,42.0,10000
138,210593224941368,0.026184,0.006774,43.0,10000
139,210593234941254,0.026428,0.006836,43.0,10000
140,210593244940964,0.025879,0.006531,42.0,10000
141,210593254940818,0.025818,0.006592,42.0,10000
142,210593264943129,0.025940,0.006653,43.0,10000
143,210593274940928,0.025940,0.006653,44.0,10000
144,210593284941514,0.025696,0.006408,42.0,10000
145,210593294940664,0.026000,0.006836,42.0,10000
146,210593304941400,0.025818,0.006653,42.0,10000
147,210593314940843,0.026245,0.006653,44.0,10000
148,210593324941540,0.026001,0.006653,42.0,10000
149,210593334940863,0.026367,0.006897,42.0,10000
150,210593344941055,0.025574,0.006469,43.0,10000
151,210593354943519,0.026245,0.006958,42.0,10000
152,210593364941068,0.029114,0.006714,43.0,10000
153,210593374940479,0.027954,0.006653,43.0,10000
154,210593384940850,0.026428,0.006897,43.0,10000
155,210593394940879,0.025757,0.006531,42.0,10000
156,210593404940973,0.026550,0.006836,43.0,10000
157,210593414941358,0.026245,0.006958,43.0,10000
158,210593424941260,0.026428,0.006652,43.0,10000
159,210593434941002,0.025513,0.006470,43.0,10000
160,210593444941341,0.026306,0.006836,43.0,10000
161,210593454941442,0.026428,0.006836,43.0,10000
162,210593464941364,0.025757,0.006470,43.0,10000
163,210593474940530,0.025573,0.006530,43.0,10000
164,210593484941754,0.026429,0.006775,43.0,10000
165,210593494941051,0.025878,0.006531,43.0,10000
166,210593504940765,0.025757,0.006470,42.0,10000
167,210593514940742,0.026367,0.006653,43.0,10000
168,210593524940722,0.026245,0.006774,43.0,10000
169,210593534940765,0.026184,0.006714,42.0,10000
170,210593544941207,0.025818,0.006409,43.0,10000
171,210593554940888,0.025696,0.006592,42.0,10000
172,210593564943430,0.026672,0.007019,42.0,10000
173,210593574940660,0.026428,0.006592,42.0,10000
174,210593584940598,0.029663,0.006591,42.0,10000
175,210593594940686,0.026612,0.006531,42.0,10000
176,210593604941617,0.026123,0.006775,42.0,10000
177,210593614941083,0.026367,0.006897,43.0,10000
178,210593624940471,0.026367,0.006775,43.0,10000
179,210593634941253,0.025818,0.006592,43.0,10000
180,210593644942483,0.026367,0.006896,43.0,10000
181,210593654941383,0.026123,0.006775,43.0,10000
