sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,28213863216449,0.060303,0.036987,49.0,10000
2,28213873214454,0.060058,0.040100,49.0,10000
3,28213883214260,0.061523,0.034973,50.0,10000
4,28213893214436,0.060303,0.037231,49.0,10000
5,28213903214527,0.059997,0.037049,49.0,10000
6,28213913214243,0.061402,0.039978,49.0,10000
7,28213923214566,0.059753,0.034851,49.0,10000
8,28213933215088,0.060730,0.037414,50.0,10000
9,28213943214150,0.057800,0.035705,49.0,10000
10,28213953214338,0.066650,0.041077,49.0,10000
11,28213963215019,0.060120,0.037170,50.0,10000
12,28213973215631,0.057006,0.035279,49.0,10000
13,28213983214613,0.060242,0.037109,50.0,10000
14,28213993215707,0.060241,0.037170,50.0,10000
15,28214003215583,0.060181,0.037171,50.0,10000
16,28214013216250,0.060547,0.037475,49.0,10000
17,28214023215780,0.062683,0.036926,49.0,10000
18,28214033216322,0.063964,0.038208,49.0,10000
19,28214043215922,0.059937,0.036926,49.0,10000
20,28214053213740,0.058471,0.035950,49.0,10000
21,28214063214485,0.060608,0.037353,49.0,10000
22,28214073213716,0.063232,0.039002,49.0,10000
23,28214083213927,0.059570,0.036682,49.0,10000
24,28214093214370,0.058228,0.035949,49.0,10000
25,28214103214058,0.062866,0.038880,49.0,10000
26,28214113214028,0.060058,0.037109,49.0,10000
27,28214123214006,0.061096,0.037536,49.0,10000
28,28214133214170,0.060425,0.037232,49.0,10000
29,28214143213776,0.060119,0.037048,49.0,10000
30,28214153214031,0.060730,0.037353,49.0,10000
31,28214163214398,0.060486,0.037354,49.0,10000
32,28214173214523,0.058593,0.036072,50.0,10000
33,28214183214144,0.060791,0.037353,49.0,10000
34,28214193214094,0.062805,0.038879,49.0,10000
35,28214203214049,0.060547,0.037415,48.0,10000
36,28214213214167,0.057922,0.035705,49.0,10000
37,28214223213826,0.060364,0.037354,49.0,10000
38,28214233214042,0.062683,0.038635,49.0,10000
39,28214243214352,0.062195,0.039978,49.0,10000
40,28214253214294,0.063476,0.034668,49.0,10000
41,28214263214049,0.060608,0.037475,49.0,10000
42,28214273213621,0.060852,0.037659,49.0,10000
43,28214283214296,0.060485,0.037353,50.0,10000
44,28214293214168,0.060242,0.037170,48.0,10000
45,28214303214166,0.060180,0.037293,49.0,10000
46,28214313214274,0.064697,0.039795,50.0,10000
47,28214323214091,0.060425,0.037414,49.0,10000
48,28214333214217,0.054687,0.033691,49.0,10000
49,28214343214520,0.062928,0.039307,49.0,10000
50,28214353214157,0.064819,0.039978,49.0,10000
51,28214363214578,0.056457,0.034851,49.0,10000
52,28214373214426,0.058288,0.035949,49.0,10000
53,28214383213682,0.066468,0.041077,49.0,10000
54,28214393213630,0.056823,0.035217,49.0,10000
55,28214403214065,0.064331,0.039673,49.0,10000
56,28214413214227,0.056396,0.034912,49.0,10000
57,28214423214269,0.059998,0.037109,49.0,10000
58,28214433214417,0.059021,0.036255,49.0,10000
59,28214443214342,0.065978,0.038391,49.0,10000
60,28214453214075,0.059998,0.036499,50.0,10000
61,28214463214574,0.062744,0.038635,49.0,10000
62,28214473214332,0.064453,0.039612,48.0,10000
63,28214483214129,0.057190,0.035278,47.0,10000
64,28214493214195,0.063659,0.039246,49.0,10000
65,28214503214267,0.056274,0.034790,49.0,10000
66,28214513214161,0.064698,0.039977,49.0,10000
67,28214523213639,0.057067,0.035340,47.0,10000
68,28214533214429,0.058106,0.035644,49.0,10000
69,28214543214347,0.060790,0.037598,49.0,10000
70,28214553214056,0.060425,0.037231,49.0,10000
71,28214563214287,0.060669,0.037353,47.0,10000
72,28214573214387,0.062988,0.038880,49.0,10000
73,28214583214441,0.061218,0.037658,49.0,10000
74,28214593214233,0.057800,0.035584,49.0,10000
75,28214603214597,0.062134,0.038269,49.0,10000
76,28214613214190,0.060730,0.037414,49.0,10000
77,28214623213581,0.060546,0.037232,49.0,10000
78,28214633214163,0.058838,0.036132,49.0,10000
79,28214643214811,0.066772,0.041016,50.0,10000
80,28214653214467,0.058472,0.035095,50.0,10000
81,28214663213805,0.063782,0.037231,49.0,10000
82,28214673214107,0.060607,0.037415,49.0,10000
83,28214683214270,0.060242,0.037109,49.0,10000
84,28214693214645,0.058471,0.036072,49.0,10000
85,28214703213513,0.066834,0.041198,49.0,10000
86,28214713214028,0.056213,0.034851,49.0,10000
87,28214723214885,0.058960,0.040039,49.0,10000
88,28214733213673,0.062500,0.034851,47.0,10000
89,28214743214472,0.058288,0.035950,49.0,10000
90,28214753213805,0.062439,0.038574,49.0,10000
91,28214763214258,0.058838,0.036072,49.0,10000
92,28214773214262,0.062438,0.038574,47.0,10000
93,28214783213731,0.058655,0.036010,49.0,10000
94,28214793214108,0.062439,0.038636,49.0,10000
95,28214803214430,0.064453,0.039489,49.0,10000
96,28214813214007,0.054626,0.033814,49.0,10000
97,28214823214416,0.060608,0.037475,49.0,10000
98,28214833213565,0.062622,0.038574,49.0,10000
99,28214843213859,0.059936,0.037109,49.0,10000
100,28214853214518,0.067017,0.040223,49.0,10000
101,28214863214159,0.057433,0.037231,49.0,10000
102,28214873213708,0.060669,0.033630,49.0,10000
103,28214883214441,0.066223,0.040772,50.0,10000
104,28214893213453,0.060791,0.037536,49.0,10000
105,28214903213959,0.056702,0.034851,49.0,10000
106,28214913213791,0.058410,0.035950,47.0,10000
107,28214923214361,0.062683,0.038635,50.0,10000
108,28214933214005,0.060669,0.037353,49.0,10000
109,28214943214357,0.063965,0.039429,49.0,10000
110,28214953214519,0.056640,0.035217,49.0,10000
111,28214963214080,0.059814,0.037048,49.0,10000
112,28214973213899,0.061402,0.037903,46.0,10000
113,28214983214353,0.063537,0.039123,49.0,10000
114,28214993213880,0.056701,0.035157,49.0,10000
115,28215003214359,0.057862,0.035644,49.0,10000
116,28215013213982,0.060241,0.037231,49.0,10000
117,28215023214172,0.066284,0.041016,47.0,10000
118,28215033214383,0.054199,0.033569,47.0,10000
119,28215043213626,0.062561,0.039002,49.0,10000
120,28215053214465,0.059998,0.037292,47.0,10000
121,28215063214120,0.060485,0.037475,49.0,10000
122,28215073214413,0.063355,0.037293,50.0,10000
123,28215083213964,0.062377,0.037353,49.0,10000
124,28215093214054,0.058045,0.035767,48.0,10000
125,28215103213699,0.066345,0.041137,49.0,10000
126,28215113214086,0.055725,0.034485,49.0,10000
127,28215123213730,0.060363,0.037292,47.0,10000
128,28215133213615,0.061401,0.038086,48.0,10000
129,28215143214113,0.060364,0.037476,49.0,10000
130,28215153214355,0.060913,0.037597,49.0,10000
131,28215163213674,0.059509,0.036804,49.0,10000
132,28215173214337,0.058105,0.035889,49.0,10000
133,28215183213596,0.061707,0.038208,49.0,10000
134,28215193213986,0.060791,0.037720,49.0,10000
135,28215203214524,0.060424,0.037414,49.0,10000
136,28215213213500,0.064270,0.039795,49.0,10000
137,28215223213970,0.056213,0.034851,49.0,10000
138,28215233213753,0.058777,0.036377,49.0,10000
139,28215243214216,0.062439,0.038696,49.0,10000
140,28215253214488,0.058166,0.035888,49.0,10000
141,28215263214049,0.062134,0.038575,49.0,10000
142,28215273214512,0.063537,0.037475,49.0,10000
143,28215283213731,0.062317,0.037231,49.0,10000
144,28215293214316,0.064392,0.039734,49.0,10000
145,28215303213613,0.056518,0.035034,48.0,10000
146,28215313214354,0.064453,0.039673,49.0,10000
147,28215323213524,0.056092,0.034668,49.0,10000
148,28215333214287,0.060851,0.037659,49.0,10000
149,28215343213755,0.058167,0.035827,50.0,10000
150,28215353213813,0.062500,0.038757,49.0,10000
151,28215363214430,0.059814,0.037049,49.0,10000
152,28215373214052,0.058288,0.039672,49.0,10000
153,28215383214195,0.062134,0.034607,49.0,10000
154,28215393214169,0.059631,0.039856,49.0,10000
155,28215403213664,0.059204,0.033630,49.0,10000
156,28215413214187,0.066223,0.040894,50.0,10000
157,28215423213688,0.056946,0.035095,49.0,10000
158,28215433214368,0.059570,0.036804,49.0,10000
159,28215443213827,0.058960,0.036499,49.0,10000
160,28215453214171,0.066467,0.041138,49.0,10000
161,28215463214361,0.056213,0.035034,49.0,10000
162,28215473214746,0.059631,0.036987,49.0,10000
163,28215483214302,0.061585,0.037780,49.0,10000
164,28215493214586,0.061828,0.035828,49.0,10000
165,28215503213816,0.063476,0.038696,49.0,10000
166,28215513213668,0.064331,0.039673,49.0,10000
167,28215523214384,0.060669,0.037292,49.0,10000
168,28215533213542,0.060547,0.037354,49.0,10000
169,28215543213829,0.055786,0.034607,49.0,10000
170,28215553213710,0.060852,0.037597,50.0,10000
171,28215563214104,0.064086,0.039734,49.0,10000
172,28215573213606,0.055970,0.034729,49.0,10000
173,28215583213812,0.061279,0.037964,49.0,10000
174,28215593214397,0.064148,0.039672,49.0,10000
175,28215603213930,0.060363,0.037293,49.0,10000
176,28215613214416,0.054626,0.033630,49.0,10000
177,28215623213786,0.062012,0.038452,49.0,10000
178,28215633214715,0.058777,0.036255,50.0,10000
179,28215643214196,0.060730,0.037536,49.0,10000
180,28215653214607,0.062316,0.038636,49.0,10000
181,28215663213869,0.060242,0.037231,50.0,10000
182,28215673214004,0.060730,0.037414,49.0,10000
183,28215683214581,0.060913,0.037415,49.0,10000
184,28215693214719,0.064208,0.037231,49.0,10000
185,28215703214306,0.058899,0.035767,49.0,10000
186,28215713214271,0.060303,0.037353,49.0,10000
187,28215723214070,0.062011,0.038269,48.0,10000
188,28215733214463,0.059143,0.036316,47.0,10000
189,28215743214138,0.062500,0.038818,49.0,10000
190,28215753213823,0.060608,0.037476,48.0,10000
191,28215763213521,0.059509,0.036865,49.0,10000
192,28215773213879,0.060852,0.037841,49.0,10000
193,28215783214166,0.057922,0.035706,48.0,10000
194,28215793213885,0.062317,0.038635,49.0,10000
195,28215803214158,0.058715,0.036133,49.0,10000
196,28215813213723,0.059937,0.037109,49.0,10000
197,28215823214160,0.062805,0.038757,49.0,10000
198,28215833214255,0.060241,0.037171,49.0,10000
199,28215843213688,0.060669,0.037475,47.0,10000
200,28215853214045,0.058289,0.035889,49.0,10000
201,28215863213847,0.062194,0.038513,49.0,10000
