sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,104917887669199,0.059204,0.036865,53.0,10000
2,104917897666825,0.059997,0.037231,54.0,10000
3,104917907666112,0.057678,0.036072,53.0,10000
4,104917917666359,0.061524,0.038269,54.0,10000
5,104917927666502,0.058410,0.036255,54.0,10000
6,104917937666655,0.060242,0.037414,53.0,10000
7,104917947665681,0.062499,0.038452,54.0,10000
8,104917957666168,0.061096,0.037842,53.0,10000
9,104917967666388,0.059937,0.037170,53.0,10000
10,104917977666687,0.059631,0.036927,53.0,10000
11,104917987666481,0.060181,0.037841,53.0,10000
12,104917997666833,0.061462,0.037415,53.0,10000
13,104918007666273,0.061950,0.036926,53.0,10000
14,104918017666492,0.059693,0.037170,53.0,10000
15,104918027666986,0.058349,0.036316,54.0,10000
16,104918037666416,0.059509,0.037353,54.0,10000
17,104918047666109,0.061523,0.038636,54.0,10000
18,104918057666660,0.059021,0.036865,53.0,10000
19,104918067667028,0.060425,0.037658,53.0,10000
20,104918077666576,0.059387,0.037232,53.0,10000
21,104918087666606,0.059265,0.037170,53.0,10000
22,104918097665599,0.059143,0.037109,53.0,10000
23,104918107666059,0.060058,0.037598,54.0,10000
24,104918117667111,0.060120,0.037536,53.0,10000
25,104918127666640,0.059265,0.036988,53.0,10000
26,104918137666870,0.057861,0.036193,54.0,10000
27,104918147666375,0.060974,0.038208,54.0,10000
28,104918157666445,0.060180,0.037537,54.0,10000
29,104918167666134,0.060120,0.037475,54.0,10000
30,104918177666321,0.059631,0.037171,53.0,10000
31,104918187666341,0.058166,0.036254,53.0,10000
32,104918197665971,0.060486,0.037415,53.0,10000
33,104918207666689,0.059997,0.037170,53.0,10000
34,104918217666355,0.065491,0.039063,54.0,10000
35,104918227666488,0.062195,0.037231,53.0,10000
36,104918237665971,0.060302,0.037536,53.0,10000
37,104918247666902,0.057129,0.035584,54.0,10000
38,104918257666739,0.059753,0.037353,54.0,10000
39,104918267666661,0.059815,0.037415,54.0,10000
40,104918277666841,0.061828,0.038757,53.0,10000
41,104918287667131,0.058777,0.036743,54.0,10000
42,104918297666584,0.058532,0.036499,53.0,10000
43,104918307666757,0.062073,0.038696,54.0,10000
44,104918317666944,0.059509,0.037109,54.0,10000
45,104918327666712,0.059387,0.037293,54.0,10000
46,104918337667014,0.057678,0.035827,53.0,10000
47,104918347665964,0.061951,0.038635,54.0,10000
48,104918357666711,0.059143,0.037110,53.0,10000
49,104918367666511,0.057678,0.036010,54.0,10000
50,104918377667148,0.062194,0.039124,53.0,10000
51,104918387666399,0.058655,0.036743,53.0,10000
52,104918397665976,0.059692,0.037292,53.0,10000
53,104918407666436,0.060364,0.037720,53.0,10000
54,104918417665999,0.062500,0.037109,53.0,10000
55,104918427667672,0.061523,0.037109,53.0,10000
56,104918437666570,0.060913,0.038086,53.0,10000
57,104918447667651,0.059143,0.036621,54.0,10000
58,104918457666612,0.060180,0.037537,54.0,10000
59,104918467666823,0.060913,0.037781,54.0,10000
60,104918477666262,0.058899,0.036682,53.0,10000
61,104918487666406,0.060120,0.037353,54.0,10000
62,104918497666798,0.058044,0.035889,53.0,10000
63,104918507667716,0.060119,0.037475,54.0,10000
64,104918517666913,0.061646,0.038269,53.0,10000
65,104918527666825,0.058166,0.036011,54.0,10000
66,104918537666433,0.059631,0.037170,53.0,10000
67,104918547666773,0.062073,0.038574,54.0,10000
68,104918557667081,0.059692,0.037109,54.0,10000
69,104918567666610,0.059814,0.037598,53.0,10000
70,104918577667337,0.057007,0.035705,54.0,10000
71,104918587666981,0.061462,0.038758,53.0,10000
72,104918597666488,0.059143,0.037292,54.0,10000
73,104918607667207,0.059082,0.036987,53.0,10000
74,104918617665845,0.059387,0.036987,54.0,10000
75,104918627666791,0.062073,0.037537,54.0,10000
76,104918637666417,0.063659,0.037659,54.0,10000
77,104918647666001,0.060852,0.037780,53.0,10000
78,104918657665684,0.058288,0.036377,54.0,10000
79,104918667667325,0.058716,0.036682,54.0,10000
80,104918677666471,0.058960,0.037048,53.0,10000
81,104918687666367,0.061096,0.038269,53.0,10000
82,104918697666836,0.060425,0.038025,54.0,10000
83,104918707666265,0.058105,0.036560,53.0,10000
84,104918717666870,0.057922,0.036255,53.0,10000
85,104918727665782,0.061401,0.038269,53.0,10000
86,104918737666586,0.059693,0.037414,54.0,10000
87,104918747666858,0.059326,0.037171,53.0,10000
88,104918757666515,0.059509,0.037536,53.0,10000
89,104918767666965,0.059509,0.037354,54.0,10000
90,104918777666086,0.059753,0.037536,54.0,10000
91,104918787666866,0.057983,0.036438,53.0,10000
92,104918797666118,0.059510,0.037414,53.0,10000
93,104918807666062,0.057495,0.036133,54.0,10000
94,104918817666547,0.061523,0.038696,52.0,10000
95,104918827666658,0.060302,0.037476,54.0,10000
96,104918837666679,0.060730,0.036010,52.0,10000
97,104918847666746,0.062134,0.038391,53.0,10000
