sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,118931917659594,0.030517,0.008911,43.0,10000
2,118931927658487,0.028992,0.007629,43.0,10000
3,118931937654767,0.028076,0.006348,43.0,10000
4,118931947657007,0.027832,0.006897,43.0,10000
5,118931957653387,0.029113,0.006775,43.0,10000
6,118931967655470,0.028382,0.006836,43.0,10000
7,118931977656720,0.028015,0.006592,43.0,10000
8,118931987654907,0.027954,0.006347,43.0,10000
9,118931997654611,0.027588,0.006409,43.0,10000
10,118932007656472,0.028930,0.007263,43.0,10000
11,118932017655356,0.028015,0.006531,43.0,10000
12,118932027654506,0.028076,0.006470,43.0,10000
13,118932037656808,0.028687,0.007080,43.0,10000
14,118932047654360,0.026855,0.006225,42.0,10000
15,118932057656485,0.029480,0.007385,43.0,10000
16,118932067654236,0.027588,0.006287,43.0,10000
17,118932077656573,0.028442,0.007385,42.0,10000
18,118932087654356,0.029785,0.006714,43.0,10000
19,118932097656130,0.031433,0.006592,43.0,10000
20,118932107656173,0.028870,0.007019,43.0,10000
21,118932117655919,0.028198,0.006653,43.0,10000
22,118932127654975,0.027954,0.006408,43.0,10000
23,118932137655059,0.027161,0.006104,43.0,10000
24,118932147656781,0.028747,0.007019,42.0,10000
25,118932157656377,0.028381,0.006714,42.0,10000
26,118932167657006,0.029847,0.007629,43.0,10000
27,118932177654558,0.028076,0.006409,43.0,10000
28,118932187654219,0.027771,0.006348,43.0,10000
29,118932197656120,0.027526,0.006774,43.0,10000
30,118932207654548,0.029297,0.006958,43.0,10000
31,118932217654496,0.026734,0.006165,43.0,10000
32,118932227656390,0.029113,0.006958,43.0,10000
33,118932237654281,0.028504,0.006531,43.0,10000
34,118932247654746,0.027770,0.006469,42.0,10000
35,118932257656647,0.028260,0.006592,43.0,10000
36,118932267656162,0.028503,0.006836,42.0,10000
37,118932277653490,0.028503,0.006714,43.0,10000
38,118932287656126,0.028931,0.006836,43.0,10000
39,118932297654427,0.032104,0.006714,43.0,10000
40,118932307654870,0.027954,0.006408,42.0,10000
41,118932317655413,0.028565,0.007386,43.0,10000
42,118932327654209,0.028076,0.006347,43.0,10000
43,118932337654147,0.027283,0.006348,43.0,10000
44,118932347656787,0.028747,0.007202,42.0,10000
45,118932357654713,0.028320,0.006531,43.0,10000
46,118932367656985,0.028870,0.007263,43.0,10000
47,118932377654801,0.028259,0.006470,43.0,10000
48,118932387655244,0.027100,0.006164,43.0,10000
49,118932397657093,0.029174,0.007019,43.0,10000
50,118932407654531,0.027588,0.006348,43.0,10000
51,118932417656328,0.028687,0.007080,43.0,10000
52,118932427655052,0.027893,0.006531,43.0,10000
53,118932437656302,0.028869,0.007324,43.0,10000
54,118932447654495,0.027954,0.006470,43.0,10000
55,118932457656490,0.029114,0.007263,43.0,10000
56,118932467654885,0.027832,0.006653,43.0,10000
57,118932477654583,0.027343,0.006408,43.0,10000
58,118932487656666,0.028870,0.007263,43.0,10000
59,118932497654088,0.028564,0.006653,43.0,10000
60,118932507654042,0.030091,0.006348,43.0,10000
