sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,89208895194470,0.063904,0.040100,54.0,10000
2,89208905193389,0.059448,0.037231,53.0,10000
3,89208915193500,0.057251,0.033875,54.0,10000
4,89208925193525,0.061218,0.037719,53.0,10000
5,89208935193889,0.063049,0.039612,53.0,10000
6,89208945193398,0.058777,0.036987,53.0,10000
7,89208955193763,0.054809,0.034546,54.0,10000
8,89208965193573,0.058838,0.037048,53.0,10000
9,89208975193378,0.059021,0.037171,52.0,10000
10,89208985193128,0.062561,0.039367,53.0,10000
11,89208995193805,0.054748,0.034302,53.0,10000
12,89209005193677,0.059326,0.037353,54.0,10000
13,89209015193345,0.058899,0.037049,53.0,10000
14,89209025193833,0.057251,0.035888,53.0,10000
15,89209035193867,0.058654,0.036926,53.0,10000
16,89209045193861,0.060486,0.041626,53.0,10000
17,89209055193094,0.059326,0.033630,52.0,10000
18,89209065193711,0.057068,0.035828,53.0,10000
19,89209075193915,0.065246,0.040832,52.0,10000
20,89209085193779,0.055664,0.035035,53.0,10000
21,89209095194041,0.062378,0.039123,53.0,10000
22,89209105193226,0.058960,0.036926,53.0,10000
23,89209115193189,0.055053,0.034729,54.0,10000
24,89209125193524,0.060181,0.037048,53.0,10000
25,89209135193107,0.066833,0.039673,53.0,10000
26,89209145193480,0.055359,0.034546,53.0,10000
27,89209155193586,0.063965,0.039428,53.0,10000
28,89209165193668,0.055358,0.034485,53.0,10000
29,89209175193161,0.060242,0.037232,52.0,10000
30,89209185193984,0.064148,0.039367,54.0,10000
31,89209195193109,0.060363,0.037048,53.0,10000
32,89209205193551,0.055603,0.034241,53.0,10000
33,89209215193702,0.060425,0.037109,53.0,10000
34,89209225193883,0.058593,0.035889,53.0,10000
35,89209235193155,0.061890,0.038086,54.0,10000
36,89209245194048,0.060547,0.037170,53.0,10000
37,89209255193475,0.059814,0.036865,52.0,10000
38,89209265193511,0.064758,0.039612,53.0,10000
39,89209275193475,0.055664,0.034302,52.0,10000
40,89209285193435,0.064697,0.039916,52.0,10000
41,89209295193710,0.055481,0.034241,53.0,10000
42,89209305193764,0.060425,0.037231,53.0,10000
43,89209315193803,0.059570,0.036866,53.0,10000
44,89209325193628,0.066406,0.040100,53.0,10000
45,89209335193333,0.059143,0.034545,52.0,10000
46,89209345193063,0.059814,0.036621,53.0,10000
47,89209355193932,0.065918,0.040711,53.0,10000
48,89209365193185,0.054626,0.033935,52.0,10000
49,89209375193045,0.057556,0.035706,54.0,10000
50,89209385193441,0.061707,0.038513,52.0,10000
51,89209395193488,0.057739,0.035644,52.0,10000
52,89209405193255,0.066101,0.040650,53.0,10000
53,89209415193225,0.056152,0.034545,53.0,10000
54,89209425193118,0.063964,0.039551,53.0,10000
55,89209435193384,0.060547,0.037537,53.0,10000
56,89209445193270,0.055054,0.034057,52.0,10000
57,89209455193655,0.063598,0.039368,53.0,10000
58,89209465193601,0.055237,0.034423,52.0,10000
59,89209475193561,0.060302,0.037476,53.0,10000
60,89209485193644,0.059082,0.036682,53.0,10000
61,89209495193058,0.057800,0.035705,53.0,10000
62,89209505192851,0.062073,0.038147,53.0,10000
63,89209515193090,0.059936,0.037110,53.0,10000
64,89209525193478,0.060181,0.037597,52.0,10000
65,89209535193733,0.058716,0.036621,53.0,10000
66,89209545192870,0.067748,0.040344,53.0,10000
67,89209555193843,0.056885,0.034058,53.0,10000
68,89209565193607,0.059570,0.036926,52.0,10000
69,89209575193618,0.059204,0.036804,52.0,10000
70,89209585192905,0.063782,0.039368,53.0,10000
71,89209595192993,0.055786,0.034606,53.0,10000
72,89209605193362,0.059875,0.036866,54.0,10000
73,89209615193201,0.063782,0.039550,53.0,10000
74,89209625193233,0.055786,0.034668,53.0,10000
75,89209635193281,0.059631,0.036865,52.0,10000
76,89209645193470,0.058288,0.035889,52.0,10000
77,89209655193133,0.061768,0.038208,53.0,10000
78,89209665193466,0.058105,0.035888,54.0,10000
79,89209675193422,0.060547,0.037171,53.0,10000
80,89209685193430,0.065856,0.040771,53.0,10000
81,89209695193378,0.059449,0.036926,54.0,10000
82,89209705193338,0.053771,0.033386,53.0,10000
83,89209715192969,0.065552,0.040589,53.0,10000
84,89209725192871,0.059753,0.036926,53.0,10000
85,89209735193806,0.056641,0.035522,54.0,10000
86,89209745193786,0.060791,0.036255,53.0,10000
87,89209755193295,0.062622,0.037353,53.0,10000
88,89209765193151,0.059265,0.036744,53.0,10000
89,89209775193109,0.063537,0.039306,53.0,10000
90,89209785192836,0.053772,0.033386,54.0,10000
91,89209795193150,0.061340,0.038147,53.0,10000
92,89209805193176,0.059936,0.036987,53.0,10000
93,89209815193145,0.058228,0.035950,53.0,10000
94,89209825193144,0.065612,0.040649,53.0,10000
