sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,85575865802398,0.063233,0.041199,54.0,10000
2,85575875801238,0.062438,0.040832,54.0,10000
3,85575885801370,0.062989,0.040955,54.0,10000
4,85575895801164,0.061767,0.040039,55.0,10000
5,85575905800949,0.062927,0.040832,54.0,10000
6,85575915800984,0.060669,0.039368,53.0,10000
7,85575925800517,0.062439,0.040588,53.0,10000
8,85575935800531,0.064575,0.041687,54.0,10000
9,85575945800508,0.063720,0.041504,54.0,10000
10,85575955800711,0.062500,0.040710,53.0,10000
11,85575965800885,0.063293,0.039734,54.0,10000
12,85575975801071,0.067871,0.042297,54.0,10000
13,85575985800734,0.063355,0.041321,56.0,10000
14,85575995801141,0.062622,0.040649,54.0,10000
15,85576005801025,0.060912,0.039551,54.0,10000
16,85576015800594,0.065064,0.042175,54.0,10000
17,85576025800680,0.060424,0.039367,54.0,10000
18,85576035801331,0.063355,0.041199,54.0,10000
19,85576045800859,0.064453,0.041931,54.0,10000
20,85576055800660,0.063415,0.041382,54.0,10000
21,85576065801147,0.059997,0.039001,54.0,10000
22,85576075800417,0.062928,0.041077,54.0,10000
23,85576085801533,0.064269,0.041870,54.0,10000
24,85576095800704,0.062561,0.040588,54.0,10000
25,85576105801063,0.062561,0.040771,54.0,10000
26,85576115800985,0.061218,0.039856,53.0,10000
27,85576125800936,0.063843,0.041626,54.0,10000
28,85576135800974,0.061401,0.039917,54.0,10000
29,85576145801564,0.062988,0.040954,54.0,10000
30,85576155801197,0.064453,0.042237,54.0,10000
31,85576165800910,0.065369,0.041198,53.0,10000
32,85576175800573,0.064331,0.040039,54.0,10000
33,85576185800576,0.063354,0.041260,54.0,10000
34,85576195800724,0.063659,0.041626,53.0,10000
35,85576205800939,0.061280,0.039978,54.0,10000
36,85576215800880,0.062988,0.041137,54.0,10000
37,85576225800702,0.062805,0.040894,54.0,10000
38,85576235800930,0.063110,0.041137,54.0,10000
39,85576245801044,0.062927,0.041016,54.0,10000
40,85576255800461,0.061645,0.040100,54.0,10000
41,85576265800918,0.063904,0.041626,53.0,10000
42,85576275801030,0.060241,0.039245,53.0,10000
43,85576285801284,0.064698,0.042053,54.0,10000
44,85576295800785,0.062377,0.040711,54.0,10000
45,85576305801200,0.062805,0.040893,54.0,10000
46,85576315801382,0.061279,0.039978,55.0,10000
47,85576325801296,0.064087,0.041809,54.0,10000
48,85576335800761,0.062683,0.040894,54.0,10000
49,85576345800872,0.063721,0.041381,54.0,10000
50,85576355801032,0.062988,0.040955,54.0,10000
51,85576365801714,0.062256,0.040405,56.0,10000
52,85576375800799,0.060974,0.039612,54.0,10000
53,85576385800654,0.066284,0.041015,53.0,10000
54,85576395800807,0.065856,0.041931,53.0,10000
55,85576405801338,0.063233,0.041260,53.0,10000
56,85576415800775,0.060119,0.039001,54.0,10000
57,85576425801270,0.062805,0.041016,54.0,10000
58,85576435801262,0.065246,0.042480,54.0,10000
59,85576445800893,0.061951,0.040344,55.0,10000
60,85576455801192,0.060852,0.039551,54.0,10000
61,85576465800567,0.063049,0.041076,53.0,10000
62,85576475800899,0.062561,0.040711,54.0,10000
63,85576485800587,0.062561,0.040710,54.0,10000
64,85576495801354,0.064758,0.042236,54.0,10000
65,85576505801155,0.060791,0.039612,54.0,10000
66,85576515800576,0.064636,0.042053,55.0,10000
67,85576525800708,0.062194,0.040527,54.0,10000
68,85576535801041,0.061035,0.039612,54.0,10000
69,85576545800632,0.065064,0.042419,54.0,10000
70,85576555801057,0.062683,0.040711,54.0,10000
71,85576565801011,0.062316,0.040466,55.0,10000
72,85576575800726,0.063416,0.041443,54.0,10000
73,85576585800598,0.063293,0.038879,55.0,10000
74,85576595801417,0.065857,0.041931,56.0,10000
75,85576605801231,0.063110,0.041199,54.0,10000
76,85576615801371,0.060791,0.039367,54.0,10000
