sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,182857487095094,0.027771,0.008545,43.0,10000
2,182857497091703,0.026123,0.006896,43.0,10000
3,182857507090059,0.025756,0.006348,43.0,10000
4,182857517089408,0.026306,0.006958,43.0,10000
5,182857527090475,0.025269,0.006226,43.0,10000
6,182857537090208,0.026489,0.007019,43.0,10000
7,182857547090104,0.025452,0.006347,43.0,10000
8,182857557090302,0.026123,0.006836,43.0,10000
9,182857567092845,0.026001,0.006714,43.0,10000
10,182857577090651,0.025756,0.006409,43.0,10000
11,182857587090309,0.029969,0.006714,42.0,10000
12,182857597089599,0.026977,0.006652,43.0,10000
13,182857607089410,0.025757,0.006653,43.0,10000
14,182857617089762,0.026123,0.006836,43.0,10000
15,182857627089687,0.025940,0.006653,43.0,10000
16,182857637090293,0.025451,0.006531,43.0,10000
17,182857647089700,0.026245,0.006775,43.0,10000
18,182857657089375,0.025452,0.006469,43.0,10000
19,182857667089719,0.026062,0.006653,43.0,10000
20,182857677092594,0.026428,0.006958,43.0,10000
21,182857687089329,0.026184,0.006775,43.0,10000
22,182857697089814,0.025391,0.006348,43.0,10000
23,182857707089713,0.025939,0.006408,43.0,10000
24,182857717090266,0.025940,0.006836,43.0,10000
25,182857727089651,0.026612,0.006653,43.0,10000
26,182857737091952,0.025756,0.006958,43.0,10000
27,182857747089468,0.025879,0.006409,43.0,10000
28,182857757089973,0.025818,0.006958,43.0,10000
29,182857767090364,0.026062,0.006653,42.0,10000
30,182857777090832,0.026977,0.007202,43.0,10000
31,182857787090390,0.029541,0.006286,43.0,10000
32,182857797090442,0.027771,0.007386,43.0,10000
33,182857807090243,0.025330,0.006103,43.0,10000
34,182857817090181,0.026245,0.006958,43.0,10000
35,182857827090285,0.026184,0.006348,44.0,10000
36,182857837090051,0.026245,0.007080,43.0,10000
37,182857847089921,0.025268,0.006225,42.0,10000
38,182857857090458,0.026123,0.006775,43.0,10000
39,182857867089465,0.025635,0.006348,43.0,10000
40,182857877089816,0.026062,0.006897,43.0,10000
41,182857887089634,0.025818,0.006347,43.0,10000
42,182857897090259,0.026062,0.006775,43.0,10000
43,182857907089556,0.025512,0.006348,43.0,10000
44,182857917090129,0.026551,0.007202,43.0,10000
45,182857927090229,0.025512,0.006287,43.0,10000
46,182857937090135,0.026001,0.006714,43.0,10000
47,182857947089644,0.026123,0.006408,43.0,10000
48,182857957090307,0.025940,0.006897,43.0,10000
49,182857967089487,0.025452,0.006226,43.0,10000
50,182857977095530,0.026001,0.006714,43.0,10000
51,182857987089373,0.025756,0.006591,42.0,10000
52,182857997089530,0.027893,0.006714,43.0,10000
53,182858007089695,0.029419,0.006653,43.0,10000
54,182858017090659,0.025513,0.006348,43.0,10000
55,182858027092394,0.026733,0.007141,43.0,10000
56,182858037089744,0.026245,0.006836,42.0,10000
57,182858047089780,0.025696,0.006530,43.0,10000
58,182858057090008,0.025574,0.006531,43.0,10000
59,182858067092055,0.026245,0.007080,43.0,10000
60,182858077090161,0.025940,0.006653,44.0,10000
61,182858087089347,0.025878,0.006531,43.0,10000
62,182858097089770,0.026001,0.006531,43.0,10000
63,182858107090268,0.025940,0.006774,42.0,10000
64,182858117089399,0.025757,0.006592,43.0,10000
65,182858127089327,0.025940,0.006531,43.0,10000
66,182858137089825,0.026001,0.006531,43.0,10000
67,182858147089503,0.026245,0.006897,43.0,10000
68,182858157089486,0.025695,0.006530,43.0,10000
69,182858167091456,0.025818,0.006531,43.0,10000
70,182858177092120,0.026367,0.006897,43.0,10000
71,182858187090544,0.026184,0.006958,43.0,10000
72,182858197089805,0.027649,0.006897,43.0,10000
73,182858207090137,0.028931,0.006226,43.0,10000
74,182858217090108,0.026123,0.006836,43.0,10000
75,182858227090004,0.025635,0.006469,43.0,10000
76,182858237089489,0.026245,0.006775,43.0,10000
77,182858247089294,0.025878,0.006287,43.0,10000
78,182858257089372,0.025635,0.006714,42.0,10000
79,182858267089232,0.025818,0.006408,43.0,10000
80,182858277089450,0.025757,0.006775,43.0,10000
81,182858287089528,0.025879,0.006409,43.0,10000
82,182858297089379,0.026245,0.006775,43.0,10000
83,182858307089138,0.025268,0.006286,43.0,10000
84,182858317090479,0.026489,0.006897,43.0,10000
85,182858327089893,0.025635,0.006287,43.0,10000
86,182858337090049,0.025940,0.006775,43.0,10000
87,182858347089613,0.025696,0.006469,43.0,10000
88,182858357089726,0.025817,0.006775,43.0,10000
89,182858367089789,0.025513,0.006287,43.0,10000
90,182858377090293,0.026428,0.006958,42.0,10000
91,182858387089743,0.025757,0.006714,43.0,10000
92,182858397091221,0.026489,0.006958,43.0,10000
93,182858407090084,0.025757,0.006347,43.0,10000
94,182858417089882,0.029480,0.007019,43.0,10000
95,182858427090039,0.027527,0.006348,43.0,10000
96,182858437090013,0.026001,0.006775,42.0,10000
97,182858447088919,0.025390,0.006164,43.0,10000
98,182858457089111,0.025879,0.006836,43.0,10000
99,182858467089960,0.026123,0.006470,43.0,10000
100,182858477098831,0.025757,0.006775,43.0,10000
101,182858487089977,0.025512,0.006287,43.0,10000
102,182858497089876,0.026795,0.007141,43.0,10000
103,182858507090127,0.025329,0.006225,43.0,10000
104,182858517090195,0.026367,0.007019,43.0,10000
105,182858527089537,0.025940,0.006409,43.0,10000
106,182858537089716,0.025635,0.006836,43.0,10000
107,182858547089824,0.026001,0.006348,43.0,10000
108,182858557090683,0.025879,0.006835,43.0,10000
109,182858567089892,0.025817,0.006348,43.0,10000
110,182858577089638,0.025940,0.006897,43.0,10000
111,182858587089924,0.025757,0.006409,43.0,10000
112,182858597089908,0.026306,0.007263,43.0,10000
113,182858607091819,0.026123,0.006775,43.0,10000
114,182858617089257,0.028626,0.006469,43.0,10000
115,182858627089986,0.027465,0.006470,42.0,10000
116,182858637089267,0.026551,0.006897,43.0,10000
117,182858647089892,0.025634,0.006592,43.0,10000
118,182858657090184,0.025696,0.006470,43.0,10000
119,182858667089475,0.025818,0.006530,43.0,10000
120,182858677089735,0.026123,0.006897,43.0,10000
121,182858687092587,0.026245,0.006897,43.0,10000
122,182858697089387,0.025696,0.006531,43.0,10000
123,182858707090226,0.025756,0.006531,43.0,10000
124,182858717089735,0.026612,0.006958,43.0,10000
125,182858727089969,0.025817,0.006531,43.0,10000
126,182858737091808,0.025818,0.006713,43.0,10000
127,182858747090112,0.025940,0.006592,43.0,10000
128,182858757089995,0.026306,0.007080,43.0,10000
129,182858767091053,0.027344,0.007996,43.0,10000
130,182858777091021,0.029052,0.009765,43.0,10000
131,182858787090705,0.025635,0.006409,43.0,10000
132,182858797089344,0.025574,0.006714,44.0,10000
133,182858807090256,0.025757,0.006470,43.0,10000
134,182858817091463,0.026611,0.007080,43.0,10000
135,182858827089735,0.026611,0.006775,43.0,10000
136,182858837090880,0.032227,0.009216,43.0,10000
137,182858847092277,0.026977,0.007080,43.0,10000
138,182858857090737,0.026245,0.006714,43.0,10000
139,182858867090031,0.025635,0.006531,43.0,10000
140,182858877089568,0.026123,0.006774,43.0,10000
141,182858887089692,0.025390,0.006470,43.0,10000
142,182858897089943,0.025818,0.006592,43.0,10000
143,182858907089031,0.026062,0.006775,43.0,10000
144,182858917089526,0.025940,0.006653,43.0,10000
145,182858927089991,0.025818,0.006530,43.0,10000
146,182858937089630,0.026062,0.006653,44.0,10000
147,182858947089344,0.026123,0.006714,43.0,10000
148,182858957089724,0.025818,0.006653,43.0,10000
149,182858967089897,0.026000,0.006653,43.0,10000
150,182858977089744,0.026062,0.006591,42.0,10000
151,182858987089457,0.025818,0.006653,43.0,10000
152,182858997089500,0.026123,0.006836,43.0,10000
153,182859007090177,0.026062,0.006714,43.0,10000
154,182859017091049,0.025757,0.006470,42.0,10000
155,182859027089730,0.026550,0.006714,43.0,10000
156,182859037090219,0.029602,0.006591,43.0,10000
157,182859047089838,0.026978,0.006653,43.0,10000
158,182859057091635,0.026306,0.007019,43.0,10000
159,182859067091505,0.026245,0.007080,43.0,10000
160,182859077090342,0.025756,0.006592,43.0,10000
161,182859087089447,0.025818,0.006592,43.0,10000
162,182859097090218,0.025513,0.006531,43.0,10000
163,182859107089200,0.026367,0.006835,43.0,10000
164,182859117090085,0.025696,0.006470,43.0,10000
165,182859127090079,0.026062,0.006775,43.0,10000
166,182859137089707,0.025512,0.006470,43.0,10000
167,182859147089890,0.026367,0.006775,43.0,10000
168,182859157089505,0.025513,0.006408,43.0,10000
169,182859167090072,0.026428,0.006836,43.0,10000
170,182859177090394,0.025757,0.006409,43.0,10000
171,182859187091673,0.026489,0.007141,43.0,10000
172,182859197089655,0.026123,0.006714,43.0,10000
173,182859207089766,0.025452,0.006592,43.0,10000
174,182859217089707,0.026123,0.006591,42.0,10000
175,182859227091536,0.026977,0.007325,43.0,10000
176,182859237089587,0.029663,0.006408,42.0,10000
177,182859247089863,0.026795,0.006714,43.0,10000
178,182859257089739,0.026062,0.006653,42.0,10000
179,182859267089781,0.025634,0.006470,43.0,10000
180,182859277089202,0.026184,0.006652,43.0,10000
181,182859287089394,0.025696,0.006653,43.0,10000
182,182859297089713,0.026245,0.006714,43.0,10000
183,182859307089342,0.025574,0.006653,42.0,10000
184,182859317089404,0.026123,0.006714,43.0,10000
185,182859327089030,0.025695,0.006653,43.0,10000
186,182859337089296,0.025879,0.006591,43.0,10000
187,182859347089508,0.026306,0.006653,43.0,10000
188,182859357089729,0.026062,0.006592,43.0,10000
189,182859367089983,0.026123,0.006897,43.0,10000
190,182859377090156,0.026428,0.007019,43.0,10000
191,182859387089947,0.025574,0.006409,42.0,10000
192,182859397089765,0.026123,0.006775,43.0,10000
193,182859407090390,0.025635,0.006347,43.0,10000
194,182859417089973,0.026184,0.006958,43.0,10000
195,182859427090253,0.026123,0.006348,43.0,10000
196,182859437091946,0.026428,0.007385,43.0,10000
197,182859447090312,0.027588,0.006409,42.0,10000
198,182859457090399,0.029907,0.007202,42.0,10000
199,182859467089394,0.025451,0.006164,43.0,10000
200,182859477089472,0.026368,0.007080,43.0,10000
201,182859487091356,0.025512,0.006348,43.0,10000
202,182859497097743,0.026428,0.007080,43.0,10000
203,182859507090653,0.025757,0.006470,43.0,10000
204,182859517089667,0.026062,0.006897,43.0,10000
205,182859527089488,0.025940,0.006470,43.0,10000
206,182859537090253,0.026184,0.007019,43.0,10000
207,182859547090083,0.025085,0.006164,43.0,10000
208,182859557089237,0.026490,0.007141,43.0,10000
209,182859567089211,0.025329,0.006165,43.0,10000
210,182859577090598,0.026428,0.007080,42.0,10000
211,182859587089810,0.025696,0.006286,43.0,10000
212,182859597089660,0.025757,0.006897,43.0,10000
213,182859607089009,0.025818,0.006348,43.0,10000
214,182859617089767,0.026062,0.006958,43.0,10000
215,182859627089429,0.025512,0.006226,43.0,10000
216,182859637090861,0.026367,0.007263,43.0,10000
217,182859647091659,0.027771,0.006897,43.0,10000
218,182859657089601,0.030213,0.007080,43.0,10000
219,182859667089399,0.025329,0.006103,43.0,10000
220,182859677089315,0.026855,0.007202,44.0,10000
221,182859687089341,0.025086,0.006104,43.0,10000
222,182859697091759,0.026184,0.006897,42.0,10000
223,182859707089793,0.025329,0.006225,43.0,10000
224,182859717089878,0.026367,0.007141,43.0,10000
225,182859727090122,0.026062,0.006348,43.0,10000
226,182859737091398,0.026734,0.007568,43.0,10000
227,182859747089252,0.025818,0.006287,43.0,10000
228,182859757089008,0.025939,0.007080,43.0,10000
229,182859767090330,0.025513,0.006226,43.0,10000
230,182859777089523,0.026550,0.006958,43.0,10000
231,182859787090148,0.025330,0.006164,42.0,10000
232,182859797089842,0.026245,0.007080,43.0,10000
233,182859807089428,0.025207,0.006165,43.0,10000
234,182859817089809,0.026612,0.006958,43.0,10000
235,182859827089666,0.025390,0.006164,43.0,10000
236,182859837089549,0.026489,0.007325,43.0,10000
237,182859847089347,0.025391,0.006164,43.0,10000
238,182859857091352,0.026672,0.007202,43.0,10000
239,182859867089737,0.028443,0.006165,43.0,10000
240,182859877089590,0.028686,0.007202,43.0,10000
241,182859887090147,0.025329,0.006225,43.0,10000
242,182859897090121,0.026612,0.007019,43.0,10000
243,182859907089538,0.025146,0.006165,43.0,10000
244,182859917090121,0.026184,0.007202,43.0,10000
245,182859927089086,0.025635,0.006287,43.0,10000
246,182859937090069,0.025879,0.006714,42.0,10000
247,182859947089190,0.025879,0.006286,44.0,10000
248,182859957089662,0.026000,0.007080,43.0,10000
249,182859967089424,0.025757,0.006348,43.0,10000
250,182859977089730,0.026062,0.006714,43.0,10000
251,182859987089190,0.025879,0.006347,43.0,10000
252,182859997089164,0.026001,0.006897,43.0,10000
253,182860007090052,0.025513,0.006348,43.0,10000
254,182860017091371,0.026123,0.007019,43.0,10000
255,182860027089964,0.026000,0.006470,43.0,10000
256,182860037090069,0.025696,0.006836,43.0,10000
257,182860047090407,0.025574,0.006164,43.0,10000
258,182860057092210,0.026550,0.006958,43.0,10000
259,182860067091742,0.028992,0.006836,43.0,10000
260,182860077089531,0.028198,0.007019,44.0,10000
261,182860087089938,0.025696,0.006226,43.0,10000
262,182860097089782,0.026184,0.006897,43.0,10000
263,182860107089502,0.025390,0.006408,43.0,10000
264,182860117089844,0.026001,0.006775,43.0,10000
265,182860127089658,0.025940,0.006348,43.0,10000
266,182860137090026,0.026001,0.006653,43.0,10000
267,182860147090312,0.025696,0.006408,44.0,10000
268,182860157089450,0.026550,0.006958,43.0,10000
269,182860167089944,0.025451,0.006165,43.0,10000
270,182860177090338,0.026123,0.006714,43.0,10000
271,182860187090224,0.025635,0.006347,44.0,10000
272,182860197091246,0.026245,0.007080,42.0,10000
273,182860207089788,0.025513,0.006287,43.0,10000
274,182860217089713,0.026428,0.006836,43.0,10000
275,182860227089091,0.025635,0.006348,43.0,10000
276,182860237089703,0.026001,0.006896,43.0,10000
277,182860247090302,0.025756,0.006348,43.0,10000
278,182860257089677,0.025940,0.006836,43.0,10000
279,182860267091604,0.026367,0.007019,43.0,10000
280,182860277089859,0.026367,0.006775,43.0,10000
281,182860287090068,0.029419,0.006409,43.0,10000
282,182860297090927,0.026795,0.006775,43.0,10000
283,182860307090761,0.025512,0.006469,43.0,10000
284,182860317090344,0.026428,0.006958,43.0,10000
285,182860327089859,0.025147,0.006165,43.0,10000
286,182860337090588,0.026184,0.006958,43.0,10000
287,182860347090637,0.026001,0.006469,43.0,10000
288,182860357089911,0.026184,0.006958,43.0,10000
289,182860367089764,0.025757,0.006348,43.0,10000
290,182860377090412,0.026306,0.006897,43.0,10000
291,182860387090067,0.025329,0.006287,43.0,10000
292,182860397090432,0.026306,0.007019,43.0,10000
293,182860407090041,0.025513,0.006286,43.0,10000
294,182860417090249,0.026062,0.006897,43.0,10000
295,182860427089657,0.026062,0.006470,43.0,10000
296,182860437090344,0.025757,0.006775,43.0,10000
297,182860447089894,0.025573,0.006347,43.0,10000
298,182860457090083,0.026489,0.007203,43.0,10000
299,182860467089686,0.025391,0.006225,42.0,10000
300,182860477091271,0.026855,0.007019,42.0,10000
301,182860487090256,0.029236,0.006287,43.0,10000
302,182860497090141,0.026733,0.006836,43.0,10000
303,182860507090510,0.025696,0.006408,43.0,10000
304,182860517090516,0.026245,0.006897,43.0,10000
305,182860527089738,0.025208,0.006165,43.0,10000
306,182860537090041,0.026428,0.007202,43.0,10000
307,182860547090076,0.025390,0.006287,43.0,10000
308,182860557089728,0.026123,0.006958,43.0,10000
309,182860567089630,0.025818,0.006408,43.0,10000
310,182860577090210,0.026062,0.007019,42.0,10000
311,182860587089848,0.025635,0.006348,43.0,10000
312,182860597090629,0.026672,0.007080,43.0,10000
313,182860607090119,0.025330,0.006287,42.0,10000
314,182860617089816,0.026550,0.007141,43.0,10000
315,182860627089806,0.025390,0.006286,43.0,10000
316,182860637089786,0.026490,0.007141,43.0,10000
317,182860647089373,0.025024,0.006165,42.0,10000
318,182860657102723,0.026062,0.006958,43.0,10000
319,182860667090519,0.025757,0.006348,43.0,10000
320,182860677095802,0.026001,0.006897,43.0,10000
321,182860687091551,0.025878,0.006713,43.0,10000
322,182860697096785,0.028138,0.007141,43.0,10000
323,182860707090593,0.029113,0.006409,43.0,10000
324,182860717095977,0.026428,0.007019,43.0,10000
325,182860727095548,0.025574,0.006287,44.0,10000
326,182860737091394,0.026489,0.007568,43.0,10000
327,182860747096202,0.025513,0.006226,43.0,10000
328,182860757099066,0.026062,0.007019,43.0,10000
329,182860767096342,0.025635,0.006286,43.0,10000
330,182860777096013,0.026428,0.006958,42.0,10000
331,182860787096482,0.025879,0.006592,42.0,10000
332,182860797095248,0.026123,0.006958,43.0,10000
333,182860807096296,0.025390,0.006348,43.0,10000
334,182860817095541,0.026245,0.006836,43.0,10000
335,182860827095856,0.025391,0.006164,43.0,10000
336,182860837095401,0.026062,0.007080,43.0,10000
337,182860847096133,0.026001,0.006348,43.0,10000
338,182860857099281,0.025817,0.006775,42.0,10000
339,182860867095743,0.025513,0.006225,43.0,10000
340,182860877095436,0.026367,0.007019,43.0,10000
341,182860887096185,0.025513,0.006348,43.0,10000
342,182860897097696,0.028137,0.007019,43.0,10000
343,182860907095768,0.028992,0.006348,43.0,10000
344,182860917095586,0.026489,0.007080,43.0,10000
345,182860927095869,0.025207,0.006103,43.0,10000
346,182860937095612,0.026001,0.006958,43.0,10000
347,182860947096009,0.025757,0.006409,43.0,10000
348,182860957098066,0.025818,0.006836,43.0,10000
349,182860967096081,0.025756,0.006286,43.0,10000
350,182860977095550,0.026123,0.006836,43.0,10000
351,182860987096003,0.025635,0.006348,43.0,10000
352,182860997095592,0.026184,0.006958,43.0,10000
353,182861007095377,0.025391,0.006226,42.0,10000
354,182861017095960,0.026672,0.007019,43.0,10000
355,182861027095560,0.025330,0.006347,43.0,10000
356,182861037097431,0.026733,0.007507,42.0,10000
357,182861047098424,0.025818,0.006470,43.0,10000
358,182861057100039,0.025695,0.006714,43.0,10000
359,182861067097613,0.026368,0.006958,43.0,10000
360,182861077096819,0.026367,0.006958,43.0,10000
361,182861087096067,0.025390,0.006287,43.0,10000
362,182861097099508,0.026306,0.007019,43.0,10000
363,182861107096923,0.025513,0.006469,43.0,10000
364,182861117089361,0.029175,0.006958,42.0,10000
365,182861127097252,0.027710,0.006287,43.0,10000
366,182861137089879,0.025878,0.006836,43.0,10000
367,182861147090152,0.025513,0.006348,43.0,10000
368,182861157089377,0.026428,0.007019,43.0,10000
369,182861167090507,0.025086,0.006103,43.0,10000
370,182861177090386,0.026489,0.006836,43.0,10000
371,182861187089559,0.025146,0.006287,43.0,10000
372,182861197089973,0.026123,0.006774,43.0,10000
373,182861207098518,0.025757,0.006409,43.0,10000
374,182861217090116,0.026245,0.006836,43.0,10000
375,182861227089621,0.025940,0.006409,43.0,10000
376,182861237089914,0.026306,0.007080,43.0,10000
377,182861247089790,0.025635,0.006347,43.0,10000
378,182861257090149,0.026001,0.006897,43.0,10000
379,182861267089784,0.026061,0.006470,43.0,10000
380,182861277089325,0.025879,0.006714,43.0,10000
381,182861287089517,0.025818,0.006409,43.0,10000
382,182861297090129,0.025696,0.006652,43.0,10000
383,182861307091714,0.026001,0.006775,43.0,10000
384,182861317089569,0.029297,0.006897,43.0,10000
385,182861327090272,0.027221,0.006165,43.0,10000
386,182861337089839,0.025574,0.006347,42.0,10000
387,182861347090116,0.026672,0.007142,43.0,10000
388,182861357091112,0.025879,0.006835,43.0,10000
389,182861367090255,0.025513,0.006287,43.0,10000
390,182861377090418,0.025939,0.006836,43.0,10000
391,182861387089975,0.025757,0.006409,42.0,10000
392,182861397090402,0.025452,0.006164,43.0,10000
393,182861407089923,0.025696,0.006531,43.0,10000
394,182861417090372,0.026306,0.006775,43.0,10000
395,182861427090096,0.025878,0.006592,43.0,10000
396,182861437089783,0.025940,0.006591,43.0,10000
397,182861447089490,0.025818,0.006592,44.0,10000
398,182861457089272,0.026001,0.006897,43.0,10000
399,182861467090177,0.026367,0.006836,43.0,10000
400,182861477089506,0.025330,0.006348,43.0,10000
401,182861487089318,0.026062,0.006591,43.0,10000
402,182861497089662,0.025879,0.006714,43.0,10000
403,182861507089838,0.025939,0.006653,43.0,10000
404,182861517091814,0.026367,0.006897,43.0,10000
405,182861527090496,0.026307,0.006531,42.0,10000
