sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,13062927636054,0.055908,0.032898,53.0,10000
2,13062937633929,0.058899,0.034728,54.0,10000
3,13062947633681,0.055541,0.032654,53.0,10000
4,13062957633339,0.057739,0.033814,53.0,10000
5,13062967633682,0.057618,0.033813,53.0,10000
6,13062977633496,0.057372,0.033630,53.0,10000
7,13062987633452,0.057373,0.033814,54.0,10000
8,13062997634010,0.059509,0.034912,53.0,10000
9,13063007633924,0.051453,0.033874,53.0,10000
10,13063017633776,0.061340,0.032349,53.0,10000
11,13063027634125,0.059204,0.034912,54.0,10000
12,13063037634224,0.057800,0.033996,54.0,10000
13,13063047633774,0.056091,0.032837,53.0,10000
14,13063057633533,0.061280,0.033752,54.0,10000
15,13063067634150,0.059326,0.033753,54.0,10000
16,13063077634020,0.057495,0.033813,54.0,10000
17,13063087633840,0.053771,0.031555,53.0,10000
18,13063097633934,0.061035,0.035706,54.0,10000
19,13063107633702,0.058960,0.034607,54.0,10000
20,13063117634032,0.056274,0.033019,54.0,10000
21,13063127634134,0.053345,0.031495,53.0,10000
22,13063137633303,0.061096,0.035949,53.0,10000
23,13063147633729,0.058411,0.034424,53.0,10000
24,13063157633731,0.052184,0.030761,53.0,10000
25,13063167633615,0.062561,0.036805,53.0,10000
26,13063177634198,0.056702,0.033569,54.0,10000
27,13063187633740,0.058044,0.034240,53.0,10000
28,13063197633189,0.057434,0.033814,53.0,10000
29,13063207634003,0.057068,0.033630,53.0,10000
30,13063217633464,0.057129,0.033630,54.0,10000
31,13063227633605,0.055480,0.032715,53.0,10000
32,13063237633437,0.057129,0.033692,54.0,10000
33,13063247633675,0.059631,0.035217,54.0,10000
34,13063257633324,0.054871,0.030334,54.0,10000
35,13063267633695,0.062744,0.035950,53.0,10000
36,13063277633733,0.057312,0.033752,53.0,10000
37,13063287633267,0.053649,0.031616,53.0,10000
38,13063297634025,0.060974,0.035767,54.0,10000
39,13063307633375,0.059448,0.034973,54.0,10000
40,13063317633384,0.056946,0.033386,53.0,10000
41,13063327633909,0.057678,0.033935,53.0,10000
42,13063337633611,0.050110,0.029297,54.0,10000
43,13063347633154,0.064758,0.038025,53.0,10000
44,13063357634035,0.057190,0.033508,54.0,10000
45,13063367633610,0.056579,0.033081,53.0,10000
46,13063377633837,0.058655,0.034668,54.0,10000
47,13063387633683,0.051941,0.030579,53.0,10000
48,13063397633806,0.057251,0.033813,53.0,10000
49,13063407633490,0.062438,0.036560,53.0,10000
50,13063417634009,0.052551,0.030945,54.0,10000
51,13063427633545,0.062622,0.036865,53.0,10000
52,13063437633550,0.057129,0.033691,53.0,10000
53,13063447633602,0.052124,0.030640,53.0,10000
54,13063457633358,0.061096,0.034057,53.0,10000
55,13063467633761,0.059204,0.033570,53.0,10000
56,13063477633389,0.065246,0.035949,53.0,10000
57,13063487633737,0.058960,0.034729,54.0,10000
58,13063497633408,0.051697,0.033997,54.0,10000
59,13063507633363,0.060852,0.032348,53.0,10000
60,13063517633562,0.059570,0.035034,53.0,10000
61,13063527633858,0.055359,0.032593,54.0,10000
62,13063537633560,0.053772,0.031738,53.0,10000
63,13063547633325,0.056945,0.037109,54.0,10000
64,13063557633123,0.061340,0.032471,53.0,10000
65,13063567633589,0.058838,0.034790,54.0,10000
66,13063577634034,0.055786,0.032776,53.0,10000
67,13063587633918,0.053772,0.031738,53.0,10000
68,13063597634175,0.062805,0.037109,53.0,10000
69,13063607633461,0.056946,0.033508,54.0,10000
70,13063617634085,0.055847,0.032837,53.0,10000
71,13063627633814,0.053039,0.031433,54.0,10000
72,13063637633425,0.062744,0.036987,54.0,10000
73,13063647633941,0.055481,0.032654,53.0,10000
74,13063657634342,0.057739,0.033936,54.0,10000
75,13063667634094,0.058716,0.033874,54.0,10000
76,13063677633646,0.061279,0.033752,54.0,10000
77,13063687634408,0.059936,0.035096,54.0,10000
78,13063697633816,0.057129,0.033691,53.0,10000
79,13063707633346,0.057373,0.033630,54.0,10000
80,13063717633261,0.052002,0.030640,54.0,10000
81,13063727633319,0.062377,0.036682,54.0,10000
82,13063737633962,0.052918,0.031189,54.0,10000
83,13063747633599,0.061035,0.035766,54.0,10000
84,13063757634005,0.059143,0.034668,53.0,10000
85,13063767633679,0.052001,0.034058,53.0,10000
86,13063777633847,0.063660,0.033569,54.0,10000
87,13063787633471,0.058471,0.034179,54.0,10000
88,13063797633309,0.059815,0.035706,53.0,10000
89,13063807633310,0.057800,0.033935,53.0,10000
90,13063817633525,0.056640,0.032776,53.0,10000
91,13063827633408,0.059510,0.034790,53.0,10000
92,13063837633873,0.057372,0.033508,53.0,10000
93,13063847633665,0.057740,0.033753,53.0,10000
94,13063857633774,0.053405,0.031433,53.0,10000
95,13063867633637,0.059509,0.034607,54.0,10000
96,13063877633342,0.065796,0.035888,53.0,10000
97,13063887633969,0.057983,0.033691,54.0,10000
98,13063897633563,0.059265,0.034668,53.0,10000
99,13063907633485,0.052673,0.030762,53.0,10000
100,13063917633934,0.062744,0.036682,53.0,10000
101,13063927633564,0.056092,0.032776,53.0,10000
102,13063937633616,0.059143,0.034851,53.0,10000
103,13063947633253,0.055480,0.032470,53.0,10000
104,13063957634071,0.057862,0.033936,53.0,10000
105,13063967633647,0.058837,0.034424,54.0,10000
106,13063977633247,0.057556,0.033813,53.0,10000
107,13063987633770,0.058594,0.034180,54.0,10000
108,13063997633309,0.057190,0.033569,54.0,10000
109,13064007634005,0.052185,0.030517,53.0,10000
110,13064017634254,0.063659,0.037049,53.0,10000
111,13064027633730,0.052307,0.030578,54.0,10000
112,13064037633265,0.062683,0.036743,54.0,10000
113,13064047633708,0.055786,0.032776,53.0,10000
114,13064057633534,0.058472,0.034424,53.0,10000
115,13064067634005,0.058166,0.034057,53.0,10000
116,13064077633652,0.056091,0.032959,53.0,10000
117,13064087633235,0.062439,0.034851,53.0,10000
118,13064097633855,0.060302,0.033814,54.0,10000
119,13064107634063,0.057740,0.033691,54.0,10000
120,13064117633846,0.055908,0.032654,54.0,10000
121,13064127633710,0.053649,0.031494,53.0,10000
122,13064137633720,0.061951,0.035949,53.0,10000
123,13064147633323,0.059875,0.034912,54.0,10000
124,13064157634064,0.055908,0.032471,53.0,10000
125,13064167634014,0.057800,0.033691,53.0,10000
126,13064177633369,0.057862,0.033814,53.0,10000
127,13064187634165,0.058593,0.033996,53.0,10000
128,13064197633718,0.057800,0.033752,53.0,10000
129,13064207633318,0.054322,0.031678,53.0,10000
130,13064217633501,0.063171,0.036926,53.0,10000
131,13064227634228,0.056762,0.033325,54.0,10000
132,13064237633852,0.058045,0.033935,53.0,10000
133,13064247634075,0.053039,0.030823,54.0,10000
134,13064257633527,0.062073,0.035950,53.0,10000
135,13064267633996,0.059631,0.034851,54.0,10000
136,13064277633527,0.057983,0.033752,54.0,10000
137,13064287634072,0.058777,0.032776,53.0,10000
138,13064297633779,0.054748,0.030334,53.0,10000
139,13064307633311,0.059326,0.034790,53.0,10000
140,13064317634089,0.061646,0.036072,54.0,10000
141,13064327633874,0.059509,0.034729,54.0,10000
142,13064337633338,0.052368,0.033935,54.0,10000
143,13064347633468,0.057800,0.030396,53.0,10000
144,13064357633068,0.061828,0.035949,54.0,10000
145,13064367633646,0.059998,0.034912,53.0,10000
146,13064377633151,0.058105,0.033631,53.0,10000
147,13064387634362,0.058227,0.033813,53.0,10000
148,13064397633798,0.052674,0.030334,54.0,10000
149,13064407633644,0.057861,0.033692,53.0,10000
150,13064417633430,0.063476,0.037048,54.0,10000
151,13064427633939,0.051819,0.030334,53.0,10000
152,13064437633480,0.063598,0.037049,54.0,10000
153,13064447633281,0.052185,0.030578,53.0,10000
154,13064457634081,0.057617,0.033813,53.0,10000
155,13064467633665,0.061402,0.035706,53.0,10000
156,13064477634157,0.054321,0.031738,53.0,10000
157,13064487634335,0.061706,0.036011,54.0,10000
158,13064497633895,0.060425,0.034912,54.0,10000
159,13064507633477,0.060058,0.032654,53.0,10000
160,13064517633728,0.055298,0.031372,54.0,10000
161,13064527633474,0.063049,0.036865,53.0,10000
162,13064537633407,0.056579,0.032775,53.0,10000
163,13064547634093,0.060242,0.035035,54.0,10000
164,13064557633297,0.055908,0.032592,53.0,10000
165,13064567634021,0.059692,0.034668,54.0,10000
166,13064577633237,0.057556,0.033569,53.0,10000
167,13064587633624,0.052979,0.030762,53.0,10000
168,13064597633179,0.058105,0.033752,54.0,10000
169,13064607634305,0.061828,0.035889,54.0,10000
170,13064617634025,0.054505,0.031738,53.0,10000
171,13064627633642,0.061279,0.035706,54.0,10000
172,13064637633317,0.059631,0.034667,54.0,10000
173,13064647633401,0.056152,0.032776,54.0,10000
174,13064657634002,0.054382,0.031983,53.0,10000
175,13064667634096,0.063782,0.036926,53.0,10000
176,13064677633519,0.056030,0.032531,53.0,10000
177,13064687634118,0.054504,0.031800,53.0,10000
178,13064697633918,0.057678,0.033752,53.0,10000
179,13064707633792,0.061585,0.033752,53.0,10000
180,13064717633436,0.059753,0.033936,53.0,10000
181,13064727634074,0.062988,0.036804,53.0,10000
182,13064737633533,0.058411,0.033935,53.0,10000
183,13064747634000,0.052734,0.030823,53.0,10000
184,13064757633277,0.061828,0.035706,53.0,10000
185,13064767633659,0.058350,0.033752,54.0,10000
186,13064777633734,0.060058,0.035034,54.0,10000
187,13064787633379,0.052368,0.030456,54.0,10000
188,13064797633469,0.055603,0.032349,54.0,10000
189,13064807633795,0.064453,0.037231,54.0,10000
190,13064817633943,0.059753,0.034790,53.0,10000
191,13064827633547,0.056153,0.032654,53.0,10000
192,13064837633743,0.054504,0.031738,53.0,10000
193,13064847633149,0.057190,0.033508,53.0,10000
194,13064857633925,0.063293,0.037049,54.0,10000
195,13064867633658,0.051636,0.030273,53.0,10000
196,13064877633797,0.061828,0.036133,54.0,10000
197,13064887633835,0.057434,0.033630,54.0,10000
198,13064897633357,0.053833,0.031555,53.0,10000
199,13064907634642,0.061706,0.036072,54.0,10000
