sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,54555729837410,0.034729,0.008972,43.0,10000
2,54555739833103,0.031250,0.007385,43.0,10000
3,54555749831202,0.028992,0.006287,45.0,10000
4,54555759831905,0.029418,0.006714,44.0,10000
5,54555769832077,0.030701,0.006592,43.0,10000
6,54555779831697,0.029175,0.006958,45.0,10000
7,54555789831521,0.030212,0.006408,43.0,10000
8,54555799831228,0.030945,0.006958,43.0,10000
9,54555809831941,0.029175,0.006592,44.0,10000
10,54555819834796,0.032226,0.008301,43.0,10000
11,54555829831807,0.032227,0.006103,43.0,10000
12,54555839831706,0.031372,0.007080,43.0,10000
13,54555849831130,0.030822,0.006592,43.0,10000
14,54555859831801,0.030701,0.007385,43.0,10000
15,54555869831286,0.029602,0.006287,43.0,10000
16,54555879831599,0.029297,0.006775,43.0,10000
17,54555889831879,0.030090,0.006653,44.0,10000
18,54555899831312,0.030212,0.007141,44.0,10000
19,54555909832858,0.029968,0.006470,43.0,10000
20,54555919831703,0.030823,0.007080,43.0,10000
21,54555929831374,0.028076,0.006103,43.0,10000
22,54555939831931,0.031311,0.007507,43.0,10000
23,54555949831384,0.029724,0.006287,43.0,10000
24,54555959831234,0.030457,0.006958,43.0,10000
25,54555969831227,0.029357,0.006470,43.0,10000
26,54555979830879,0.030091,0.007080,43.0,10000
27,54555989830863,0.029419,0.006286,43.0,10000
28,54555999831028,0.029846,0.006958,43.0,10000
29,54556009831540,0.029907,0.006470,44.0,10000
30,54556019831963,0.030151,0.007080,44.0,10000
31,54556029834150,0.030029,0.007019,43.0,10000
32,54556039831601,0.031861,0.007141,43.0,10000
33,54556049831237,0.032348,0.006287,43.0,10000
34,54556059831285,0.029297,0.006775,43.0,10000
35,54556069831487,0.030762,0.006531,44.0,10000
36,54556079831738,0.028991,0.006774,43.0,10000
37,54556089831259,0.030335,0.006592,43.0,10000
38,54556099831581,0.030395,0.007080,43.0,10000
39,54556109831240,0.028381,0.006043,43.0,10000
40,54556119830810,0.031494,0.007263,43.0,10000
41,54556129830686,0.029419,0.006470,43.0,10000
42,54556139830895,0.029114,0.006774,43.0,10000
43,54556149831591,0.030579,0.006531,43.0,10000
44,54556159831070,0.029479,0.006958,43.0,10000
45,54556169831435,0.030823,0.006653,43.0,10000
46,54556179831467,0.028748,0.006836,43.0,10000
47,54556189831601,0.030334,0.006470,43.0,10000
48,54556199830998,0.030029,0.007080,43.0,10000
49,54556209831956,0.029419,0.006469,43.0,10000
50,54556219833752,0.030640,0.007508,43.0,10000
51,54556229833101,0.029541,0.006775,43.0,10000
