sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,2428461238249,0.060546,0.037353,52.0,10000
2,2428471236263,0.060364,0.037110,52.0,10000
3,2428481235987,0.062439,0.038574,50.0,10000
4,2428491236627,0.059997,0.037170,50.0,10000
5,2428501236734,0.058350,0.035950,52.0,10000
6,2428511236176,0.062866,0.038940,50.0,10000
7,2428521236191,0.057861,0.035522,52.0,10000
8,2428531236375,0.062744,0.038819,52.0,10000
9,2428541236787,0.060180,0.036987,51.0,10000
10,2428551236158,0.058411,0.035827,52.0,10000
11,2428561236016,0.062866,0.038880,52.0,10000
12,2428571236779,0.060669,0.037414,50.0,10000
13,2428581236779,0.060424,0.037354,50.0,10000
14,2428591236036,0.060852,0.037353,52.0,10000
15,2428601236214,0.059876,0.036682,50.0,10000
16,2428611236256,0.058715,0.036194,52.0,10000
17,2428621235934,0.065247,0.038940,52.0,10000
18,2428631236791,0.063049,0.037109,52.0,10000
19,2428641236119,0.058105,0.035523,52.0,10000
20,2428651236570,0.061035,0.037475,50.0,10000
21,2428661236508,0.062988,0.038757,52.0,10000
22,2428671235926,0.060730,0.037171,52.0,10000
23,2428681236068,0.060059,0.036987,49.0,10000
24,2428691236133,0.060607,0.037292,52.0,10000
25,2428701236595,0.061218,0.037537,52.0,10000
26,2428711236353,0.059693,0.036743,50.0,10000
27,2428721235763,0.058715,0.035950,52.0,10000
28,2428731236876,0.063172,0.038879,50.0,10000
29,2428741236029,0.060302,0.037048,52.0,10000
30,2428751235951,0.060242,0.037109,52.0,10000
31,2428761236213,0.061218,0.037659,50.0,10000
32,2428771236796,0.060547,0.037048,50.0,10000
33,2428781236087,0.059936,0.036987,50.0,10000
34,2428791236584,0.060852,0.037354,52.0,10000
35,2428801235983,0.060608,0.037292,52.0,10000
36,2428811236660,0.060302,0.037171,52.0,10000
37,2428821235883,0.060913,0.037597,52.0,10000
38,2428831236212,0.059814,0.036926,50.0,10000
39,2428841236506,0.064209,0.037476,52.0,10000
40,2428851236716,0.062622,0.037658,52.0,10000
41,2428861235851,0.059448,0.036682,52.0,10000
42,2428871235936,0.061035,0.037598,52.0,10000
43,2428881236088,0.060120,0.037170,52.0,10000
44,2428891236674,0.058471,0.035828,52.0,10000
45,2428901236035,0.062988,0.038879,52.0,10000
46,2428911236247,0.057800,0.035645,52.0,10000
47,2428921236535,0.062317,0.038452,52.0,10000
48,2428931235996,0.059692,0.036865,52.0,10000
49,2428941236183,0.060913,0.037475,52.0,10000
50,2428951236419,0.059876,0.036926,52.0,10000
51,2428961235826,0.061218,0.037842,52.0,10000
52,2428971236752,0.059997,0.036987,52.0,10000
53,2428981235883,0.060730,0.037415,53.0,10000
54,2428991236141,0.058288,0.035766,52.0,10000
55,2429001236617,0.062378,0.038452,53.0,10000
56,2429011236314,0.060364,0.037293,52.0,10000
57,2429021236681,0.060119,0.037048,52.0,10000
58,2429031236957,0.059143,0.036499,52.0,10000
59,2429041236267,0.065613,0.038391,52.0,10000
60,2429051236351,0.060058,0.036133,52.0,10000
61,2429061235863,0.061890,0.038269,52.0,10000
