sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,42473058596792,0.059204,0.036132,50.0,10000
2,42473068596002,0.057495,0.034973,49.0,10000
3,42473078594908,0.062316,0.036805,52.0,10000
4,42473088595348,0.060303,0.034301,49.0,10000
5,42473098594968,0.060425,0.036499,50.0,10000
6,42473108595015,0.059448,0.036316,52.0,10000
7,42473118595248,0.059265,0.035950,52.0,10000
8,42473128594766,0.057739,0.034728,50.0,10000
9,42473138595404,0.054016,0.033142,50.0,10000
10,42473148595408,0.064270,0.038941,52.0,10000
11,42473158595582,0.057128,0.034729,52.0,10000
12,42473168595089,0.061280,0.037231,52.0,10000
13,42473178594875,0.056396,0.034180,52.0,10000
14,42473188595206,0.058288,0.034912,52.0,10000
15,42473198594997,0.061218,0.037048,52.0,10000
16,42473208595425,0.059387,0.036072,50.0,10000
17,42473218595012,0.057007,0.034545,50.0,10000
18,42473228594456,0.059265,0.035889,49.0,10000
19,42473238594969,0.062073,0.037903,49.0,10000
20,42473248594600,0.059265,0.035949,52.0,10000
21,42473258595197,0.058715,0.035462,52.0,10000
22,42473268595211,0.059754,0.036132,52.0,10000
23,42473278594862,0.058410,0.034729,52.0,10000
24,42473288595543,0.056641,0.032349,50.0,10000
25,42473298595176,0.061401,0.036926,52.0,10000
26,42473308595184,0.064758,0.039490,50.0,10000
27,42473318594832,0.052185,0.031250,50.0,10000
28,42473328594710,0.064636,0.039367,50.0,10000
29,42473338594659,0.058777,0.035950,50.0,10000
30,42473348595285,0.050598,0.030517,49.0,10000
31,42473358594832,0.065307,0.039917,52.0,10000
32,42473368595260,0.058167,0.035095,50.0,10000
33,42473378595008,0.054565,0.036927,50.0,10000
34,42473388595400,0.064575,0.035156,50.0,10000
35,42473398595243,0.058960,0.035949,49.0,10000
36,42473408594683,0.058044,0.034973,50.0,10000
37,42473418594649,0.057617,0.034912,50.0,10000
38,42473428594942,0.060486,0.036499,50.0,10000
39,42473438595146,0.059631,0.036255,52.0,10000
40,42473448594597,0.056762,0.034363,50.0,10000
41,42473458595414,0.059387,0.036316,52.0,10000
42,42473468594981,0.055176,0.033569,50.0,10000
43,42473478595411,0.059814,0.036499,52.0,10000
44,42473488594965,0.062317,0.037964,52.0,10000
45,42473498595576,0.061645,0.036132,52.0,10000
46,42473508594995,0.062622,0.036133,52.0,10000
47,42473518595357,0.058899,0.035644,49.0,10000
48,42473528595095,0.053467,0.032471,50.0,10000
49,42473538595370,0.064758,0.039246,50.0,10000
50,42473548594664,0.059509,0.036376,50.0,10000
51,42473558594761,0.052673,0.031983,50.0,10000
52,42473568594913,0.065918,0.040405,49.0,10000
53,42473578595332,0.057007,0.034851,49.0,10000
54,42473588595568,0.061157,0.037292,50.0,10000
55,42473598595053,0.059204,0.036133,50.0,10000
56,42473608595213,0.059082,0.036194,50.0,10000
57,42473618594772,0.058776,0.035705,50.0,10000
58,42473628595362,0.052490,0.035401,49.0,10000
59,42473638595556,0.065064,0.035888,52.0,10000
60,42473648595206,0.058838,0.035767,52.0,10000
61,42473658594640,0.057678,0.035095,52.0,10000
62,42473668595199,0.059265,0.036255,50.0,10000
63,42473678594808,0.055541,0.037841,50.0,10000
64,42473688595644,0.065186,0.036194,50.0,10000
65,42473698595117,0.059082,0.034729,49.0,10000
66,42473708594954,0.063598,0.037170,52.0,10000
67,42473718595429,0.058350,0.035217,49.0,10000
68,42473728595605,0.059204,0.036011,52.0,10000
69,42473738595465,0.050170,0.030273,50.0,10000
70,42473748594765,0.065003,0.039490,50.0,10000
71,42473758594614,0.058532,0.035461,52.0,10000
72,42473768594770,0.060974,0.037171,50.0,10000
73,42473778595187,0.058716,0.035400,52.0,10000
74,42473788595251,0.058166,0.035583,52.0,10000
75,42473798594698,0.057983,0.035340,52.0,10000
76,42473808594817,0.061463,0.037658,50.0,10000
77,42473818594722,0.057434,0.034729,50.0,10000
78,42473828595311,0.057128,0.034485,49.0,10000
79,42473838595286,0.059143,0.036194,50.0,10000
80,42473848594936,0.059448,0.036377,52.0,10000
81,42473858595315,0.062134,0.038208,50.0,10000
82,42473868595494,0.058655,0.035583,52.0,10000
83,42473878595022,0.057373,0.034729,50.0,10000
84,42473888594839,0.061218,0.037414,50.0,10000
85,42473898595060,0.059509,0.036316,49.0,10000
86,42473908594631,0.056945,0.034729,50.0,10000
87,42473918595486,0.064575,0.036987,50.0,10000
88,42473928595302,0.058472,0.034668,50.0,10000
89,42473938595402,0.061035,0.037415,50.0,10000
90,42473948594863,0.056457,0.033935,52.0,10000
91,42473958594841,0.059693,0.036621,49.0,10000
92,42473968595380,0.057922,0.035034,50.0,10000
