sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,18403820068642,0.034118,0.009766,43.0,10000
2,18403830068746,0.030823,0.007324,43.0,10000
3,18403840065266,0.029480,0.006225,43.0,10000
4,18403850067740,0.029724,0.007202,43.0,10000
5,18403860064996,0.030578,0.006531,43.0,10000
6,18403870063590,0.028565,0.006165,43.0,10000
7,18403880066663,0.030090,0.007080,43.0,10000
8,18403890064638,0.030762,0.006897,43.0,10000
9,18403900064153,0.029358,0.006347,43.0,10000
10,18403910065152,0.032653,0.009400,43.0,10000
11,18403920066037,0.029480,0.006653,42.0,10000
12,18403930064924,0.028748,0.006164,42.0,10000
13,18403940065230,0.029235,0.006409,43.0,10000
14,18403950064094,0.030457,0.006592,43.0,10000
15,18403960064136,0.028503,0.005920,42.0,10000
16,18403970066340,0.030640,0.007568,42.0,10000
17,18403980067850,0.034485,0.008484,43.0,10000
18,18403990066350,0.032531,0.007019,42.0,10000
19,18404000064377,0.030213,0.006348,43.0,10000
20,18404010066782,0.030395,0.007324,42.0,10000
21,18404020064943,0.028809,0.006348,43.0,10000
22,18404030064110,0.029357,0.006286,43.0,10000
23,18404040063892,0.029419,0.006287,43.0,10000
24,18404050064110,0.029724,0.006653,43.0,10000
25,18404060064741,0.030457,0.006469,43.0,10000
26,18404070065184,0.029174,0.006714,43.0,10000
27,18404080065750,0.030091,0.006836,42.0,10000
28,18404090065360,0.031189,0.007141,43.0,10000
29,18404100064240,0.029296,0.006226,43.0,10000
30,18404110066167,0.030701,0.007202,43.0,10000
31,18404120064761,0.029297,0.006409,43.0,10000
32,18404130064943,0.029846,0.006469,42.0,10000
33,18404140064005,0.029663,0.006287,42.0,10000
34,18404150065724,0.030151,0.007141,43.0,10000
35,18404160064073,0.029602,0.006348,43.0,10000
36,18404170063989,0.029907,0.006530,43.0,10000
37,18404180065682,0.029724,0.006897,42.0,10000
38,18404190065864,0.029480,0.006775,43.0,10000
39,18404200067319,0.038025,0.010315,43.0,10000
40,18404210065177,0.031250,0.006958,42.0,10000
41,18404220065724,0.029236,0.006775,43.0,10000
42,18404230064943,0.029968,0.006714,43.0,10000
43,18404240065291,0.029663,0.006836,42.0,10000
44,18404250063705,0.029114,0.006286,43.0,10000
45,18404260063901,0.029235,0.006348,43.0,10000
46,18404270066573,0.031617,0.007385,43.0,10000
47,18404280063699,0.028686,0.006165,43.0,10000
48,18404290065401,0.030395,0.006775,43.0,10000
49,18404300066147,0.028931,0.006531,44.0,10000
50,18404310065919,0.029907,0.006835,43.0,10000
51,18404320065593,0.031128,0.007081,43.0,10000
52,18404330063777,0.029053,0.006225,43.0,10000
53,18404340064151,0.029663,0.006470,43.0,10000
54,18404350066801,0.029113,0.007019,43.0,10000
55,18404360064245,0.030579,0.006531,43.0,10000
56,18404370064708,0.029175,0.006347,42.0,10000
57,18404380065645,0.028747,0.006592,43.0,10000
58,18404390066338,0.030823,0.007080,43.0,10000
59,18404400063994,0.033508,0.006348,43.0,10000
60,18404410064981,0.029175,0.006286,42.0,10000
61,18404420066088,0.030761,0.007202,43.0,10000
62,18404430064759,0.029541,0.006226,43.0,10000
