sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,200382469263144,0.058105,0.036682,54.0,10000
2,200382479262256,0.058106,0.036804,54.0,10000
3,200382489261766,0.059265,0.037475,54.0,10000
4,200382499261624,0.061096,0.038880,54.0,10000
5,200382509261789,0.059753,0.037841,54.0,10000
6,200382519261829,0.058960,0.037232,54.0,10000
7,200382529262039,0.059082,0.037536,54.0,10000
8,200382539261974,0.060363,0.038391,54.0,10000
9,200382549262176,0.058838,0.037293,53.0,10000
10,200382559261693,0.058777,0.037231,54.0,10000
11,200382569262409,0.058166,0.036743,54.0,10000
12,200382579262229,0.061768,0.039368,54.0,10000
13,200382589262332,0.057067,0.036132,53.0,10000
14,200382599261971,0.059387,0.037659,53.0,10000
15,200382609262023,0.059082,0.037292,54.0,10000
16,200382619261781,0.059143,0.037415,54.0,10000
17,200382629262075,0.061829,0.039428,53.0,10000
18,200382639262039,0.058837,0.037232,54.0,10000
19,200382649261966,0.057190,0.036194,54.0,10000
20,200382659261588,0.065185,0.039306,54.0,10000
21,200382669261446,0.060913,0.037781,53.0,10000
22,200382679261514,0.058838,0.037231,54.0,10000
23,200382689262140,0.060547,0.038330,53.0,10000
24,200382699262403,0.059875,0.037964,53.0,10000
25,200382709261841,0.056824,0.035949,54.0,10000
26,200382719261836,0.059387,0.037659,53.0,10000
27,200382729261309,0.060730,0.038635,53.0,10000
28,200382739262221,0.060058,0.038147,53.0,10000
29,200382749261615,0.057373,0.036438,54.0,10000
30,200382759261338,0.060913,0.038696,54.0,10000
31,200382769261869,0.059814,0.037903,54.0,10000
32,200382779261666,0.057495,0.036438,54.0,10000
33,200382789261994,0.059448,0.037658,54.0,10000
34,200382799261731,0.060425,0.038391,53.0,10000
35,200382809261543,0.060180,0.038269,54.0,10000
36,200382819261826,0.059510,0.037720,53.0,10000
37,200382829261457,0.059326,0.037903,53.0,10000
38,200382839262216,0.057861,0.036865,54.0,10000
39,200382849261661,0.060424,0.038940,53.0,10000
40,200382859261738,0.059754,0.035950,53.0,10000
41,200382869261994,0.062561,0.039001,54.0,10000
42,200382879262198,0.057311,0.036499,54.0,10000
43,200382889261301,0.060852,0.038757,53.0,10000
44,200382899261757,0.058960,0.037537,54.0,10000
45,200382909262350,0.060120,0.038208,53.0,10000
46,200382919261949,0.058898,0.037292,53.0,10000
47,200382929261531,0.059815,0.037964,53.0,10000
48,200382939261358,0.059692,0.037842,54.0,10000
49,200382949261727,0.057861,0.036621,54.0,10000
50,200382959262224,0.060059,0.038024,53.0,10000
51,200382969261275,0.058715,0.037354,54.0,10000
52,200382979261895,0.059753,0.037842,53.0,10000
53,200382989262259,0.058533,0.037048,53.0,10000
54,200382999261709,0.059448,0.037719,54.0,10000
55,200383009262121,0.059509,0.037720,54.0,10000
56,200383019262404,0.059692,0.037842,54.0,10000
57,200383029261548,0.057740,0.036438,54.0,10000
58,200383039261963,0.061584,0.039184,53.0,10000
59,200383049262028,0.059326,0.037659,54.0,10000
60,200383059261675,0.058899,0.037353,53.0,10000
61,200383069261859,0.060241,0.037415,54.0,10000
62,200383079261390,0.064575,0.038574,53.0,10000
63,200383089261588,0.057251,0.036071,53.0,10000
64,200383099262013,0.061340,0.038941,53.0,10000
65,200383109261796,0.058838,0.037170,54.0,10000
66,200383119261489,0.057739,0.036316,54.0,10000
67,200383129262158,0.060852,0.038818,54.0,10000
68,200383139261935,0.058044,0.036682,54.0,10000
69,200383149261930,0.059326,0.037659,53.0,10000
70,200383159262253,0.060669,0.038574,54.0,10000
71,200383169261659,0.059265,0.037781,54.0,10000
72,200383179262289,0.057983,0.036743,56.0,10000
73,200383189261534,0.059632,0.037719,53.0,10000
74,200383199261744,0.060485,0.038452,54.0,10000
75,200383209261376,0.059448,0.037720,54.0,10000
76,200383219262033,0.058045,0.036743,53.0,10000
77,200383229261628,0.058776,0.037292,53.0,10000
