sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,202602896563599,0.055603,0.033936,52.0,10000
2,202602906561376,0.055725,0.033935,52.0,10000
3,202602916560813,0.056763,0.034607,52.0,10000
4,202602926561474,0.055175,0.033447,53.0,10000
5,202602936561065,0.059204,0.036072,52.0,10000
6,202602946561404,0.051697,0.031677,52.0,10000
7,202602956560406,0.055908,0.034057,53.0,10000
8,202602966561794,0.055481,0.033875,52.0,10000
9,202602976560787,0.055725,0.033813,52.0,10000
10,202602986561399,0.055420,0.033753,52.0,10000
11,202602996560407,0.055847,0.033996,52.0,10000
12,202603006561199,0.059387,0.036072,53.0,10000
13,202603016561026,0.051880,0.031738,52.0,10000
14,202603026560991,0.055786,0.033936,52.0,10000
15,202603036561043,0.056213,0.034301,52.0,10000
16,202603046561018,0.055358,0.033814,52.0,10000
17,202603056561339,0.059265,0.036071,52.0,10000
18,202603066561271,0.050171,0.030518,53.0,10000
19,202603076561091,0.061157,0.035156,53.0,10000
20,202603086561407,0.056702,0.033691,53.0,10000
21,202603096561042,0.055603,0.033814,52.0,10000
22,202603106560871,0.056335,0.034240,53.0,10000
23,202603116561188,0.055786,0.033936,52.0,10000
24,202603126560710,0.059204,0.035888,53.0,10000
25,202603136561554,0.050110,0.030518,52.0,10000
26,202603146560415,0.055725,0.033996,52.0,10000
27,202603156560511,0.057067,0.034851,53.0,10000
28,202603166561282,0.055481,0.033753,53.0,10000
29,202603176561569,0.055725,0.033874,53.0,10000
30,202603186561201,0.059753,0.036377,52.0,10000
31,202603196561563,0.050415,0.030639,53.0,10000
32,202603206561519,0.057495,0.035096,53.0,10000
33,202603216560838,0.055359,0.033691,52.0,10000
34,202603226560882,0.059753,0.036194,52.0,10000
35,202603236561288,0.051941,0.031738,53.0,10000
36,202603246560801,0.054016,0.032898,53.0,10000
37,202603256561346,0.056580,0.034546,53.0,10000
38,202603266561042,0.060119,0.036560,53.0,10000
39,202603276561226,0.059387,0.033935,53.0,10000
40,202603286560695,0.051208,0.030517,53.0,10000
41,202603296560637,0.057251,0.034974,53.0,10000
42,202603306560799,0.059570,0.036254,52.0,10000
43,202603316561548,0.055664,0.033875,52.0,10000
44,202603326561360,0.055542,0.033874,52.0,10000
45,202603336561268,0.051514,0.031494,53.0,10000
46,202603346561418,0.054138,0.032837,52.0,10000
47,202603356560697,0.057922,0.035339,53.0,10000
48,202603366561182,0.058960,0.035889,52.0,10000
49,202603376561206,0.050293,0.030639,52.0,10000
50,202603386560795,0.055541,0.033753,52.0,10000
51,202603396561442,0.057373,0.034973,52.0,10000
52,202603406560827,0.056336,0.034241,52.0,10000
53,202603416561389,0.059204,0.035949,52.0,10000
54,202603426560586,0.051696,0.031555,52.0,10000
55,202603436561095,0.055481,0.033814,52.0,10000
56,202603446560887,0.059814,0.036376,53.0,10000
57,202603456560476,0.051758,0.031617,53.0,10000
58,202603466560971,0.054077,0.032897,52.0,10000
59,202603476560609,0.055847,0.033997,52.0,10000
60,202603486561476,0.062317,0.037170,53.0,10000
61,202603496561464,0.055603,0.031861,52.0,10000
62,202603506560998,0.054931,0.033386,52.0,10000
63,202603516560877,0.056152,0.034362,53.0,10000
64,202603526560907,0.055603,0.033814,52.0,10000
65,202603536561093,0.053650,0.032654,52.0,10000
66,202603546560708,0.061279,0.037353,53.0,10000
67,202603556561211,0.052063,0.031860,52.0,10000
68,202603566560533,0.054871,0.033508,53.0,10000
69,202603576561015,0.056030,0.033997,53.0,10000
70,202603586561343,0.056152,0.034180,53.0,10000
71,202603596561254,0.053467,0.032531,53.0,10000
72,202603606561387,0.057678,0.035278,52.0,10000
73,202603616561217,0.055358,0.033753,52.0,10000
74,202603626560647,0.054138,0.032776,52.0,10000
75,202603636561342,0.057312,0.035034,52.0,10000
76,202603646561415,0.055481,0.033813,52.0,10000
77,202603656561284,0.055481,0.033813,52.0,10000
78,202603666561066,0.056030,0.034180,53.0,10000
79,202603676561285,0.055603,0.033813,52.0,10000
80,202603686561318,0.055053,0.032898,52.0,10000
81,202603696561084,0.061585,0.035340,53.0,10000
82,202603706560928,0.059021,0.035827,52.0,10000
83,202603716560692,0.052062,0.031799,52.0,10000
84,202603726560555,0.053711,0.032532,52.0,10000
85,202603736561635,0.061463,0.037414,53.0,10000
86,202603746561229,0.051818,0.031678,52.0,10000
87,202603756560923,0.055481,0.033752,52.0,10000
88,202603766560532,0.056030,0.034119,52.0,10000
89,202603776560733,0.059143,0.036071,52.0,10000
90,202603786560816,0.051819,0.031616,52.0,10000
91,202603796561392,0.059387,0.036255,53.0,10000
92,202603806561354,0.052002,0.031738,53.0,10000
93,202603816561010,0.054260,0.032959,53.0,10000
94,202603826561141,0.057556,0.035156,52.0,10000
95,202603836560705,0.059082,0.035889,52.0,10000
96,202603846561350,0.055603,0.033874,52.0,10000
97,202603856560527,0.055786,0.034058,52.0,10000
98,202603866561152,0.055541,0.033874,52.0,10000
99,202603876560677,0.055420,0.033875,52.0,10000
100,202603886560845,0.052429,0.031982,52.0,10000
101,202603896560865,0.059204,0.036011,52.0,10000
102,202603906560402,0.052673,0.030761,53.0,10000
103,202603916560658,0.059998,0.034973,52.0,10000
104,202603926560542,0.054443,0.033020,52.0,10000
105,202603936561283,0.057007,0.034668,52.0,10000
106,202603946561323,0.056762,0.034668,52.0,10000
107,202603956560931,0.058838,0.035706,52.0,10000
108,202603966560935,0.051636,0.031555,53.0,10000
109,202603976561064,0.055969,0.034057,52.0,10000
110,202603986560456,0.053833,0.032654,52.0,10000
111,202603996561356,0.057617,0.035156,52.0,10000
112,202604006561229,0.055786,0.033936,52.0,10000
113,202604016561103,0.055847,0.033996,52.0,10000
114,202604026561107,0.055358,0.033691,52.0,10000
115,202604036560631,0.056458,0.034363,52.0,10000
116,202604046561328,0.059204,0.035950,53.0,10000
117,202604056561133,0.055969,0.034118,52.0,10000
118,202604066560401,0.055542,0.033814,52.0,10000
119,202604076560620,0.052124,0.031982,53.0,10000
120,202604086561175,0.055236,0.033569,52.0,10000
121,202604096561303,0.054077,0.032959,52.0,10000
