sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,209639911713535,0.027893,0.008423,45.0,10000
2,209639921708838,0.029358,0.007202,43.0,10000
3,209639931707630,0.028381,0.006409,45.0,10000
4,209639941707448,0.028442,0.006836,45.0,10000
5,209639951707041,0.030030,0.006836,45.0,10000
6,209639961707630,0.026672,0.006531,45.0,10000
7,209639971707588,0.028137,0.006347,45.0,10000
8,209639981707946,0.027893,0.006836,45.0,10000
9,209639991707259,0.030823,0.006958,45.0,10000
10,209640001707555,0.026428,0.006592,44.0,10000
11,209640011707474,0.028198,0.006287,45.0,10000
12,209640021709427,0.029114,0.007446,45.0,10000
13,209640031710201,0.028686,0.006958,45.0,10000
14,209640041707379,0.030091,0.007080,44.0,10000
15,209640051707350,0.031310,0.006225,45.0,10000
16,209640061708932,0.028504,0.007264,44.0,10000
17,209640071706572,0.030700,0.006897,44.0,10000
18,209640081707216,0.028626,0.007019,43.0,10000
19,209640091707154,0.025085,0.005554,45.0,10000
20,209640101708027,0.029358,0.007385,44.0,10000
21,209640111707789,0.028137,0.006348,45.0,10000
22,209640121707831,0.028687,0.007019,44.0,10000
23,209640131707379,0.027954,0.006225,45.0,10000
24,209640141707584,0.028930,0.007263,44.0,10000
25,209640151706711,0.027405,0.006836,43.0,10000
26,209640161707441,0.029602,0.006531,44.0,10000
27,209640171707154,0.029724,0.006531,45.0,10000
28,209640181707623,0.026916,0.006958,45.0,10000
29,209640191706981,0.030091,0.006653,43.0,10000
30,209640201707343,0.028381,0.006958,43.0,10000
31,209640211707528,0.026123,0.005798,45.0,10000
32,209640221707310,0.030762,0.007690,45.0,10000
33,209640231707518,0.026000,0.005921,45.0,10000
34,209640241710393,0.030518,0.007507,45.0,10000
35,209640251707785,0.031250,0.006287,44.0,10000
36,209640261707238,0.030945,0.007629,44.0,10000
37,209640271707544,0.026001,0.005920,44.0,10000
38,209640281707375,0.030395,0.007203,44.0,10000
39,209640291706815,0.026184,0.005981,45.0,10000
40,209640301707218,0.028015,0.006897,44.0,10000
41,209640311707629,0.030762,0.006897,45.0,10000
42,209640321709481,0.027099,0.007019,45.0,10000
43,209640331706737,0.029907,0.006775,44.0,10000
44,209640341707394,0.028626,0.007019,44.0,10000
45,209640351707085,0.028076,0.006347,45.0,10000
46,209640361707049,0.026733,0.006592,44.0,10000
47,209640371707580,0.029968,0.006775,45.0,10000
48,209640381707492,0.026978,0.006775,43.0,10000
49,209640391707101,0.028320,0.006409,45.0,10000
50,209640401707414,0.028320,0.006897,45.0,10000
51,209640411707622,0.028382,0.006469,44.0,10000
52,209640421707189,0.030334,0.007325,45.0,10000
53,209640431706980,0.025635,0.005859,45.0,10000
54,209640441707075,0.029113,0.007141,44.0,10000
55,209640451709679,0.030396,0.007263,43.0,10000
56,209640461707371,0.028930,0.006531,44.0,10000
57,209640471707889,0.030762,0.006409,45.0,10000
58,209640481707205,0.030640,0.007568,44.0,10000
59,209640491706993,0.026672,0.006164,43.0,10000
60,209640501706612,0.027283,0.006775,45.0,10000
61,209640511707810,0.028930,0.006592,45.0,10000
62,209640521707605,0.027893,0.006897,45.0,10000
63,209640531710121,0.028320,0.006775,45.0,10000
64,209640541706720,0.029847,0.007141,45.0,10000
65,209640551707205,0.027709,0.006348,44.0,10000
66,209640561707127,0.028321,0.007080,45.0,10000
67,209640571708982,0.029113,0.006592,45.0,10000
68,209640581707778,0.028382,0.006897,45.0,10000
69,209640591706882,0.028137,0.006408,44.0,10000
70,209640601707283,0.028808,0.007202,45.0,10000
71,209640611707491,0.029846,0.006775,44.0,10000
