sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,212706088684979,0.056030,0.035278,54.0,10000
2,212706098683578,0.058837,0.036926,53.0,10000
3,212706108682982,0.059204,0.037293,54.0,10000
4,212706118683272,0.059693,0.037109,56.0,10000
5,212706128683583,0.063476,0.039307,53.0,10000
6,212706138683847,0.058044,0.034423,56.0,10000
7,212706148683751,0.059998,0.037049,54.0,10000
8,212706158682875,0.063110,0.039672,54.0,10000
9,212706168683463,0.055359,0.034790,54.0,10000
10,212706178683598,0.062988,0.039490,56.0,10000
11,212706188683009,0.055664,0.035095,56.0,10000
12,212706198683462,0.059387,0.037293,56.0,10000
13,212706208682887,0.063354,0.039733,54.0,10000
14,212706218682875,0.053711,0.033509,56.0,10000
15,212706228683558,0.060852,0.038329,54.0,10000
16,212706238683393,0.062316,0.039124,55.0,10000
17,212706248683770,0.053223,0.033691,55.0,10000
18,212706258683858,0.065063,0.041260,56.0,10000
19,212706268683810,0.055359,0.034851,54.0,10000
20,212706278683735,0.062500,0.039184,54.0,10000
21,212706288683296,0.053100,0.033325,55.0,10000
22,212706298682989,0.060486,0.038086,54.0,10000
23,212706308683452,0.057129,0.035767,54.0,10000
24,212706318683637,0.061218,0.038574,54.0,10000
25,212706328683952,0.058655,0.037109,54.0,10000
26,212706338683263,0.061889,0.036743,54.0,10000
27,212706348683359,0.060669,0.037415,54.0,10000
28,212706358683534,0.056945,0.035827,54.0,10000
29,212706368683318,0.058777,0.037049,54.0,10000
30,212706378683345,0.064941,0.040832,56.0,10000
31,212706388682940,0.058960,0.037048,53.0,10000
32,212706398683114,0.052857,0.033142,55.0,10000
33,212706408682860,0.065246,0.041016,54.0,10000
34,212706418683525,0.054748,0.034362,56.0,10000
35,212706428683335,0.059265,0.037232,56.0,10000
36,212706438683009,0.058716,0.036926,54.0,10000
37,212706448683702,0.057617,0.036072,55.0,10000
38,212706458683675,0.064331,0.040466,54.0,10000
39,212706468682922,0.055176,0.034668,55.0,10000
40,212706478683324,0.062744,0.039428,54.0,10000
41,212706488683182,0.055358,0.034851,54.0,10000
42,212706498683824,0.056763,0.035584,55.0,10000
43,212706508683154,0.060363,0.038025,54.0,10000
44,212706518683048,0.059143,0.037170,56.0,10000
45,212706528683619,0.058655,0.036804,56.0,10000
46,212706538683040,0.059387,0.037292,55.0,10000
47,212706548683118,0.064453,0.039673,54.0,10000
48,212706558683714,0.056518,0.033569,53.0,10000
49,212706568683464,0.060486,0.037842,54.0,10000
50,212706578683834,0.059936,0.037659,56.0,10000
51,212706588682946,0.058289,0.036682,54.0,10000
52,212706598683105,0.059631,0.037292,54.0,10000
53,212706608683292,0.058899,0.037048,54.0,10000
54,212706618683256,0.057434,0.035828,56.0,10000
55,212706628683741,0.064880,0.040527,54.0,10000
56,212706638682943,0.054687,0.034546,56.0,10000
57,212706648683230,0.059387,0.037170,54.0,10000
58,212706658683644,0.059204,0.037293,54.0,10000
59,212706668683482,0.062317,0.039123,55.0,10000
60,212706678683688,0.054565,0.034302,54.0,10000
61,212706688683086,0.059326,0.037292,55.0,10000
62,212706698683483,0.062989,0.039551,56.0,10000
63,212706708683468,0.058837,0.036926,55.0,10000
64,212706718683412,0.054749,0.034546,55.0,10000
65,212706728683535,0.058654,0.036865,56.0,10000
66,212706738683021,0.059387,0.037353,54.0,10000
67,212706748683187,0.060303,0.037171,55.0,10000
68,212706758683570,0.062561,0.037109,55.0,10000
69,212706768683405,0.059204,0.037292,54.0,10000
70,212706778682951,0.059509,0.037415,56.0,10000
71,212706788683273,0.061950,0.038757,54.0,10000
72,212706798682846,0.054688,0.034302,56.0,10000
73,212706808683357,0.063049,0.039611,56.0,10000
74,212706818683856,0.055420,0.034851,54.0,10000
75,212706828682959,0.058776,0.036927,55.0,10000
76,212706838682854,0.058594,0.036682,56.0,10000
77,212706848683071,0.059265,0.037231,54.0,10000
78,212706858683948,0.058227,0.036560,54.0,10000
79,212706868682860,0.063599,0.039856,56.0,10000
80,212706878683640,0.055237,0.034668,55.0,10000
81,212706888683725,0.062805,0.039428,54.0,10000
82,212706898683181,0.054748,0.034424,54.0,10000
83,212706908683374,0.058838,0.037048,54.0,10000
84,212706918682802,0.057189,0.035828,55.0,10000
85,212706928683231,0.065308,0.040893,56.0,10000
86,212706938683591,0.055786,0.034790,55.0,10000
87,212706948683511,0.057373,0.035706,54.0,10000
88,212706958683924,0.060363,0.038024,56.0,10000
89,212706968683339,0.065674,0.039490,56.0,10000
90,212706978683669,0.057068,0.034546,55.0,10000
91,212706988683250,0.059265,0.037170,55.0,10000
92,212706998683222,0.059021,0.037109,56.0,10000
93,212707008683602,0.058715,0.036866,54.0,10000
94,212707018683743,0.062988,0.039550,56.0,10000
95,212707028683775,0.058594,0.036865,54.0,10000
96,212707038683637,0.058960,0.037049,54.0,10000
97,212707048683282,0.055053,0.034607,56.0,10000
98,212707058682943,0.059143,0.037231,54.0,10000
99,212707068682991,0.058289,0.036499,55.0,10000
100,212707078683368,0.057678,0.036133,54.0,10000
101,212707088683068,0.060852,0.038085,56.0,10000
102,212707098683464,0.060058,0.037476,54.0,10000
103,212707108683080,0.059143,0.036987,56.0,10000
104,212707118683421,0.059265,0.037109,55.0,10000
105,212707128682974,0.058777,0.037049,56.0,10000
106,212707138683572,0.058654,0.036682,56.0,10000
107,212707148683496,0.059021,0.036865,53.0,10000
108,212707158682958,0.063416,0.039672,56.0,10000
109,212707168683163,0.061645,0.036866,56.0,10000
110,212707178682829,0.057312,0.034606,56.0,10000
111,212707188683488,0.058593,0.036621,54.0,10000
112,212707198682933,0.057679,0.036072,56.0,10000
113,212707208683796,0.064575,0.040588,54.0,10000
114,212707218683488,0.058898,0.036866,54.0,10000
115,212707228683730,0.053223,0.033508,54.0,10000
116,212707238683256,0.059204,0.037109,55.0,10000
117,212707248683514,0.065490,0.040894,55.0,10000
118,212707258683410,0.054993,0.034545,54.0,10000
119,212707268682878,0.059753,0.037232,56.0,10000
120,212707278683032,0.063477,0.039428,56.0,10000
121,212707288683494,0.053039,0.033447,55.0,10000
122,212707298682809,0.064941,0.040772,56.0,10000
123,212707308683582,0.054565,0.034363,56.0,10000
124,212707318682907,0.059815,0.037292,56.0,10000
125,212707328683255,0.060241,0.037475,56.0,10000
126,212707338683213,0.058594,0.036744,56.0,10000
127,212707348682971,0.060364,0.037292,54.0,10000
128,212707358683719,0.059020,0.036865,56.0,10000
129,212707368683067,0.059265,0.037231,55.0,10000
130,212707378683171,0.059693,0.037293,55.0,10000
131,212707388683659,0.063171,0.037048,56.0,10000
132,212707398683331,0.060302,0.036865,54.0,10000
133,212707408683051,0.058716,0.036804,55.0,10000
134,212707418682944,0.063721,0.039856,56.0,10000
135,212707428683731,0.059081,0.036865,56.0,10000
136,212707438682906,0.054993,0.034668,56.0,10000
137,212707448682994,0.059387,0.037170,56.0,10000
138,212707458683275,0.059387,0.037354,54.0,10000
139,212707468683344,0.056702,0.035461,54.0,10000
140,212707478683110,0.060852,0.038513,56.0,10000
141,212707488683200,0.062621,0.039307,54.0,10000
142,212707498683759,0.059998,0.035156,56.0,10000
143,212707508683956,0.067138,0.037414,56.0,10000
144,212707518682998,0.065796,0.036621,54.0,10000
145,212707528682988,0.072021,0.039917,54.0,10000
146,212707538682914,0.058655,0.034851,55.0,10000
147,212707548682896,0.058777,0.036621,54.0,10000
148,212707558683532,0.063415,0.039795,54.0,10000
149,212707568682811,0.055298,0.034912,56.0,10000
150,212707578683888,0.058899,0.037048,55.0,10000
151,212707588683118,0.066711,0.039368,54.0,10000
152,212707598683516,0.059875,0.036987,55.0,10000
153,212707608682837,0.055359,0.034302,54.0,10000
154,212707618683721,0.060364,0.037719,55.0,10000
155,212707628683560,0.059081,0.037049,54.0,10000
156,212707638683781,0.058350,0.036560,54.0,10000
157,212707648682796,0.059570,0.037475,55.0,10000
158,212707658683124,0.059265,0.037232,56.0,10000
159,212707668683118,0.056946,0.035705,54.0,10000
160,212707678683430,0.060852,0.038269,55.0,10000
161,212707688682718,0.057128,0.035950,54.0,10000
162,212707698683388,0.061096,0.038269,56.0,10000
163,212707708683054,0.058838,0.036743,55.0,10000
164,212707718683274,0.063415,0.039733,56.0,10000
165,212707728682937,0.053467,0.033570,54.0,10000
166,212707738682965,0.061035,0.038330,55.0,10000
167,212707748683452,0.058716,0.036804,55.0,10000
168,212707758683674,0.059814,0.037475,54.0,10000
169,212707768683323,0.063049,0.039551,54.0,10000
170,212707778683155,0.054810,0.034668,55.0,10000
171,212707788682823,0.057739,0.036255,54.0,10000
172,212707798682926,0.058715,0.036193,55.0,10000
173,212707808683181,0.065003,0.038452,54.0,10000
174,212707818683013,0.059326,0.037049,55.0,10000
175,212707828683191,0.059143,0.037109,55.0,10000
176,212707838683630,0.062927,0.039367,56.0,10000
177,212707848683598,0.055175,0.034607,55.0,10000
178,212707858683395,0.058899,0.036926,55.0,10000
179,212707868682838,0.058655,0.036805,54.0,10000
180,212707878682773,0.062317,0.039062,55.0,10000
181,212707888683541,0.054321,0.034363,55.0,10000
182,212707898682882,0.057006,0.035766,55.0,10000
183,212707908682799,0.061829,0.039124,55.0,10000
184,212707918683425,0.056213,0.035156,56.0,10000
185,212707928682668,0.058411,0.036743,56.0,10000
186,212707938683497,0.064636,0.040527,55.0,10000
187,212707948683004,0.054626,0.034363,56.0,10000
188,212707958682640,0.063782,0.039978,55.0,10000
189,212707968682761,0.057861,0.036255,56.0,10000
190,212707978682806,0.054809,0.034545,56.0,10000
191,212707988683497,0.057983,0.036377,54.0,10000
192,212707998683054,0.060547,0.037415,55.0,10000
193,212708008683160,0.062622,0.037109,54.0,10000
194,212708018683474,0.058960,0.037048,56.0,10000
195,212708028683184,0.057190,0.035767,56.0,10000
196,212708038683411,0.065246,0.041076,55.0,10000
197,212708048683256,0.055115,0.034790,54.0,10000
198,212708058683617,0.062866,0.039368,54.0,10000
199,212708068683138,0.059204,0.037292,56.0,10000
200,212708078683300,0.053283,0.033203,54.0,10000
201,212708088683589,0.060242,0.037903,55.0,10000
