sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,194914360737226,0.028930,0.009643,45.0,10000
2,194914370735569,0.026795,0.007386,43.0,10000
3,194914380732324,0.025756,0.006652,42.0,10000
4,194914390733590,0.026368,0.007691,43.0,10000
5,194914400731575,0.025939,0.005859,43.0,10000
6,194914410733756,0.026429,0.007385,43.0,10000
7,194914420731559,0.027893,0.006836,43.0,10000
8,194914430731939,0.023559,0.006043,43.0,10000
9,194914440731663,0.026062,0.006836,43.0,10000
10,194914450733173,0.028503,0.007507,43.0,10000
11,194914460731340,0.025757,0.006348,43.0,10000
12,194914470731695,0.023499,0.005981,42.0,10000
13,194914480734006,0.025879,0.006836,43.0,10000
14,194914490733788,0.028442,0.007202,43.0,10000
15,194914500733225,0.032043,0.007568,43.0,10000
16,194914510731116,0.023499,0.005982,42.0,10000
17,194914520730975,0.027954,0.006897,43.0,10000
18,194914530733746,0.023986,0.006531,43.0,10000
19,194914540731871,0.026307,0.007324,43.0,10000
20,194914550731939,0.025634,0.005920,43.0,10000
21,194914560732079,0.028320,0.007202,43.0,10000
22,194914570733729,0.023621,0.005921,43.0,10000
23,194914580731643,0.026367,0.006469,43.0,10000
24,194914590733397,0.026428,0.007142,43.0,10000
25,194914600731324,0.026062,0.006530,43.0,10000
26,194914610732736,0.026673,0.007019,43.0,10000
27,194914620731203,0.025939,0.006653,43.0,10000
28,194914630732001,0.025818,0.006958,44.0,10000
29,194914640733199,0.026306,0.006409,43.0,10000
30,194914650731255,0.025574,0.006286,43.0,10000
31,194914660731203,0.025635,0.006348,43.0,10000
32,194914670733885,0.026550,0.007813,43.0,10000
33,194914680730913,0.025757,0.005737,43.0,10000
34,194914690733303,0.026062,0.006836,43.0,10000
35,194914700733120,0.028686,0.007629,43.0,10000
36,194914710733986,0.027161,0.006531,43.0,10000
37,194914720731437,0.027893,0.006225,43.0,10000
38,194914730732869,0.026733,0.007447,43.0,10000
39,194914740731069,0.026062,0.006469,42.0,10000
40,194914750730698,0.025513,0.006409,43.0,10000
41,194914760733595,0.026733,0.007141,43.0,10000
42,194914770731892,0.026001,0.006592,43.0,10000
43,194914780732771,0.025818,0.006470,43.0,10000
44,194914790732833,0.026123,0.006897,43.0,10000
45,194914800731564,0.025695,0.006286,43.0,10000
46,194914810731547,0.025940,0.006409,43.0,10000
47,194914820732426,0.028626,0.007446,43.0,10000
48,194914830731590,0.023193,0.005921,43.0,10000
49,194914840731020,0.026001,0.006469,43.0,10000
50,194914850734344,0.026733,0.007202,43.0,10000
51,194914860731752,0.025818,0.006409,43.0,10000
52,194914870731202,0.026306,0.006653,43.0,10000
53,194914880733849,0.028503,0.007629,43.0,10000
54,194914890731166,0.025818,0.006409,43.0,10000
55,194914900731824,0.025940,0.006714,43.0,10000
56,194914910732761,0.027039,0.007080,43.0,10000
57,194914920731885,0.028747,0.005981,43.0,10000
58,194914930731459,0.025085,0.006348,43.0,10000
59,194914940733464,0.026978,0.007263,43.0,10000
60,194914950731537,0.025635,0.006409,43.0,10000
61,194914960731807,0.025573,0.006347,43.0,10000
62,194914970732051,0.027466,0.008057,43.0,10000
63,194914980734255,0.026672,0.007629,43.0,10000
64,194914990733432,0.027405,0.007874,43.0,10000
65,194915000732295,0.025757,0.006409,43.0,10000
66,194915010732035,0.025940,0.006469,43.0,10000
67,194915020733197,0.026489,0.006958,42.0,10000
68,194915030733688,0.026672,0.007447,43.0,10000
69,194915040732751,0.028748,0.009155,43.0,10000
70,194915050735026,0.026550,0.007263,43.0,10000
71,194915060732839,0.026184,0.006897,43.0,10000
72,194915070732858,0.026428,0.007141,43.0,10000
73,194915080731068,0.026184,0.006470,43.0,10000
74,194915090734378,0.026611,0.007141,43.0,10000
75,194915100731175,0.025269,0.006958,43.0,10000
76,194915110732633,0.027038,0.006958,43.0,10000
77,194915120731279,0.026245,0.006531,43.0,10000
78,194915130733470,0.030457,0.007080,43.0,10000
79,194915140731569,0.027038,0.006591,43.0,10000
80,194915150731009,0.025513,0.006348,42.0,10000
81,194915160732451,0.025940,0.006531,43.0,10000
82,194915170731390,0.026184,0.006531,42.0,10000
83,194915180731536,0.028259,0.007141,43.0,10000
84,194915190733991,0.024475,0.006713,43.0,10000
85,194915200731139,0.027771,0.006775,43.0,10000
86,194915210733144,0.023743,0.006348,43.0,10000
87,194915220731452,0.026123,0.006531,43.0,10000
88,194915230731175,0.025451,0.006836,43.0,10000
89,194915240732607,0.025513,0.005981,43.0,10000
90,194915250731640,0.026184,0.006592,43.0,10000
91,194915260730905,0.025696,0.006531,43.0,10000
92,194915270733483,0.026855,0.007202,43.0,10000
93,194915280731738,0.025696,0.006408,43.0,10000
94,194915290733561,0.026977,0.007386,43.0,10000
95,194915300731435,0.028015,0.006958,43.0,10000
96,194915310733326,0.024048,0.006530,43.0,10000
97,194915320733105,0.029602,0.007386,43.0,10000
98,194915330732708,0.027954,0.006775,43.0,10000
99,194915340731197,0.027527,0.006896,43.0,10000
100,194915350739654,0.025207,0.006165,43.0,10000
101,194915360733228,0.026673,0.007202,43.0,10000
102,194915370731747,0.026184,0.006531,43.0,10000
103,194915380733066,0.026306,0.007019,42.0,10000
104,194915390733182,0.026062,0.006836,43.0,10000
105,194915400731490,0.028320,0.006958,43.0,10000
106,194915410731955,0.023620,0.006103,43.0,10000
107,194915420733742,0.026856,0.007263,43.0,10000
108,194915430730816,0.026550,0.006531,43.0,10000
109,194915440733951,0.026367,0.007019,43.0,10000
