sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,167448646132332,0.027832,0.008606,43.0,10000
2,167448656130170,0.026856,0.007324,43.0,10000
3,167448666129180,0.026245,0.006836,43.0,10000
4,167448676127156,0.027649,0.007080,43.0,10000
5,167448686127198,0.029418,0.006348,43.0,10000
6,167448696127192,0.026551,0.007080,43.0,10000
7,167448706126391,0.025756,0.006348,43.0,10000
8,167448716126446,0.026123,0.006897,43.0,10000
9,167448726126775,0.026184,0.006714,43.0,10000
10,167448736127035,0.025940,0.006836,42.0,10000
11,167448746126749,0.025940,0.006347,43.0,10000
12,167448756126618,0.026062,0.006958,43.0,10000
13,167448766126618,0.025879,0.006592,43.0,10000
14,167448776127461,0.026184,0.006775,42.0,10000
15,167448786127061,0.025818,0.006470,43.0,10000
16,167448796126865,0.026428,0.007019,43.0,10000
17,167448806127119,0.025329,0.006225,43.0,10000
18,167448816126573,0.026245,0.006958,43.0,10000
19,167448826127373,0.025696,0.006226,43.0,10000
20,167448836126729,0.026611,0.007202,42.0,10000
21,167448846127826,0.026123,0.006408,43.0,10000
22,167448856127243,0.026001,0.006958,43.0,10000
23,167448866127555,0.025818,0.006287,43.0,10000
24,167448876127191,0.027771,0.007263,43.0,10000
25,167448886126452,0.029480,0.006287,42.0,10000
26,167448896127477,0.026184,0.007019,43.0,10000
27,167448906127686,0.025757,0.006347,43.0,10000
28,167448916127223,0.026489,0.007081,43.0,10000
29,167448926126888,0.025513,0.006225,43.0,10000
30,167448936126816,0.026611,0.007141,43.0,10000
31,167448946127519,0.025451,0.006226,43.0,10000
32,167448956126520,0.026795,0.007141,43.0,10000
33,167448966127503,0.025329,0.006164,43.0,10000
34,167448976127591,0.026612,0.007203,43.0,10000
35,167448986127138,0.025512,0.006164,43.0,10000
36,167448996127024,0.026917,0.007080,43.0,10000
37,167449006127425,0.025512,0.006287,43.0,10000
38,167449016127503,0.026428,0.007080,43.0,10000
39,167449026126910,0.025879,0.006286,43.0,10000
40,167449036127359,0.026245,0.006836,43.0,10000
41,167449046126930,0.025635,0.006348,43.0,10000
42,167449056127154,0.026550,0.007080,43.0,10000
43,167449066127327,0.025635,0.006287,43.0,10000
44,167449076129231,0.026611,0.007263,43.0,10000
45,167449086127607,0.025757,0.006408,43.0,10000
46,167449096126643,0.028625,0.006958,43.0,10000
47,167449106127450,0.028870,0.006409,43.0,10000
48,167449116126721,0.026367,0.006958,43.0,10000
49,167449126129202,0.026245,0.006836,43.0,10000
50,167449136129384,0.027039,0.007446,43.0,10000
51,167449146127242,0.025451,0.006470,42.0,10000
52,167449156127346,0.026550,0.007019,43.0,10000
53,167449166127072,0.026001,0.006348,43.0,10000
54,167449176127304,0.025940,0.006958,43.0,10000
55,167449186127118,0.025696,0.006286,42.0,10000
56,167449196126779,0.026611,0.007141,43.0,10000
57,167449206126317,0.025879,0.006348,43.0,10000
58,167449216126981,0.026367,0.007019,43.0,10000
59,167449226126398,0.025513,0.006165,43.0,10000
60,167449236127216,0.026672,0.007141,43.0,10000
61,167449246126834,0.025269,0.006103,43.0,10000
62,167449256126590,0.026733,0.007080,43.0,10000
63,167449266126997,0.025574,0.006226,43.0,10000
64,167449276126408,0.026733,0.007324,43.0,10000
65,167449286128973,0.025879,0.006714,43.0,10000
66,167449296126811,0.028808,0.007080,43.0,10000
67,167449306126261,0.028198,0.006287,43.0,10000
68,167449316128621,0.027222,0.007507,43.0,10000
69,167449326127163,0.025330,0.006164,43.0,10000
70,167449336126782,0.026855,0.007141,43.0,10000
71,167449346126798,0.025391,0.006226,43.0,10000
72,167449356126886,0.026672,0.007019,43.0,10000
73,167449366127085,0.026001,0.006409,42.0,10000
74,167449376126649,0.026123,0.006836,43.0,10000
75,167449386127277,0.025512,0.006347,43.0,10000
76,167449396126534,0.026734,0.007080,43.0,10000
77,167449406129116,0.026367,0.007019,43.0,10000
78,167449416126928,0.026123,0.006836,43.0,10000
79,167449426127215,0.026123,0.006592,43.0,10000
80,167449436126648,0.026245,0.006958,43.0,10000
81,167449446126902,0.025390,0.006409,43.0,10000
82,167449456126814,0.026612,0.006958,43.0,10000
83,167449466126694,0.025573,0.006408,43.0,10000
84,167449476126616,0.026978,0.007325,43.0,10000
85,167449486126824,0.025085,0.006164,43.0,10000
86,167449496129125,0.027466,0.007630,43.0,10000
87,167449506126414,0.025696,0.006286,43.0,10000
88,167449516127065,0.030334,0.007141,43.0,10000
89,167449526126876,0.026916,0.006226,43.0,10000
90,167449536127247,0.026185,0.007080,41.0,10000
91,167449546126970,0.025817,0.006347,43.0,10000
92,167449556127449,0.026734,0.007264,43.0,10000
93,167449566126605,0.025329,0.006164,43.0,10000
94,167449576126908,0.026550,0.007080,42.0,10000
95,167449586127162,0.025757,0.006348,43.0,10000
96,167449596126700,0.026184,0.007019,43.0,10000
97,167449606127240,0.025452,0.006348,43.0,10000
98,167449616127136,0.026550,0.007019,42.0,10000
99,167449626127188,0.025757,0.006286,43.0,10000
100,167449636139017,0.026794,0.007569,43.0,10000
101,167449646126621,0.026062,0.006408,42.0,10000
102,167449656126875,0.025879,0.006836,44.0,10000
103,167449666126318,0.025757,0.006348,43.0,10000
104,167449676126781,0.026184,0.006836,43.0,10000
105,167449686127058,0.025756,0.006530,43.0,10000
106,167449696127305,0.026123,0.006897,43.0,10000
107,167449706128245,0.026612,0.007203,42.0,10000
108,167449716126302,0.029052,0.006347,43.0,10000
109,167449726126595,0.028504,0.007691,43.0,10000
110,167449736126771,0.025390,0.006347,42.0,10000
111,167449746126787,0.026489,0.006897,42.0,10000
112,167449756126865,0.025452,0.006226,43.0,10000
113,167449766127015,0.026978,0.007446,43.0,10000
114,167449776127005,0.025878,0.006348,43.0,10000
115,167449786126959,0.026245,0.007019,43.0,10000
116,167449796127047,0.025513,0.006286,43.0,10000
117,167449806127327,0.026855,0.007324,43.0,10000
118,167449816126829,0.025330,0.006287,43.0,10000
119,167449826126985,0.026489,0.006897,43.0,10000
120,167449836127239,0.025574,0.006531,43.0,10000
121,167449846127327,0.026306,0.006958,43.0,10000
122,167449856126311,0.025757,0.006408,43.0,10000
123,167449866127109,0.026428,0.006958,43.0,10000
124,167449876126093,0.025268,0.006165,44.0,10000
125,167449886126770,0.026428,0.007080,43.0,10000
126,167449896126962,0.025635,0.006470,42.0,10000
127,167449906126927,0.026428,0.007019,42.0,10000
128,167449916127838,0.026001,0.006714,42.0,10000
129,167449926126239,0.027100,0.006713,42.0,10000
130,167449936126933,0.029907,0.006653,43.0,10000
131,167449946126936,0.025818,0.006653,43.0,10000
132,167449956126213,0.026062,0.006775,43.0,10000
133,167449966126936,0.026245,0.006714,43.0,10000
134,167449976127613,0.026184,0.006775,43.0,10000
135,167449986126806,0.025818,0.006653,43.0,10000
136,167449996127385,0.026367,0.006713,43.0,10000
137,167450006127177,0.025756,0.006653,43.0,10000
138,167450016126568,0.025818,0.006653,43.0,10000
139,167450026126161,0.026001,0.006592,42.0,10000
140,167450036126854,0.026245,0.006653,43.0,10000
141,167450046126405,0.025757,0.006652,43.0,10000
