sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,80535130247320,0.057983,0.041198,54.0,10000
2,80535140246655,0.065430,0.036499,53.0,10000
3,80535150246472,0.055358,0.034973,54.0,10000
4,80535160246488,0.063172,0.039673,54.0,10000
5,80535170245941,0.055114,0.034912,54.0,10000
6,80535180245890,0.058716,0.036926,54.0,10000
7,80535190245879,0.057556,0.036072,54.0,10000
8,80535200247072,0.059143,0.037353,54.0,10000
9,80535210245968,0.064880,0.040833,54.0,10000
10,80535220246210,0.055481,0.035217,53.0,10000
11,80535230246152,0.057068,0.035644,54.0,10000
12,80535240246288,0.066162,0.041687,54.0,10000
13,80535250245883,0.054321,0.034302,54.0,10000
14,80535260245917,0.061340,0.037292,54.0,10000
15,80535270246165,0.066162,0.039734,54.0,10000
16,80535280245941,0.059143,0.037292,53.0,10000
17,80535290246249,0.053283,0.033509,53.0,10000
18,80535300246360,0.059387,0.037414,54.0,10000
19,80535310246255,0.064636,0.040649,53.0,10000
20,80535320245875,0.053406,0.033753,53.0,10000
21,80535330246500,0.060791,0.038391,53.0,10000
22,80535340245911,0.059570,0.037536,54.0,10000
23,80535350245822,0.062683,0.039429,54.0,10000
24,80535360246512,0.054687,0.034485,54.0,10000
25,80535370246562,0.063294,0.039856,53.0,10000
26,80535380246742,0.059448,0.037414,54.0,10000
27,80535390246115,0.058838,0.037048,53.0,10000
28,80535400246207,0.054870,0.034668,54.0,10000
29,80535410246197,0.063598,0.039917,54.0,10000
30,80535420245824,0.054993,0.034912,54.0,10000
31,80535430246622,0.059082,0.037048,53.0,10000
32,80535440246091,0.059265,0.037171,53.0,10000
33,80535450246579,0.057312,0.035949,53.0,10000
34,80535460245978,0.059692,0.037537,53.0,10000
35,80535470245868,0.059265,0.037414,54.0,10000
36,80535480246525,0.063965,0.038269,53.0,10000
37,80535490245824,0.061035,0.037659,53.0,10000
38,80535500246386,0.056579,0.035583,53.0,10000
39,80535510246162,0.061584,0.038879,53.0,10000
40,80535520246583,0.058838,0.037171,54.0,10000
41,80535530246557,0.059143,0.037292,53.0,10000
42,80535540246034,0.057251,0.035950,53.0,10000
43,80535550246345,0.064880,0.040832,54.0,10000
44,80535560246004,0.060425,0.038147,54.0,10000
45,80535570246365,0.057739,0.036316,54.0,10000
46,80535580246611,0.055664,0.035095,54.0,10000
47,80535590246104,0.058654,0.036865,54.0,10000
48,80535600246118,0.057373,0.036194,54.0,10000
49,80535610245743,0.061279,0.038757,54.0,10000
50,80535620246360,0.058594,0.036987,54.0,10000
51,80535630245806,0.059265,0.037232,53.0,10000
52,80535640246687,0.062866,0.039672,53.0,10000
53,80535650246228,0.055359,0.034973,54.0,10000
54,80535660245914,0.058715,0.036927,54.0,10000
55,80535670246456,0.059632,0.037658,54.0,10000
56,80535680246430,0.062011,0.036865,54.0,10000
57,80535690245899,0.061585,0.037781,54.0,10000
58,80535700246217,0.062866,0.039551,53.0,10000
59,80535710246393,0.055297,0.034912,54.0,10000
60,80535720245701,0.059326,0.037475,54.0,10000
61,80535730246228,0.058594,0.037048,54.0,10000
