sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,160882889358414,0.059814,0.037964,50.0,10000
2,160882899356316,0.059387,0.037414,50.0,10000
3,160882909356572,0.060730,0.038635,52.0,10000
4,160882919356562,0.059326,0.037415,52.0,10000
5,160882929356738,0.060302,0.037963,53.0,10000
6,160882939357000,0.057312,0.036316,52.0,10000
7,160882949356280,0.061401,0.038818,52.0,10000
8,160882959356092,0.059571,0.037659,52.0,10000
9,160882969355987,0.057311,0.036194,50.0,10000
10,160882979356206,0.062073,0.039184,52.0,10000
11,160882989356009,0.058838,0.037110,52.0,10000
12,160882999356786,0.059265,0.037536,52.0,10000
13,160883009356106,0.058838,0.037415,52.0,10000
14,160883019357067,0.060180,0.038024,50.0,10000
15,160883029355909,0.057678,0.035645,50.0,10000
16,160883039356622,0.065124,0.038879,52.0,10000
17,160883049356434,0.059510,0.037476,51.0,10000
18,160883059356262,0.060424,0.038146,53.0,10000
19,160883069356580,0.058228,0.036621,52.0,10000
20,160883079356318,0.060058,0.037964,53.0,10000
21,160883089356836,0.058227,0.036804,52.0,10000
22,160883099355982,0.059754,0.037720,52.0,10000
23,160883109356922,0.059204,0.037353,52.0,10000
24,160883119356694,0.058593,0.037049,52.0,10000
25,160883129356704,0.059448,0.037475,52.0,10000
26,160883139356675,0.059204,0.037354,52.0,10000
27,160883149356984,0.059570,0.037353,52.0,10000
28,160883159356852,0.057617,0.036316,52.0,10000
29,160883169356637,0.062378,0.039367,50.0,10000
30,160883179356684,0.057190,0.036133,52.0,10000
31,160883189357099,0.060852,0.038635,52.0,10000
32,160883199356920,0.059936,0.037842,50.0,10000
33,160883209356647,0.056946,0.036194,52.0,10000
34,160883219356830,0.059509,0.037719,52.0,10000
35,160883229356716,0.062378,0.038819,51.0,10000
36,160883239356563,0.062805,0.037414,50.0,10000
37,160883249356246,0.058777,0.036987,50.0,10000
38,160883259355957,0.058044,0.036682,50.0,10000
39,160883269356304,0.060852,0.038574,52.0,10000
40,160883279356185,0.059997,0.037842,52.0,10000
41,160883289356873,0.059082,0.037292,50.0,10000
42,160883299356433,0.059326,0.037598,52.0,10000
43,160883309356475,0.060120,0.038086,50.0,10000
44,160883319356343,0.059020,0.037292,52.0,10000
45,160883329356162,0.057495,0.036194,53.0,10000
46,160883339356265,0.061218,0.038757,52.0,10000
47,160883349356493,0.059632,0.037659,52.0,10000
48,160883359356168,0.058654,0.036987,52.0,10000
49,160883369356937,0.059570,0.037659,52.0,10000
50,160883379356555,0.057007,0.035888,50.0,10000
51,160883389356226,0.062073,0.039551,52.0,10000
52,160883399356222,0.058654,0.036987,52.0,10000
53,160883409356542,0.057129,0.036133,52.0,10000
54,160883419356424,0.061462,0.039001,50.0,10000
55,160883429356098,0.060181,0.037354,52.0,10000
56,160883439356841,0.061035,0.036132,50.0,10000
57,160883449356587,0.059631,0.037476,52.0,10000
58,160883459356907,0.061706,0.039245,53.0,10000
59,160883469356654,0.056580,0.035462,52.0,10000
60,160883479356761,0.059875,0.037780,52.0,10000
61,160883489356349,0.059143,0.037476,51.0,10000
62,160883499356063,0.058899,0.037231,53.0,10000
63,160883509356027,0.061035,0.038696,52.0,10000
64,160883519356329,0.059692,0.037842,52.0,10000
65,160883529356196,0.057312,0.036255,52.0,10000
66,160883539356104,0.061340,0.039001,50.0,10000
67,160883549356901,0.059692,0.037720,52.0,10000
68,160883559356195,0.058716,0.037048,52.0,10000
69,160883569356400,0.059631,0.037659,52.0,10000
70,160883579356097,0.059815,0.037841,52.0,10000
71,160883589356115,0.059204,0.037537,52.0,10000
72,160883599355955,0.056945,0.035888,53.0,10000
73,160883609356692,0.061401,0.038941,52.0,10000
74,160883619356635,0.058960,0.037292,50.0,10000
75,160883629356604,0.059265,0.037598,50.0,10000
76,160883639357158,0.058533,0.037048,52.0,10000
77,160883649356818,0.063964,0.039062,52.0,10000
78,160883659356494,0.061463,0.037293,52.0,10000
79,160883669356548,0.057617,0.036316,52.0,10000
80,160883679356260,0.059570,0.037597,52.0,10000
81,160883689356106,0.061462,0.039124,50.0,10000
82,160883699356895,0.059143,0.037414,52.0,10000
83,160883709356752,0.058411,0.036865,52.0,10000
84,160883719356449,0.059509,0.037537,52.0,10000
85,160883729356708,0.058532,0.036926,50.0,10000
86,160883739356151,0.057984,0.036560,52.0,10000
87,160883749355939,0.060546,0.038452,52.0,10000
88,160883759356157,0.060547,0.038391,52.0,10000
89,160883769355905,0.057922,0.036499,52.0,10000
90,160883779356934,0.057861,0.036438,52.0,10000
91,160883789356525,0.058838,0.037292,52.0,10000
92,160883799356848,0.059326,0.037659,52.0,10000
93,160883809356723,0.061218,0.038635,53.0,10000
94,160883819356531,0.059326,0.037536,52.0,10000
95,160883829356455,0.057190,0.035950,52.0,10000
96,160883839356699,0.059753,0.037720,53.0,10000
97,160883849356553,0.064087,0.039306,52.0,10000
98,160883859356465,0.061218,0.036926,52.0,10000
99,160883869356421,0.059143,0.037354,52.0,10000
100,160883879356986,0.057129,0.035949,53.0,10000
101,160883889356491,0.061645,0.039124,52.0,10000
102,160883899356390,0.058350,0.037048,52.0,10000
103,160883909356751,0.059387,0.037598,52.0,10000
104,160883919356666,0.059631,0.037780,52.0,10000
105,160883929356489,0.059936,0.037842,50.0,10000
106,160883939356303,0.058716,0.037109,50.0,10000
107,160883949356011,0.057190,0.035950,52.0,10000
108,160883959356180,0.061401,0.039001,53.0,10000
109,160883969356048,0.059631,0.037659,53.0,10000
110,160883979355974,0.058289,0.036804,52.0,10000
111,160883989356014,0.057800,0.036499,50.0,10000
112,160883999356834,0.061767,0.039123,52.0,10000
113,160884009356781,0.059143,0.037354,53.0,10000
114,160884019356855,0.058655,0.036987,53.0,10000
115,160884029356640,0.058959,0.037231,53.0,10000
116,160884039356039,0.059937,0.037964,53.0,10000
