sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,214399404846187,0.061890,0.038880,56.0,10000
2,214399414844012,0.058349,0.036682,54.0,10000
3,214399424844214,0.061218,0.038574,56.0,10000
4,214399434844827,0.054382,0.034179,54.0,10000
5,214399444844148,0.064575,0.040100,54.0,10000
6,214399454843637,0.059631,0.037415,54.0,10000
7,214399464844436,0.061280,0.038574,55.0,10000
8,214399474844649,0.057678,0.036316,54.0,10000
9,214399484843677,0.055419,0.035034,54.0,10000
10,214399494843773,0.065247,0.040954,54.0,10000
11,214399504843545,0.059326,0.037293,54.0,10000
12,214399514844060,0.052429,0.033020,54.0,10000
13,214399524843989,0.061706,0.038757,55.0,10000
14,214399534843626,0.060242,0.037903,54.0,10000
15,214399544843993,0.065490,0.040161,54.0,10000
16,214399554843921,0.057251,0.033935,56.0,10000
17,214399564844494,0.066467,0.041504,54.0,10000
18,214399574844444,0.055908,0.035278,54.0,10000
19,214399584844582,0.059876,0.037598,54.0,10000
20,214399594844262,0.065307,0.041259,54.0,10000
21,214399604843459,0.057373,0.036011,54.0,10000
22,214399614844083,0.059753,0.037537,54.0,10000
23,214399624844766,0.055725,0.035278,54.0,10000
24,214399634844374,0.063294,0.039795,54.0,10000
25,214399644844218,0.060852,0.038269,54.0,10000
26,214399654844402,0.060302,0.038024,56.0,10000
27,214399664844948,0.059021,0.037110,54.0,10000
28,214399674844370,0.054748,0.034485,54.0,10000
29,214399684844917,0.065308,0.040954,54.0,10000
30,214399694844681,0.060058,0.037781,56.0,10000
31,214399704844154,0.057678,0.036315,56.0,10000
32,214399714844933,0.059815,0.037598,54.0,10000
33,214399724843749,0.059570,0.037292,54.0,10000
34,214399734843956,0.055847,0.035096,54.0,10000
35,214399744844189,0.060913,0.037780,55.0,10000
36,214399754844156,0.067627,0.040100,54.0,10000
37,214399764843948,0.060729,0.038330,54.0,10000
38,214399774844848,0.060364,0.038025,54.0,10000
39,214399784843953,0.054260,0.037781,54.0,10000
40,214399794844759,0.059936,0.033874,54.0,10000
41,214399804844405,0.064759,0.040649,54.0,10000
42,214399814845126,0.058166,0.036743,54.0,10000
43,214399824844617,0.060974,0.038330,54.0,10000
44,214399834845148,0.054077,0.037964,55.0,10000
