sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,184506874067728,0.057556,0.037780,52.0,10000
2,184506884063943,0.057495,0.037964,53.0,10000
3,184506894064483,0.057617,0.037903,53.0,10000
4,184506904064206,0.056274,0.036987,53.0,10000
5,184506914063801,0.057312,0.037720,52.0,10000
6,184506924064504,0.058105,0.038208,50.0,10000
7,184506934064272,0.057373,0.037719,53.0,10000
8,184506944064256,0.056396,0.036927,53.0,10000
9,184506954064306,0.057617,0.037719,53.0,10000
10,184506964063897,0.057801,0.037781,52.0,10000
11,184506974063965,0.057128,0.037292,53.0,10000
12,184506984063701,0.056580,0.036743,53.0,10000
13,184506994064290,0.057678,0.037842,52.0,10000
14,184507004064283,0.057434,0.037598,52.0,10000
15,184507014063815,0.057129,0.037475,51.0,10000
16,184507024063897,0.057983,0.037476,52.0,10000
17,184507034063975,0.061584,0.038085,52.0,10000
18,184507044064214,0.057495,0.037415,52.0,10000
19,184507054064287,0.057983,0.037903,52.0,10000
20,184507064064221,0.057678,0.037963,52.0,10000
21,184507074064686,0.056580,0.037171,53.0,10000
22,184507084063796,0.057068,0.037353,52.0,10000
23,184507094063978,0.057739,0.037964,52.0,10000
24,184507104063764,0.057373,0.037719,52.0,10000
25,184507114063572,0.056457,0.036927,53.0,10000
26,184507124063404,0.056702,0.037170,52.0,10000
27,184507134064475,0.057494,0.037842,52.0,10000
28,184507144063456,0.056641,0.037109,52.0,10000
29,184507154063980,0.057373,0.037598,52.0,10000
30,184507164063953,0.058166,0.037902,52.0,10000
31,184507174063716,0.057373,0.037476,52.0,10000
32,184507184063720,0.058228,0.038025,52.0,10000
33,184507194064134,0.056152,0.036498,53.0,10000
34,184507204064320,0.057617,0.037781,52.0,10000
35,184507214064036,0.057739,0.037781,53.0,10000
36,184507224063826,0.057007,0.037536,53.0,10000
37,184507234064603,0.057067,0.037659,53.0,10000
38,184507244064495,0.058655,0.037170,53.0,10000
39,184507254064364,0.059997,0.037293,50.0,10000
40,184507264064138,0.058167,0.038024,52.0,10000
41,184507274063884,0.057251,0.037659,53.0,10000
42,184507284063573,0.057311,0.037659,52.0,10000
43,184507294063962,0.056336,0.036865,52.0,10000
44,184507304064191,0.057251,0.037780,53.0,10000
45,184507314063411,0.056823,0.037171,52.0,10000
46,184507324064140,0.057739,0.037902,52.0,10000
47,184507334064014,0.056763,0.037293,52.0,10000
48,184507344063669,0.056701,0.037292,52.0,10000
49,184507354063373,0.056763,0.037354,52.0,10000
50,184507364064420,0.057312,0.037536,53.0,10000
51,184507374063631,0.058044,0.038086,50.0,10000
52,184507384064158,0.056396,0.036987,52.0,10000
53,184507394064456,0.057861,0.037964,52.0,10000
54,184507404064004,0.056763,0.037170,52.0,10000
55,184507414064681,0.056885,0.037232,52.0,10000
56,184507424064224,0.057128,0.037414,50.0,10000
57,184507434063741,0.056885,0.037476,52.0,10000
58,184507444064218,0.059936,0.038085,52.0,10000
59,184507454063825,0.058228,0.036438,52.0,10000
60,184507464064224,0.057190,0.037476,52.0,10000
61,184507474063979,0.057800,0.037903,50.0,10000
62,184507484063979,0.056396,0.037109,52.0,10000
63,184507494064476,0.058227,0.038391,53.0,10000
64,184507504064789,0.056885,0.037475,52.0,10000
65,184507514064067,0.057129,0.037476,52.0,10000
66,184507524064005,0.057556,0.037842,52.0,10000
67,184507534065171,0.056823,0.037414,52.0,10000
68,184507544064310,0.056519,0.037109,52.0,10000
69,184507554064763,0.057678,0.037964,50.0,10000
70,184507564064479,0.056762,0.037109,52.0,10000
71,184507574064253,0.057129,0.037415,52.0,10000
72,184507584063973,0.058106,0.038269,52.0,10000
73,184507594063732,0.057372,0.037658,52.0,10000
74,184507604064325,0.056153,0.036865,53.0,10000
75,184507614063966,0.057617,0.037903,52.0,10000
76,184507624063865,0.057128,0.037537,52.0,10000
77,184507634065185,0.057801,0.038025,52.0,10000
78,184507644064463,0.056701,0.037231,52.0,10000
79,184507654063972,0.056946,0.037414,50.0,10000
80,184507664063809,0.060669,0.037720,52.0,10000
81,184507674063762,0.058654,0.037475,52.0,10000
82,184507684063473,0.056397,0.036866,52.0,10000
83,184507694063641,0.056884,0.037292,52.0,10000
84,184507704064542,0.056885,0.037475,50.0,10000
85,184507714064734,0.058410,0.038391,52.0,10000
86,184507724064056,0.057434,0.037659,52.0,10000
87,184507734063712,0.057312,0.037781,53.0,10000
88,184507744064288,0.055969,0.036560,52.0,10000
89,184507754064434,0.058228,0.038330,52.0,10000
90,184507764064395,0.056701,0.037048,52.0,10000
91,184507774064452,0.056702,0.037231,50.0,10000
92,184507784064579,0.057922,0.038147,52.0,10000
93,184507794064384,0.056396,0.037048,53.0,10000
94,184507804063904,0.057190,0.037598,52.0,10000
95,184507814064325,0.057129,0.037414,52.0,10000
96,184507824064256,0.057312,0.037598,53.0,10000
97,184507834063317,0.057006,0.037537,52.0,10000
98,184507844064022,0.057800,0.037963,51.0,10000
99,184507854064124,0.057495,0.037781,53.0,10000
100,184507864063513,0.059693,0.036987,52.0,10000
101,184507874063840,0.059387,0.038147,53.0,10000
102,184507884064106,0.056335,0.036926,52.0,10000
103,184507894063785,0.056946,0.037232,53.0,10000
104,184507904064489,0.058349,0.038391,52.0,10000
105,184507914063667,0.055908,0.036560,52.0,10000
106,184507924063711,0.056580,0.036987,52.0,10000
107,184507934063746,0.057128,0.037719,52.0,10000
108,184507944063675,0.057984,0.038147,52.0,10000
109,184507954063897,0.056823,0.037415,52.0,10000
110,184507964063513,0.056397,0.037048,52.0,10000
111,184507974063839,0.058349,0.038269,53.0,10000
112,184507984064321,0.056946,0.037353,52.0,10000
113,184507994064430,0.057434,0.037537,52.0,10000
114,184508004064220,0.056884,0.037292,53.0,10000
115,184508014063805,0.057190,0.037293,52.0,10000
116,184508024063839,0.057129,0.037292,52.0,10000
117,184508034063661,0.056091,0.036804,52.0,10000
118,184508044063771,0.058532,0.038452,52.0,10000
119,184508054063855,0.056519,0.037170,52.0,10000
120,184508064063749,0.058105,0.038269,52.0,10000
121,184508074064001,0.057251,0.037110,52.0,10000
122,184508084064313,0.060486,0.037414,52.0,10000
123,184508094063556,0.057556,0.037598,53.0,10000
124,184508104064658,0.056762,0.037292,50.0,10000
125,184508114064169,0.057739,0.038025,52.0,10000
126,184508124064241,0.057801,0.038086,52.0,10000
127,184508134063788,0.056335,0.036987,52.0,10000
128,184508144064234,0.056396,0.036987,52.0,10000
129,184508154063633,0.056885,0.037415,53.0,10000
130,184508164064345,0.058349,0.038818,50.0,10000
131,184508174063638,0.057739,0.037720,52.0,10000
132,184508184063728,0.056458,0.036987,52.0,10000
133,184508194064688,0.057678,0.037780,52.0,10000
134,184508204064511,0.056640,0.037110,53.0,10000
135,184508214064301,0.056702,0.037231,52.0,10000
136,184508224063588,0.057678,0.037964,53.0,10000
137,184508234063772,0.056213,0.036926,53.0,10000
138,184508244063931,0.056885,0.037292,52.0,10000
139,184508254063854,0.056640,0.037049,52.0,10000
140,184508264063806,0.058350,0.038207,52.0,10000
141,184508274064979,0.056579,0.036560,52.0,10000
142,184508284063625,0.060730,0.037659,53.0,10000
143,184508294064034,0.058105,0.037964,52.0,10000
144,184508304064350,0.057434,0.037719,50.0,10000
145,184508314064625,0.057129,0.037476,53.0,10000
146,184508324064936,0.056946,0.037353,52.0,10000
147,184508334063755,0.058410,0.038513,52.0,10000
148,184508344064290,0.057190,0.037598,53.0,10000
149,184508354063405,0.056152,0.036926,52.0,10000
150,184508364063541,0.057434,0.037903,52.0,10000
151,184508374064479,0.055969,0.036621,52.0,10000
152,184508384063921,0.058411,0.038330,52.0,10000
153,184508394064216,0.056457,0.036865,53.0,10000
154,184508404064362,0.057556,0.037720,53.0,10000
155,184508414064164,0.056885,0.036987,51.0,10000
156,184508424063992,0.057983,0.037658,53.0,10000
157,184508434063788,0.056640,0.037110,53.0,10000
158,184508444063908,0.057923,0.037841,53.0,10000
159,184508454064379,0.057311,0.037659,52.0,10000
160,184508464063923,0.057007,0.037292,53.0,10000
161,184508474063647,0.057861,0.037903,52.0,10000
162,184508484064543,0.057984,0.037903,52.0,10000
163,184508494064707,0.058776,0.037109,52.0,10000
164,184508504064379,0.060303,0.037720,53.0,10000
165,184508514063456,0.056945,0.036987,53.0,10000
166,184508524064232,0.057434,0.037353,52.0,10000
167,184508534063797,0.055970,0.036499,52.0,10000
168,184508544063490,0.057433,0.037659,52.0,10000
