sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,37038078054753,0.037720,0.009643,43.0,10000
2,37038088053324,0.031066,0.008667,43.0,10000
3,37038098053184,0.029175,0.007263,41.0,10000
4,37038108050554,0.031555,0.007080,43.0,10000
5,37038118050544,0.027771,0.006287,43.0,10000
6,37038128050690,0.028015,0.007019,43.0,10000
7,37038138049841,0.027710,0.006592,43.0,10000
8,37038148049789,0.028015,0.007019,42.0,10000
9,37038158051048,0.027344,0.006836,42.0,10000
10,37038168050387,0.027588,0.006897,43.0,10000
11,37038178051090,0.027404,0.006347,42.0,10000
12,37038188050345,0.028076,0.007203,42.0,10000
13,37038198049762,0.027771,0.006530,43.0,10000
14,37038208050137,0.027344,0.006836,43.0,10000
15,37038218049902,0.027588,0.006531,43.0,10000
16,37038228050456,0.027832,0.006714,43.0,10000
17,37038238050814,0.027099,0.006531,43.0,10000
18,37038248051035,0.027954,0.006835,42.0,10000
19,37038258050827,0.027832,0.006592,43.0,10000
20,37038268050241,0.028076,0.007019,43.0,10000
21,37038278052620,0.027405,0.006653,42.0,10000
22,37038288050768,0.028137,0.007019,43.0,10000
23,37038298053626,0.028382,0.006592,42.0,10000
24,37038308051100,0.031738,0.006958,42.0,10000
25,37038318050735,0.028015,0.006531,43.0,10000
26,37038328050074,0.028137,0.007202,43.0,10000
27,37038338050247,0.027771,0.006469,43.0,10000
28,37038348049755,0.028137,0.006897,43.0,10000
29,37038358050328,0.026977,0.006348,42.0,10000
30,37038368053574,0.027771,0.007080,43.0,10000
31,37038378050117,0.027466,0.006287,43.0,10000
32,37038388050406,0.027649,0.006958,43.0,10000
33,37038398049970,0.027588,0.006653,42.0,10000
34,37038408050142,0.027710,0.006958,43.0,10000
35,37038418049798,0.027465,0.006469,43.0,10000
36,37038428050666,0.027771,0.006897,42.0,10000
37,37038438050110,0.027039,0.006409,42.0,10000
38,37038448050611,0.028076,0.007141,42.0,10000
39,37038458050110,0.027222,0.006287,43.0,10000
40,37038468050090,0.027771,0.007080,43.0,10000
41,37038478051158,0.027404,0.006713,41.0,10000
42,37038488050474,0.028198,0.007142,43.0,10000
43,37038498050631,0.027588,0.006408,42.0,10000
44,37038508052287,0.027954,0.007141,43.0,10000
45,37038518050272,0.029297,0.006348,41.0,10000
46,37038528050090,0.030640,0.007080,42.0,10000
47,37038538050054,0.027343,0.006287,42.0,10000
48,37038548050949,0.028565,0.007385,43.0,10000
49,37038558050350,0.027160,0.006164,43.0,10000
50,37038568050897,0.028259,0.007142,43.0,10000
51,37038578050353,0.027649,0.006347,43.0,10000
52,37038588049663,0.027771,0.007141,43.0,10000
53,37038598050353,0.027344,0.006409,43.0,10000
54,37038608050838,0.027893,0.007141,43.0,10000
