sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,41261052081346,0.062744,0.041015,54.0,10000
2,41261062080441,0.063049,0.041504,54.0,10000
3,41261072079742,0.062500,0.040894,54.0,10000
4,41261082079910,0.061340,0.040222,54.0,10000
5,41261092079965,0.063476,0.041626,53.0,10000
6,41261102079121,0.062195,0.040527,54.0,10000
7,41261112079605,0.061767,0.040344,54.0,10000
8,41261122079267,0.062317,0.040588,53.0,10000
9,41261132079333,0.062622,0.041077,53.0,10000
10,41261142080014,0.062805,0.041321,54.0,10000
11,41261152079284,0.064453,0.040710,54.0,10000
12,41261162079625,0.065124,0.041198,54.0,10000
13,41261172080320,0.061035,0.040100,54.0,10000
14,41261182079429,0.063416,0.041748,54.0,10000
15,41261192079152,0.061523,0.040222,54.0,10000
16,41261202079605,0.062194,0.040833,54.0,10000
17,41261212079574,0.062683,0.041199,54.0,10000
18,41261222079184,0.061280,0.040161,54.0,10000
19,41261232079323,0.062133,0.040893,54.0,10000
20,41261242079825,0.062744,0.041199,53.0,10000
21,41261252080162,0.061584,0.040222,54.0,10000
22,41261262079943,0.063538,0.041565,54.0,10000
23,41261272080017,0.061584,0.040161,54.0,10000
24,41261282079587,0.063110,0.041259,54.0,10000
25,41261292079457,0.062378,0.040955,54.0,10000
26,41261302079558,0.060974,0.039856,54.0,10000
27,41261312079344,0.062805,0.041442,53.0,10000
28,41261322079695,0.062073,0.040711,54.0,10000
29,41261332079216,0.062255,0.040771,53.0,10000
30,41261342079949,0.061524,0.040344,54.0,10000
31,41261352079758,0.063415,0.041565,53.0,10000
32,41261362079347,0.062256,0.040771,54.0,10000
33,41261372079443,0.065673,0.040772,54.0,10000
34,41261382080343,0.062744,0.040222,54.0,10000
35,41261392079551,0.062012,0.040710,53.0,10000
36,41261402079741,0.062256,0.040772,54.0,10000
37,41261412079701,0.062988,0.041442,53.0,10000
38,41261422080251,0.061279,0.039978,54.0,10000
39,41261432079857,0.062317,0.040772,54.0,10000
40,41261442079242,0.062194,0.040954,54.0,10000
41,41261452079768,0.062805,0.041138,53.0,10000
42,41261462080043,0.062073,0.040710,53.0,10000
43,41261472079965,0.062134,0.040527,54.0,10000
44,41261482080292,0.062560,0.040894,53.0,10000
45,41261492079164,0.062561,0.040954,54.0,10000
46,41261502079316,0.062683,0.041077,54.0,10000
47,41261512079672,0.061707,0.040405,53.0,10000
48,41261522079842,0.061889,0.040344,53.0,10000
49,41261532079156,0.062927,0.041138,53.0,10000
50,41261542079894,0.062683,0.041076,54.0,10000
51,41261552079608,0.061707,0.040405,55.0,10000
52,41261562080363,0.062927,0.041382,53.0,10000
53,41261572080141,0.065490,0.040283,53.0,10000
54,41261582079395,0.064026,0.041077,54.0,10000
55,41261592079898,0.061767,0.040588,54.0,10000
56,41261602079324,0.062439,0.041016,54.0,10000
57,41261612079874,0.062500,0.040893,54.0,10000
58,41261622079343,0.063232,0.041321,54.0,10000
59,41261632079092,0.062317,0.040283,54.0,10000
60,41261642079992,0.062988,0.041382,54.0,10000
61,41261652079651,0.061462,0.040161,54.0,10000
62,41261662079473,0.062866,0.041259,54.0,10000
63,41261672079363,0.062012,0.040466,54.0,10000
64,41261682079592,0.062317,0.040833,54.0,10000
65,41261692079821,0.062805,0.041076,54.0,10000
66,41261702079411,0.063171,0.041443,54.0,10000
67,41261712079274,0.062012,0.040711,54.0,10000
68,41261722079295,0.061889,0.040527,54.0,10000
69,41261732080112,0.061462,0.040222,53.0,10000
70,41261742079963,0.062256,0.040832,54.0,10000
71,41261752079511,0.062988,0.041138,54.0,10000
72,41261762079303,0.062073,0.040588,54.0,10000
73,41261772080162,0.061767,0.040222,54.0,10000
74,41261782079286,0.064514,0.041382,54.0,10000
75,41261792079331,0.065674,0.040283,54.0,10000
76,41261802079367,0.062133,0.040527,54.0,10000
77,41261812079438,0.062744,0.041077,54.0,10000
78,41261822080099,0.061341,0.040039,53.0,10000
79,41261832079336,0.062744,0.040893,54.0,10000
80,41261842080174,0.062499,0.040772,53.0,10000
81,41261852079832,0.062805,0.040893,54.0,10000
82,41261862079298,0.062134,0.040466,54.0,10000
83,41261872079753,0.063659,0.041504,54.0,10000
84,41261882080030,0.062622,0.040649,53.0,10000
85,41261892080540,0.062073,0.040467,54.0,10000
86,41261902080113,0.062378,0.040527,54.0,10000
87,41261912079122,0.062927,0.041198,54.0,10000
88,41261922079816,0.062683,0.040894,53.0,10000
89,41261932079853,0.062866,0.041015,54.0,10000
90,41261942079910,0.061828,0.040222,54.0,10000
91,41261952079744,0.062561,0.040894,54.0,10000
92,41261962079954,0.062927,0.040954,54.0,10000
93,41261972080268,0.063477,0.041382,53.0,10000
94,41261982080149,0.063781,0.040772,54.0,10000
95,41261992079404,0.065613,0.040283,54.0,10000
96,41262002079762,0.062561,0.040710,54.0,10000
97,41262012079744,0.062622,0.040893,54.0,10000
98,41262022079903,0.062255,0.040650,54.0,10000
99,41262032079189,0.062439,0.040771,54.0,10000
100,41262042079698,0.061890,0.040039,54.0,10000
101,41262052079750,0.063659,0.041260,54.0,10000
102,41262062079903,0.062866,0.040954,53.0,10000
103,41262072079970,0.062317,0.040466,54.0,10000
104,41262082079494,0.062195,0.040528,54.0,10000
105,41262092079836,0.062194,0.040527,53.0,10000
106,41262102080055,0.063233,0.041199,54.0,10000
107,41262112079165,0.062682,0.040710,53.0,10000
108,41262122079546,0.061951,0.040405,54.0,10000
109,41262132079888,0.061828,0.040466,54.0,10000
110,41262142079284,0.063599,0.041504,54.0,10000
111,41262152079553,0.061828,0.040405,54.0,10000
112,41262162080120,0.062988,0.041260,54.0,10000
113,41262172079857,0.062012,0.040405,54.0,10000
114,41262182079405,0.062805,0.040466,54.0,10000
115,41262192079935,0.066406,0.041138,54.0,10000
116,41262202079325,0.064758,0.041076,54.0,10000
117,41262212079735,0.064697,0.040711,54.0,10000
118,41262222079407,0.062561,0.040954,54.0,10000
119,41262232079687,0.062561,0.040955,54.0,10000
120,41262242079269,0.061951,0.040466,54.0,10000
121,41262252080280,0.062866,0.041199,54.0,10000
122,41262262079561,0.061462,0.040344,54.0,10000
123,41262272080150,0.063232,0.041442,54.0,10000
124,41262282079923,0.061462,0.039978,54.0,10000
125,41262292079776,0.062378,0.040955,54.0,10000
126,41262302079593,0.061768,0.040466,54.0,10000
127,41262312080052,0.063110,0.041626,53.0,10000
128,41262322079338,0.062011,0.040771,54.0,10000
129,41262332079394,0.062195,0.040833,54.0,10000
130,41262342079830,0.061401,0.040039,54.0,10000
131,41262352080013,0.063660,0.041320,54.0,10000
132,41262362079990,0.062011,0.040528,54.0,10000
133,41262372079631,0.062622,0.041015,54.0,10000
134,41262382079811,0.062378,0.040649,54.0,10000
135,41262392079610,0.061706,0.040406,54.0,10000
136,41262402079941,0.065003,0.041015,54.0,10000
137,41262412079697,0.065002,0.040588,54.0,10000
138,41262422079528,0.062622,0.041077,54.0,10000
139,41262432079725,0.061828,0.040466,54.0,10000
140,41262442079765,0.063049,0.041138,55.0,10000
141,41262452079600,0.062073,0.040344,54.0,10000
