sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,132538106707058,0.029052,0.009521,43.0,10000
2,132538116704642,0.026673,0.007019,43.0,10000
3,132538126703151,0.025695,0.006348,43.0,10000
4,132538136703444,0.026245,0.006775,42.0,10000
5,132538146704229,0.025635,0.006286,43.0,10000
6,132538156703438,0.026550,0.006958,42.0,10000
7,132538166707266,0.026551,0.006714,41.0,10000
8,132538176703385,0.026916,0.007019,42.0,10000
9,132538186703480,0.026001,0.006226,43.0,10000
10,132538196703141,0.026428,0.006836,43.0,10000
11,132538206703219,0.025391,0.006225,43.0,10000
12,132538216706787,0.027954,0.007447,43.0,10000
13,132538226703216,0.028381,0.006164,43.0,10000
14,132538236703421,0.029358,0.007019,43.0,10000
15,132538246703437,0.026001,0.006531,43.0,10000
16,132538256703678,0.026611,0.007019,43.0,10000
17,132538266703698,0.025879,0.006409,43.0,10000
18,132538276703834,0.026550,0.006958,43.0,10000
19,132538286703505,0.026062,0.006530,42.0,10000
20,132538296706126,0.026672,0.007141,42.0,10000
21,132538306702760,0.026550,0.006592,43.0,10000
22,132538316704495,0.026978,0.007019,43.0,10000
23,132538326703681,0.026245,0.006409,42.0,10000
24,132538336703964,0.026611,0.006958,43.0,10000
25,132538346703437,0.025330,0.006286,42.0,10000
26,132538356703391,0.026672,0.007142,43.0,10000
27,132538366703525,0.025635,0.006286,43.0,10000
28,132538376703186,0.026855,0.007080,43.0,10000
29,132538386705963,0.026062,0.006775,43.0,10000
30,132538396703723,0.026489,0.006958,43.0,10000
31,132538406703095,0.026123,0.006470,43.0,10000
32,132538416703921,0.026550,0.006958,43.0,10000
33,132538426705650,0.025757,0.006592,43.0,10000
34,132538436703654,0.026795,0.007019,42.0,10000
35,132538446703160,0.029602,0.006286,43.0,10000
36,132538456703104,0.027465,0.006897,43.0,10000
37,132538466703651,0.025696,0.006409,43.0,10000
38,132538476703417,0.026489,0.006958,43.0,10000
39,132538486702837,0.025452,0.006286,43.0,10000
40,132538496703723,0.027771,0.007080,43.0,10000
41,132538506706499,0.026306,0.006592,42.0,10000
42,132538516704973,0.026550,0.007019,43.0,10000
43,132538526703202,0.025696,0.006287,43.0,10000
44,132538536703833,0.026611,0.006958,41.0,10000
45,132538546703810,0.025452,0.006286,43.0,10000
46,132538556703931,0.026428,0.006958,43.0,10000
47,132538566703176,0.025635,0.006287,43.0,10000
48,132538576703312,0.026550,0.007141,43.0,10000
49,132538586702993,0.025940,0.006470,43.0,10000
50,132538596703202,0.026428,0.006958,43.0,10000
51,132538606703341,0.025818,0.006286,43.0,10000
52,132538616703237,0.026733,0.007203,43.0,10000
53,132538626703296,0.025696,0.006225,43.0,10000
54,132538636704546,0.026367,0.006958,43.0,10000
55,132538646703029,0.029968,0.006409,43.0,10000
56,132538656702928,0.027771,0.007263,43.0,10000
57,132538666702550,0.026123,0.006409,42.0,10000
58,132538676703618,0.026550,0.006958,43.0,10000
59,132538686703107,0.026367,0.006469,42.0,10000
60,132538696703129,0.026306,0.007141,43.0,10000
61,132538706702967,0.026062,0.006409,43.0,10000
62,132538716703780,0.027100,0.007080,43.0,10000
63,132538726703201,0.026367,0.006470,43.0,10000
64,132538736703227,0.026733,0.007263,43.0,10000
65,132538746703149,0.025757,0.006348,43.0,10000
66,132538756703181,0.026550,0.006897,43.0,10000
67,132538766703442,0.025452,0.006347,43.0,10000
68,132538776703165,0.026611,0.007508,43.0,10000
69,132538786703696,0.025940,0.006408,43.0,10000
70,132538796703686,0.026367,0.006897,43.0,10000
71,132538806703262,0.025696,0.006348,43.0,10000
72,132538816703705,0.026611,0.007202,43.0,10000
73,132538826703314,0.025757,0.006348,43.0,10000
74,132538836705492,0.026550,0.007202,43.0,10000
75,132538846703103,0.029968,0.006470,43.0,10000
76,132538856703279,0.027710,0.007080,43.0,10000
77,132538866703835,0.025940,0.006591,43.0,10000
78,132538876703523,0.026367,0.007080,42.0,10000
79,132538886703695,0.025269,0.006409,43.0,10000
80,132538896703207,0.026428,0.007019,43.0,10000
81,132538906702686,0.026550,0.006531,42.0,10000
82,132538916703057,0.026428,0.007019,43.0,10000
83,132538926702608,0.025879,0.006348,43.0,10000
84,132538936703233,0.026428,0.006958,43.0,10000
85,132538946703190,0.025452,0.006408,43.0,10000
86,132538956703435,0.026184,0.006897,43.0,10000
87,132538966703519,0.025451,0.006348,42.0,10000
88,132538976703665,0.026428,0.007080,43.0,10000
89,132538986702894,0.025513,0.006347,43.0,10000
90,132538996703138,0.026123,0.006836,43.0,10000
91,132539006706533,0.026306,0.006592,44.0,10000
92,132539016703018,0.026734,0.007202,43.0,10000
93,132539026703831,0.025268,0.006165,43.0,10000
94,132539036704118,0.026672,0.007019,43.0,10000
95,132539046705892,0.025513,0.006409,43.0,10000
96,132539056703161,0.027649,0.007141,43.0,10000
97,132539066703157,0.029419,0.006347,42.0,10000
98,132539076703382,0.026428,0.006897,43.0,10000
99,132539086703694,0.025573,0.006287,43.0,10000
100,132539096712767,0.026673,0.007263,43.0,10000
101,132539106703226,0.025696,0.006226,43.0,10000
102,132539116703258,0.026489,0.006958,43.0,10000
103,132539126703287,0.025268,0.006286,43.0,10000
104,132539136703720,0.026428,0.007141,42.0,10000
105,132539146703180,0.026001,0.006470,43.0,10000
106,132539156704042,0.026306,0.006775,42.0,10000
107,132539166703024,0.026306,0.006592,43.0,10000
108,132539176703033,0.026856,0.007202,43.0,10000
109,132539186703235,0.026367,0.006286,43.0,10000
110,132539196703105,0.026001,0.006897,43.0,10000
111,132539206703147,0.026184,0.006592,42.0,10000
112,132539216703752,0.026733,0.007141,42.0,10000
113,132539226703795,0.026184,0.006470,43.0,10000
