sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,12530848773542,0.062134,0.040283,56.0,10000
2,12530858771600,0.062683,0.040588,56.0,10000
3,12530868772296,0.062194,0.039917,56.0,10000
4,12530878772071,0.062866,0.040344,54.0,10000
5,12530888771716,0.063599,0.040833,56.0,10000
6,12530898771851,0.062744,0.040100,56.0,10000
7,12530908772265,0.064208,0.040527,56.0,10000
8,12530918772423,0.066773,0.040222,54.0,10000
9,12530928772041,0.063781,0.041199,54.0,10000
10,12530938771895,0.061829,0.040039,56.0,10000
11,12530948771612,0.062927,0.041015,54.0,10000
12,12530958771828,0.062072,0.040466,53.0,10000
13,12530968772299,0.062622,0.040467,56.0,10000
14,12530978772273,0.063782,0.041015,57.0,10000
15,12530988772372,0.062622,0.040344,56.0,10000
16,12530998772281,0.061950,0.039978,54.0,10000
17,12531008772283,0.062073,0.040161,54.0,10000
18,12531018771958,0.062927,0.040894,56.0,10000
19,12531028771626,0.062439,0.040405,54.0,10000
20,12531038772013,0.063049,0.040832,54.0,10000
21,12531048772279,0.062500,0.040711,56.0,10000
22,12531058771645,0.062561,0.040710,57.0,10000
23,12531068771615,0.062011,0.040039,56.0,10000
24,12531078772060,0.062317,0.040161,55.0,10000
25,12531088771764,0.062317,0.040588,54.0,10000
26,12531098771725,0.062317,0.040405,54.0,10000
27,12531108772366,0.062805,0.040650,54.0,10000
28,12531118771874,0.061706,0.040039,56.0,10000
29,12531128772229,0.065552,0.040954,56.0,10000
30,12531138772039,0.063903,0.039917,54.0,10000
31,12531148771823,0.063171,0.041199,56.0,10000
32,12531158772108,0.062195,0.040466,54.0,10000
33,12531168771745,0.061951,0.040161,54.0,10000
34,12531178771957,0.062560,0.040222,56.0,10000
35,12531188772014,0.063416,0.041015,56.0,10000
36,12531198771567,0.062317,0.040528,54.0,10000
37,12531208772094,0.062744,0.040588,54.0,10000
38,12531218771882,0.062011,0.039856,55.0,10000
39,12531228772088,0.063110,0.040832,54.0,10000
40,12531238771601,0.061402,0.040039,56.0,10000
41,12531248771397,0.062499,0.040588,56.0,10000
42,12531258772174,0.062256,0.040467,54.0,10000
43,12531268771827,0.061951,0.040344,56.0,10000
44,12531278771861,0.062927,0.040527,56.0,10000
45,12531288772082,0.062622,0.040527,56.0,10000
46,12531298772382,0.061767,0.040100,56.0,10000
47,12531308771986,0.063171,0.041199,56.0,10000
48,12531318772672,0.061646,0.040222,56.0,10000
49,12531328772062,0.064697,0.040466,56.0,10000
50,12531338772069,0.065124,0.040588,54.0,10000
51,12531348772305,0.063660,0.041260,56.0,10000
52,12531358772031,0.061584,0.040039,54.0,10000
53,12531368771968,0.061828,0.040283,54.0,10000
54,12531378772155,0.062317,0.040405,55.0,10000
55,12531388771667,0.063110,0.040833,56.0,10000
56,12531398772317,0.062073,0.040161,54.0,10000
57,12531408772034,0.063293,0.041076,56.0,10000
58,12531418771624,0.060730,0.039612,54.0,10000
