sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,269151386006557,0.054870,0.034424,52.0,10000
2,269151396005247,0.055054,0.034606,52.0,10000
3,269151406004598,0.055542,0.034851,52.0,10000
4,269151416004379,0.055969,0.034973,53.0,10000
5,269151426004255,0.055358,0.034424,52.0,10000
6,269151436004435,0.053894,0.033447,52.0,10000
7,269151446004726,0.056641,0.035340,52.0,10000
8,269151456004919,0.054077,0.033630,52.0,10000
9,269151466004356,0.057190,0.034912,52.0,10000
10,269151476004423,0.056640,0.033508,50.0,10000
11,269151486004195,0.055237,0.034485,52.0,10000
12,269151496004265,0.056640,0.035278,52.0,10000
13,269151506004812,0.054626,0.034119,53.0,10000
14,269151516003964,0.054505,0.033874,52.0,10000
15,269151526004754,0.054565,0.034424,52.0,10000
16,269151536004161,0.054626,0.034179,52.0,10000
17,269151546004261,0.054871,0.034485,52.0,10000
18,269151556004593,0.054504,0.034424,52.0,10000
19,269151566004740,0.055725,0.034851,52.0,10000
20,269151576004479,0.053711,0.033752,52.0,10000
21,269151586004427,0.054992,0.034241,53.0,10000
22,269151596004359,0.054383,0.033935,52.0,10000
23,269151606004306,0.055053,0.034424,52.0,10000
24,269151616004322,0.055115,0.034668,51.0,10000
25,269151626004617,0.054321,0.034180,52.0,10000
26,269151636003792,0.055053,0.034240,53.0,10000
27,269151646004452,0.054688,0.033936,52.0,10000
28,269151656003904,0.055298,0.034301,52.0,10000
29,269151666004166,0.055480,0.034485,53.0,10000
30,269151676004146,0.054688,0.034058,50.0,10000
31,269151686004177,0.057495,0.034118,51.0,10000
32,269151696003897,0.057617,0.034973,52.0,10000
33,269151706003962,0.055358,0.034790,53.0,10000
34,269151716004378,0.055420,0.034546,51.0,10000
35,269151726004320,0.055298,0.034424,52.0,10000
36,269151736004625,0.055420,0.034485,52.0,10000
37,269151746003903,0.055420,0.034362,50.0,10000
38,269151756004582,0.055419,0.034668,52.0,10000
39,269151766004571,0.055481,0.034485,52.0,10000
40,269151776004464,0.055481,0.034485,52.0,10000
41,269151786004504,0.053955,0.033508,52.0,10000
42,269151796004412,0.054504,0.034241,52.0,10000
43,269151806004488,0.054260,0.033508,52.0,10000
44,269151816004535,0.055420,0.034790,52.0,10000
