sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,62887688104320,0.055725,0.035156,53.0,10000
2,62887698102268,0.056214,0.035584,53.0,10000
3,62887708102781,0.054443,0.034362,52.0,10000
4,62887718102911,0.055359,0.035096,54.0,10000
5,62887728102583,0.055297,0.035034,52.0,10000
6,62887738102731,0.054322,0.034057,53.0,10000
7,62887748102057,0.055297,0.034790,53.0,10000
8,62887758102084,0.055725,0.035156,54.0,10000
9,62887768102646,0.053528,0.033997,53.0,10000
10,62887778102539,0.055603,0.035278,53.0,10000
11,62887788102222,0.054626,0.034302,53.0,10000
12,62887798102765,0.055664,0.035095,53.0,10000
13,62887808102514,0.054382,0.034057,53.0,10000
14,62887818102520,0.054260,0.034119,53.0,10000
15,62887828102799,0.055908,0.035461,53.0,10000
16,62887838102376,0.057434,0.034363,53.0,10000
17,62887848102142,0.057617,0.034912,53.0,10000
18,62887858101898,0.053833,0.034057,53.0,10000
19,62887868102156,0.055420,0.034790,53.0,10000
20,62887878102318,0.054809,0.034668,53.0,10000
21,62887888102156,0.055054,0.034546,52.0,10000
22,62887898102655,0.054687,0.034180,52.0,10000
23,62887908102603,0.055420,0.034912,54.0,10000
24,62887918102058,0.054565,0.034362,52.0,10000
25,62887928102339,0.055420,0.035218,53.0,10000
26,62887938102762,0.054993,0.034790,52.0,10000
27,62887948102364,0.054809,0.034606,53.0,10000
28,62887958101999,0.055298,0.035157,53.0,10000
29,62887968101882,0.054138,0.034301,53.0,10000
30,62887978101908,0.053955,0.034180,53.0,10000
31,62887988102095,0.054809,0.034851,53.0,10000
32,62887998101942,0.056336,0.035217,52.0,10000
33,62888008102584,0.054504,0.034485,53.0,10000
34,62888018102532,0.055481,0.034912,53.0,10000
35,62888028102383,0.054382,0.034485,54.0,10000
36,62888038102374,0.058716,0.035400,53.0,10000
37,62888048102042,0.056762,0.034363,52.0,10000
38,62888058102684,0.055725,0.035034,54.0,10000
39,62888068102269,0.055176,0.034973,53.0,10000
40,62888078101928,0.054748,0.034546,53.0,10000
41,62888088102614,0.054321,0.034118,53.0,10000
42,62888098102608,0.055237,0.034729,53.0,10000
43,62888108102666,0.055603,0.035278,53.0,10000
44,62888118102242,0.055175,0.034851,54.0,10000
45,62888128102095,0.055542,0.034790,53.0,10000
46,62888138102613,0.055359,0.034668,53.0,10000
47,62888148102065,0.054931,0.034424,53.0,10000
48,62888158102654,0.055786,0.035339,53.0,10000
49,62888168101995,0.054688,0.034546,53.0,10000
50,62888178102293,0.054565,0.034363,52.0,10000
51,62888188102699,0.055542,0.035095,52.0,10000
52,62888198102091,0.055054,0.034423,53.0,10000
53,62888208102490,0.056030,0.035279,53.0,10000
54,62888218101839,0.054870,0.033996,53.0,10000
55,62888228101970,0.056458,0.035401,53.0,10000
56,62888238102325,0.055663,0.034851,53.0,10000
57,62888248102503,0.056397,0.034912,54.0,10000
58,62888258101922,0.058715,0.034423,54.0,10000
59,62888268102515,0.055847,0.034363,54.0,10000
60,62888278102607,0.054261,0.034119,54.0,10000
61,62888288102078,0.055908,0.034973,52.0,10000
62,62888298102455,0.055053,0.034423,53.0,10000
63,62888308102456,0.056152,0.035401,54.0,10000
64,62888318102256,0.055603,0.034729,52.0,10000
65,62888328102206,0.053772,0.033691,53.0,10000
66,62888338102290,0.055725,0.035034,53.0,10000
67,62888348101814,0.055847,0.035156,52.0,10000
68,62888358102328,0.056091,0.035400,53.0,10000
69,62888368101735,0.054321,0.034485,53.0,10000
70,62888378102086,0.055847,0.035339,54.0,10000
71,62888388101868,0.055054,0.034851,53.0,10000
72,62888398102475,0.055176,0.034851,53.0,10000
73,62888408101795,0.056091,0.035279,54.0,10000
74,62888418102634,0.054870,0.034545,52.0,10000
75,62888428102847,0.056030,0.035157,53.0,10000
76,62888438102282,0.054261,0.034240,53.0,10000
77,62888448102012,0.056213,0.035340,52.0,10000
78,62888458102057,0.058593,0.034789,53.0,10000
79,62888468102823,0.056275,0.035279,53.0,10000
80,62888478101888,0.054626,0.034790,52.0,10000
81,62888488101985,0.054748,0.034545,54.0,10000
82,62888498101751,0.055664,0.035462,54.0,10000
83,62888508102362,0.055420,0.034912,54.0,10000
84,62888518102063,0.055725,0.034973,53.0,10000
85,62888528101838,0.055908,0.035278,53.0,10000
86,62888538102294,0.054565,0.034546,53.0,10000
87,62888548102724,0.056336,0.035644,53.0,10000
88,62888558102538,0.054504,0.034302,53.0,10000
89,62888568102312,0.056396,0.035705,53.0,10000
90,62888578102566,0.055115,0.034790,52.0,10000
91,62888588101903,0.054077,0.034119,53.0,10000
92,62888598102271,0.054870,0.034607,53.0,10000
93,62888608101883,0.056030,0.035583,53.0,10000
94,62888618102129,0.054566,0.034302,54.0,10000
95,62888628102814,0.055297,0.034790,53.0,10000
96,62888638101955,0.055115,0.034790,54.0,10000
97,62888648101831,0.055603,0.035034,53.0,10000
98,62888658103013,0.055237,0.034973,53.0,10000
99,62888668101710,0.057739,0.035705,53.0,10000
100,62888678102541,0.059143,0.035584,54.0,10000
101,62888688102337,0.054138,0.034240,53.0,10000
102,62888698102008,0.055297,0.034729,53.0,10000
103,62888708102483,0.056336,0.035401,54.0,10000
104,62888718102760,0.054443,0.033996,53.0,10000
105,62888728102650,0.055542,0.035034,54.0,10000
106,62888738102024,0.055725,0.034790,54.0,10000
107,62888748102020,0.055359,0.034302,53.0,10000
108,62888758101842,0.056335,0.035400,54.0,10000
109,62888768102271,0.055236,0.034424,53.0,10000
110,62888778102459,0.057495,0.036377,53.0,10000
111,62888788101940,0.054627,0.034240,54.0,10000
