sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,152431243996541,0.062744,0.039550,54.0,10000
2,152431253993450,0.058227,0.035950,53.0,10000
3,152431263993642,0.065918,0.043091,54.0,10000
4,152431273992997,0.060425,0.039489,54.0,10000
5,152431283993083,0.060180,0.039246,53.0,10000
6,152431293993992,0.055054,0.039978,54.0,10000
7,152431303993883,0.060974,0.036072,54.0,10000
8,152431313993800,0.060669,0.039489,53.0,10000
9,152431323993033,0.066894,0.043335,54.0,10000
10,152431333993009,0.055054,0.035828,54.0,10000
11,152431343993351,0.065734,0.043090,54.0,10000
12,152431353993618,0.055115,0.036133,54.0,10000
13,152431363993466,0.065124,0.042541,54.0,10000
14,152431373993291,0.060486,0.039612,54.0,10000
15,152431383993763,0.059387,0.039063,54.0,10000
16,152431393993433,0.059631,0.039062,54.0,10000
17,152431403992909,0.060364,0.039367,54.0,10000
18,152431413993273,0.059692,0.038758,54.0,10000
19,152431423994355,0.060181,0.039123,54.0,10000
20,152431433993701,0.055175,0.036194,54.0,10000
21,152431443993485,0.061768,0.039551,54.0,10000
22,152431453993517,0.063598,0.039123,54.0,10000
23,152431463993475,0.066589,0.043091,54.0,10000
24,152431473993457,0.059998,0.039245,54.0,10000
25,152431483993735,0.060974,0.039490,54.0,10000
26,152431493993551,0.055053,0.035705,54.0,10000
27,152431503993821,0.060608,0.039185,54.0,10000
28,152431513993988,0.066223,0.042968,54.0,10000
29,152431523992974,0.053711,0.039124,54.0,10000
30,152431533992882,0.060608,0.035461,54.0,10000
31,152431543993457,0.060302,0.039368,54.0,10000
32,152431553993523,0.059387,0.038940,53.0,10000
33,152431563993585,0.066589,0.043335,54.0,10000
34,152431573992906,0.060425,0.039184,54.0,10000
35,152431583993911,0.054321,0.035584,53.0,10000
36,152431593992988,0.060181,0.039367,54.0,10000
37,152431603993136,0.060546,0.039734,54.0,10000
38,152431613994090,0.060303,0.039307,54.0,10000
39,152431623993773,0.059509,0.038879,54.0,10000
40,152431633993136,0.066650,0.043396,54.0,10000
41,152431643993272,0.059387,0.038208,54.0,10000
42,152431653992867,0.054871,0.035583,54.0,10000
43,152431663993817,0.062561,0.038880,54.0,10000
44,152431673992990,0.062744,0.039123,53.0,10000
45,152431683993817,0.066650,0.042969,54.0,10000
46,152431693993038,0.059936,0.038940,54.0,10000
47,152431703993164,0.059876,0.038330,53.0,10000
48,152431713992901,0.058776,0.037720,54.0,10000
49,152431723993288,0.055847,0.036437,53.0,10000
50,152431733993173,0.065735,0.042481,54.0,10000
51,152431743993344,0.060974,0.039245,54.0,10000
52,152431753993502,0.060669,0.039307,53.0,10000
53,152431763993664,0.059814,0.038513,54.0,10000
54,152431773993199,0.060730,0.039368,54.0,10000
55,152431783993100,0.060791,0.039611,54.0,10000
56,152431793993057,0.055114,0.036072,54.0,10000
57,152431803993515,0.065979,0.043152,54.0,10000
58,152431813994359,0.059692,0.038940,53.0,10000
59,152431823993368,0.060669,0.039368,54.0,10000
60,152431833993283,0.060730,0.039550,54.0,10000
61,152431843993039,0.059997,0.039246,53.0,10000
62,152431853993249,0.060730,0.039611,53.0,10000
63,152431863993081,0.063477,0.039612,54.0,10000
64,152431873993399,0.062927,0.039734,54.0,10000
65,152431883993950,0.059753,0.039062,54.0,10000
66,152431893993257,0.060058,0.039307,54.0,10000
67,152431903993558,0.060059,0.039001,54.0,10000
68,152431913993401,0.060669,0.039673,53.0,10000
69,152431923993572,0.054809,0.035950,54.0,10000
70,152431933993187,0.060425,0.039123,54.0,10000
71,152431943993066,0.061279,0.039734,53.0,10000
72,152431953992978,0.061157,0.039734,54.0,10000
73,152431963993903,0.060181,0.039123,53.0,10000
74,152431973993056,0.066467,0.043274,53.0,10000
75,152431983993655,0.060058,0.039245,53.0,10000
76,152431993994148,0.060730,0.039368,53.0,10000
77,152432003993887,0.060608,0.039307,53.0,10000
78,152432013993559,0.055114,0.035888,53.0,10000
79,152432023993470,0.066284,0.042847,53.0,10000
80,152432033993671,0.055481,0.039611,54.0,10000
81,152432043993671,0.065552,0.039063,53.0,10000
82,152432053993154,0.054931,0.035888,53.0,10000
83,152432063992913,0.061035,0.040222,53.0,10000
84,152432073993529,0.066101,0.042969,53.0,10000
85,152432083993507,0.064270,0.039673,53.0,10000
86,152432093993600,0.056152,0.036133,53.0,10000
87,152432103993627,0.065430,0.043151,53.0,10000
88,152432113993599,0.054870,0.036072,54.0,10000
89,152432123993733,0.066162,0.043640,54.0,10000
90,152432133993536,0.061218,0.040283,54.0,10000
91,152432143993278,0.059082,0.037781,54.0,10000
92,152432153993232,0.054687,0.039856,54.0,10000
93,152432163993867,0.066712,0.039306,54.0,10000
94,152432173993911,0.061218,0.040100,53.0,10000
95,152432183993220,0.059570,0.038513,54.0,10000
96,152432193993490,0.059814,0.039307,54.0,10000
97,152432203994244,0.060303,0.039550,54.0,10000
98,152432213993882,0.060302,0.039307,54.0,10000
99,152432223993861,0.059082,0.038147,54.0,10000
100,152432233995221,0.060425,0.039306,53.0,10000
101,152432243993072,0.060302,0.039490,54.0,10000
102,152432253993696,0.060242,0.039490,54.0,10000
103,152432263993407,0.059936,0.039306,54.0,10000
104,152432273993362,0.054749,0.035767,53.0,10000
105,152432283992907,0.063720,0.039611,54.0,10000
106,152432293992815,0.061951,0.040039,54.0,10000
107,152432303993340,0.059204,0.038208,54.0,10000
108,152432313993850,0.065490,0.042603,54.0,10000
109,152432323993506,0.052918,0.033996,54.0,10000
110,152432333993460,0.066833,0.043457,53.0,10000
111,152432343993193,0.054871,0.035767,53.0,10000
112,152432353993734,0.066284,0.043212,54.0,10000
113,152432363993660,0.059631,0.038391,53.0,10000
114,152432373993690,0.060607,0.039246,53.0,10000
115,152432383993533,0.056092,0.036560,53.0,10000
116,152432393994415,0.059570,0.038269,54.0,10000
117,152432403993120,0.065490,0.042724,53.0,10000
118,152432413993750,0.055969,0.036682,54.0,10000
119,152432423993023,0.060852,0.039551,54.0,10000
120,152432433993859,0.067322,0.043762,53.0,10000
121,152432443994082,0.054138,0.034729,54.0,10000
122,152432453993541,0.066284,0.043213,53.0,10000
123,152432463994178,0.061828,0.040405,54.0,10000
124,152432473993323,0.055725,0.036072,54.0,10000
125,152432483993213,0.066529,0.043396,54.0,10000
126,152432493992956,0.062255,0.039428,54.0,10000
127,152432503993581,0.057373,0.034973,54.0,10000
128,152432513993053,0.066406,0.043091,53.0,10000
129,152432523994328,0.055420,0.036316,54.0,10000
130,152432533993063,0.059570,0.039001,54.0,10000
131,152432543993113,0.065918,0.043030,54.0,10000
132,152432553993727,0.054016,0.034912,54.0,10000
133,152432563993895,0.065613,0.042908,54.0,10000
134,152432573993856,0.058837,0.037963,54.0,10000
135,152432583993973,0.053650,0.034424,54.0,10000
136,152432593993283,0.060120,0.039368,53.0,10000
137,152432603993328,0.066711,0.043334,53.0,10000
138,152432613993038,0.059814,0.038941,54.0,10000
139,152432623993090,0.060852,0.039856,54.0,10000
140,152432633993362,0.053650,0.035461,54.0,10000
141,152432643993420,0.059753,0.039184,54.0,10000
142,152432653993264,0.059631,0.038575,54.0,10000
143,152432663993614,0.060303,0.039611,54.0,10000
144,152432673993334,0.063964,0.041565,54.0,10000
145,152432683993060,0.060486,0.039856,54.0,10000
146,152432693992873,0.061462,0.039490,53.0,10000
147,152432703993659,0.056336,0.034606,54.0,10000
148,152432713993791,0.066711,0.043213,54.0,10000
149,152432723994147,0.060425,0.039856,54.0,10000
150,152432733992735,0.054504,0.036072,54.0,10000
151,152432743993408,0.066101,0.043396,54.0,10000
152,152432753994030,0.054138,0.035339,54.0,10000
153,152432763993323,0.060363,0.039367,54.0,10000
154,152432773993336,0.066101,0.043091,54.0,10000
155,152432783993452,0.061096,0.039734,54.0,10000
156,152432793994006,0.055664,0.036072,54.0,10000
157,152432803994215,0.060730,0.039794,53.0,10000
158,152432813993639,0.066467,0.043335,53.0,10000
159,152432823993414,0.054871,0.035889,53.0,10000
