sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,101363600612893,0.029418,0.009399,40.0,10000
2,101363610608974,0.026245,0.006775,41.0,10000
3,101363620607828,0.025818,0.006348,41.0,10000
4,101363630608176,0.026428,0.006958,41.0,10000
5,101363640607958,0.025574,0.006408,42.0,10000
6,101363650607401,0.026611,0.006958,41.0,10000
7,101363660607359,0.025391,0.006287,41.0,10000
8,101363670608166,0.025879,0.006653,42.0,10000
9,101363680607359,0.025451,0.006409,41.0,10000
10,101363690607219,0.026734,0.007019,41.0,10000
11,101363700607212,0.025756,0.006286,41.0,10000
12,101363710607889,0.025330,0.006470,41.0,10000
13,101363720611037,0.026733,0.007019,41.0,10000
14,101363730607970,0.027100,0.006775,41.0,10000
15,101363740607879,0.029602,0.006347,41.0,10000
16,101363750608016,0.025940,0.006592,41.0,10000
17,101363760607104,0.025512,0.006531,41.0,10000
18,101363770607713,0.025696,0.006592,41.0,10000
19,101363780607928,0.025757,0.006286,41.0,10000
20,101363790608364,0.025696,0.006714,41.0,10000
21,101363800607436,0.026367,0.006653,41.0,10000
22,101363810607423,0.025634,0.006653,41.0,10000
23,101363820608218,0.025940,0.006347,41.0,10000
24,101363830608087,0.025757,0.006714,41.0,10000
25,101363840608322,0.025574,0.006531,41.0,10000
26,101363850607749,0.026184,0.006714,41.0,10000
27,101363860607133,0.025634,0.006348,41.0,10000
28,101363870608103,0.025757,0.006530,41.0,10000
29,101363880608172,0.026123,0.006592,41.0,10000
30,101363890608198,0.025330,0.006470,40.0,10000
31,101363900607957,0.025634,0.006286,40.0,10000
32,101363910608035,0.026123,0.006775,42.0,10000
33,101363920607540,0.025635,0.006470,41.0,10000
34,101363930608624,0.027588,0.006958,41.0,10000
35,101363940608224,0.029663,0.006287,43.0,10000
36,101363950607393,0.026245,0.006774,40.0,10000
37,101363960609910,0.026123,0.006775,41.0,10000
38,101363970608191,0.026123,0.006836,41.0,10000
39,101363980607670,0.025757,0.006409,41.0,10000
40,101363990607159,0.026001,0.006897,41.0,10000
41,101364000608536,0.025451,0.006347,41.0,10000
42,101364010607367,0.026062,0.006775,42.0,10000
43,101364020608139,0.025452,0.006226,41.0,10000
44,101364030608113,0.026611,0.007019,41.0,10000
45,101364040607305,0.025207,0.006287,41.0,10000
46,101364050607608,0.025818,0.006652,41.0,10000
47,101364060607067,0.026123,0.006409,41.0,10000
48,101364070608086,0.026489,0.006958,41.0,10000
49,101364080607243,0.025696,0.006348,42.0,10000
50,101364090608278,0.026245,0.007019,41.0,10000
51,101364100608926,0.026001,0.006408,42.0,10000
52,101364110607666,0.025757,0.006775,42.0,10000
53,101364120607650,0.025757,0.006409,41.0,10000
54,101364130607670,0.026428,0.007080,42.0,10000
55,101364140608711,0.024963,0.006165,42.0,10000
56,101364150607227,0.028625,0.007019,41.0,10000
57,101364160607158,0.028016,0.006225,41.0,10000
58,101364170607236,0.026123,0.006836,42.0,10000
59,101364180607988,0.025817,0.006409,41.0,10000
60,101364190607764,0.026123,0.006775,42.0,10000
61,101364200607399,0.025391,0.006286,41.0,10000
62,101364210608216,0.025757,0.006653,41.0,10000
63,101364220607285,0.025817,0.006470,41.0,10000
64,101364230607363,0.026307,0.006836,41.0,10000
65,101364240607597,0.025573,0.006347,41.0,10000
66,101364250609075,0.026123,0.006714,41.0,10000
67,101364260608180,0.025513,0.006470,41.0,10000
68,101364270607851,0.026245,0.006897,42.0,10000
69,101364280607522,0.025635,0.006347,41.0,10000
70,101364290608014,0.026184,0.007142,40.0,10000
