sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,260210258883183,0.060791,0.040283,53.0,10000
2,260210268880628,0.061401,0.040649,53.0,10000
3,260210278880987,0.061158,0.040833,52.0,10000
4,260210288880206,0.060729,0.040893,52.0,10000
5,260210298880110,0.063538,0.041077,53.0,10000
6,260210308880322,0.062439,0.040039,52.0,10000
7,260210318879594,0.060729,0.040649,52.0,10000
8,260210328879740,0.059693,0.039856,52.0,10000
9,260210338879623,0.060485,0.040283,53.0,10000
10,260210348879586,0.061402,0.041260,52.0,10000
11,260210358879849,0.060424,0.040405,53.0,10000
12,260210368879948,0.060120,0.040405,53.0,10000
13,260210378880386,0.061401,0.040894,52.0,10000
14,260210388879553,0.060425,0.040405,52.0,10000
15,260210398879701,0.060668,0.040588,52.0,10000
16,260210408879586,0.059693,0.039978,53.0,10000
17,260210418880112,0.061279,0.041199,53.0,10000
18,260210428879728,0.060913,0.040710,52.0,10000
19,260210438880328,0.059143,0.039795,52.0,10000
20,260210448880326,0.061035,0.040954,53.0,10000
21,260210458880289,0.061096,0.040833,52.0,10000
22,260210468879596,0.060241,0.040466,52.0,10000
23,260210478879979,0.060486,0.040283,52.0,10000
24,260210488879905,0.059997,0.040283,53.0,10000
25,260210498879992,0.060913,0.040649,53.0,10000
26,260210508879707,0.060608,0.040283,52.0,10000
27,260210518879951,0.063965,0.040528,52.0,10000
28,260210528880029,0.061462,0.040649,52.0,10000
29,260210538879656,0.061096,0.041076,52.0,10000
30,260210548880039,0.060058,0.040223,52.0,10000
31,260210558880058,0.060852,0.040893,53.0,10000
32,260210568879636,0.060486,0.040588,52.0,10000
33,260210578880323,0.060241,0.040039,53.0,10000
34,260210588879604,0.060608,0.040650,53.0,10000
35,260210598880303,0.060547,0.040710,53.0,10000
36,260210608880103,0.060486,0.040710,53.0,10000
37,260210618880221,0.059997,0.040650,52.0,10000
38,260210628879828,0.059448,0.040039,52.0,10000
39,260210638880219,0.060059,0.040527,52.0,10000
40,260210648880293,0.060912,0.041015,53.0,10000
41,260210658879866,0.060425,0.040772,52.0,10000
42,260210668880539,0.059875,0.040405,52.0,10000
43,260210678880485,0.060608,0.040649,52.0,10000
44,260210688879409,0.059082,0.039795,53.0,10000
45,260210698879652,0.061584,0.041382,52.0,10000
46,260210708880455,0.059754,0.040100,52.0,10000
47,260210718880300,0.064819,0.041320,52.0,10000
48,260210728880094,0.060180,0.039673,52.0,10000
49,260210738880004,0.061341,0.041382,53.0,10000
50,260210748879707,0.059692,0.040100,52.0,10000
51,260210758879974,0.060485,0.040832,52.0,10000
52,260210768879926,0.059571,0.039795,52.0,10000
53,260210778879799,0.061279,0.041077,52.0,10000
54,260210788879370,0.059753,0.040100,52.0,10000
55,260210798879924,0.061340,0.041259,53.0,10000
56,260210808879617,0.059692,0.040222,52.0,10000
57,260210818880280,0.059448,0.040100,53.0,10000
58,260210828880260,0.060425,0.040772,52.0,10000
59,260210838879914,0.060486,0.040893,53.0,10000
60,260210848879927,0.059692,0.040161,53.0,10000
61,260210858879627,0.061035,0.041199,52.0,10000
62,260210868879939,0.059021,0.039673,53.0,10000
63,260210878879686,0.060364,0.040710,53.0,10000
64,260210888879857,0.061157,0.041015,53.0,10000
65,260210898880545,0.060180,0.040345,53.0,10000
66,260210908879829,0.060120,0.040527,52.0,10000
67,260210918880388,0.064392,0.041076,52.0,10000
68,260210928879891,0.061157,0.040345,52.0,10000
69,260210938879660,0.060851,0.041137,53.0,10000
70,260210948879474,0.059632,0.040161,53.0,10000
71,260210958880408,0.060424,0.040649,52.0,10000
72,260210968879624,0.060120,0.040589,53.0,10000
73,260210978879738,0.060119,0.040405,53.0,10000
74,260210988879808,0.061218,0.041199,53.0,10000
75,260210998880373,0.059632,0.040161,52.0,10000
76,260211008880136,0.060180,0.040527,53.0,10000
77,260211018880063,0.061035,0.041137,53.0,10000
78,260211028880079,0.058899,0.039551,52.0,10000
79,260211038880085,0.060424,0.040771,53.0,10000
80,260211048880201,0.060364,0.040528,52.0,10000
81,260211058880180,0.061096,0.041320,53.0,10000
82,260211068879685,0.059082,0.039917,52.0,10000
83,260211078879675,0.060913,0.040955,52.0,10000
84,260211088880327,0.060303,0.040405,52.0,10000
85,260211098880065,0.060180,0.040466,52.0,10000
86,260211108879720,0.060913,0.040833,52.0,10000
87,260211118879871,0.060547,0.040710,52.0,10000
88,260211128880357,0.061401,0.040466,52.0,10000
89,260211138880343,0.063965,0.040710,52.0,10000
90,260211148880241,0.059265,0.039978,52.0,10000
91,260211158880128,0.059997,0.040344,52.0,10000
92,260211168879974,0.060058,0.040528,52.0,10000
93,260211178880205,0.061219,0.041259,53.0,10000
94,260211188880323,0.060058,0.040345,52.0,10000
95,260211198880336,0.060547,0.040466,53.0,10000
96,260211208879703,0.060546,0.040527,52.0,10000
97,260211218879539,0.060791,0.040893,52.0,10000
98,260211228879571,0.060608,0.040833,52.0,10000
99,260211238879585,0.060303,0.040588,53.0,10000
100,260211248879782,0.060180,0.040527,52.0,10000
101,260211258880138,0.059814,0.040222,53.0,10000
102,260211268879599,0.060547,0.040772,53.0,10000
103,260211278880428,0.060364,0.040710,53.0,10000
104,260211288880004,0.059692,0.040039,52.0,10000
105,260211298879682,0.061340,0.040771,52.0,10000
106,260211308879636,0.060730,0.040711,52.0,10000
107,260211318880140,0.060791,0.040771,52.0,10000
108,260211328880144,0.061035,0.040100,52.0,10000
109,260211338880387,0.064697,0.041138,52.0,10000
110,260211348880220,0.060180,0.040466,52.0,10000
111,260211358880196,0.059937,0.039917,53.0,10000
112,260211368879580,0.061584,0.041443,53.0,10000
113,260211378880018,0.060303,0.040466,53.0,10000
114,260211388880009,0.059814,0.040222,53.0,10000
115,260211398879602,0.060242,0.040344,54.0,10000
116,260211408879961,0.061218,0.041199,51.0,10000
117,260211418879409,0.060119,0.040527,52.0,10000
118,260211428880134,0.060425,0.040710,52.0,10000
119,260211438879960,0.059387,0.040100,53.0,10000
120,260211448880015,0.060119,0.040466,53.0,10000
121,260211458879621,0.060181,0.040650,53.0,10000
122,260211468879577,0.059326,0.039917,52.0,10000
123,260211478880224,0.060424,0.040710,52.0,10000
124,260211488880434,0.060669,0.040649,52.0,10000
125,260211498879527,0.060425,0.040528,53.0,10000
126,260211508880376,0.059875,0.040100,52.0,10000
127,260211518879827,0.060486,0.040344,52.0,10000
128,260211528879702,0.061462,0.041259,52.0,10000
129,260211538879772,0.061096,0.040772,53.0,10000
130,260211548880193,0.063477,0.040710,52.0,10000
131,260211558879998,0.062499,0.040100,52.0,10000
132,260211568879640,0.060974,0.040894,53.0,10000
133,260211578879598,0.060242,0.040161,52.0,10000
134,260211588880131,0.060608,0.040405,53.0,10000
135,260211598879598,0.062194,0.041320,52.0,10000
136,260211608879989,0.060181,0.039734,52.0,10000
137,260211618879915,0.061340,0.041077,53.0,10000
138,260211628879338,0.061523,0.040954,52.0,10000
139,260211638880451,0.060120,0.040161,52.0,10000
140,260211648879618,0.060608,0.040528,53.0,10000
141,260211658879427,0.060058,0.040344,52.0,10000
142,260211668880048,0.060486,0.040588,52.0,10000
143,260211678880113,0.060241,0.040527,53.0,10000
144,260211688879498,0.060791,0.041199,52.0,10000
145,260211698879963,0.060059,0.040344,52.0,10000
146,260211708879567,0.060241,0.040039,52.0,10000
147,260211718880044,0.061890,0.041443,52.0,10000
148,260211728879369,0.059509,0.039856,52.0,10000
149,260211738879705,0.060424,0.040588,52.0,10000
150,260211748879756,0.064453,0.041198,53.0,10000
151,260211758879631,0.062012,0.039917,52.0,10000
152,260211768879766,0.060669,0.040589,52.0,10000
153,260211778879657,0.061401,0.040954,52.0,10000
154,260211788879949,0.060486,0.040466,53.0,10000
155,260211798879673,0.061340,0.041016,53.0,10000
156,260211808880162,0.059997,0.039673,52.0,10000
157,260211818880066,0.061707,0.041259,53.0,10000
158,260211828879703,0.059997,0.039734,52.0,10000
159,260211838879398,0.061279,0.041077,52.0,10000
160,260211848880791,0.060547,0.040527,52.0,10000
161,260211858880190,0.060547,0.040588,52.0,10000
162,260211868880284,0.059448,0.039673,52.0,10000
163,260211878879621,0.061645,0.041198,52.0,10000
164,260211888879697,0.061035,0.040711,52.0,10000
165,260211898879491,0.059509,0.039673,52.0,10000
166,260211908879415,0.062073,0.041503,52.0,10000
167,260211918880300,0.060791,0.040711,53.0,10000
168,260211928880179,0.060912,0.040466,52.0,10000
169,260211938879868,0.060059,0.040039,52.0,10000
170,260211948879961,0.061340,0.041015,52.0,10000
171,260211958879539,0.059998,0.040222,53.0,10000
172,260211968880234,0.064269,0.040650,53.0,10000
173,260211978879861,0.062012,0.040954,52.0,10000
174,260211988879753,0.059570,0.040222,52.0,10000
