sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,250638488261391,0.062011,0.041199,57.0,10000
2,250638498260113,0.060486,0.040344,55.0,10000
3,250638508259796,0.061951,0.039856,56.0,10000
4,250638518259781,0.063110,0.040527,54.0,10000
5,250638528260108,0.060119,0.040405,56.0,10000
6,250638538259602,0.060730,0.040344,54.0,10000
7,250638548260339,0.061157,0.040344,56.0,10000
8,250638558260297,0.061707,0.041077,54.0,10000
9,250638568259645,0.059204,0.039856,56.0,10000
10,250638578260133,0.060485,0.040466,56.0,10000
11,250638588259764,0.060852,0.040771,56.0,10000
12,250638598259604,0.059814,0.039917,54.0,10000
13,250638608259613,0.062561,0.041504,56.0,10000
14,250638618259864,0.059570,0.039612,56.0,10000
15,250638628260186,0.060730,0.040527,55.0,10000
16,250638638259720,0.061218,0.040894,56.0,10000
17,250638648259792,0.061341,0.040832,56.0,10000
18,250638658259948,0.060790,0.040405,56.0,10000
19,250638668259898,0.059326,0.039734,54.0,10000
20,250638678259620,0.061951,0.041076,57.0,10000
21,250638688260326,0.059692,0.039978,54.0,10000
22,250638698259866,0.060425,0.040467,56.0,10000
23,250638708260382,0.063720,0.041320,56.0,10000
24,250638718260118,0.062195,0.040100,56.0,10000
25,250638728259651,0.060974,0.040833,56.0,10000
26,250638738260168,0.059204,0.039734,54.0,10000
27,250638748260422,0.060913,0.040649,56.0,10000
28,250638758260541,0.060730,0.040466,56.0,10000
29,250638768259840,0.060058,0.040222,56.0,10000
30,250638778259968,0.061829,0.041321,57.0,10000
31,250638788259982,0.060119,0.040100,56.0,10000
32,250638798259647,0.060852,0.040710,54.0,10000
33,250638808259805,0.060364,0.040100,56.0,10000
34,250638818260318,0.060485,0.040039,56.0,10000
35,250638828260445,0.060730,0.040588,57.0,10000
36,250638838260328,0.061340,0.041260,57.0,10000
37,250638848260272,0.061035,0.040588,56.0,10000
38,250638858259615,0.060303,0.040039,56.0,10000
39,250638868260262,0.061462,0.041016,56.0,10000
40,250638878260588,0.059631,0.040100,56.0,10000
41,250638888259700,0.060181,0.040405,56.0,10000
42,250638898259992,0.060241,0.040588,56.0,10000
43,250638908260919,0.061585,0.041138,56.0,10000
44,250638918259661,0.059692,0.039917,56.0,10000
45,250638928260092,0.064270,0.040649,54.0,10000
46,250638938259737,0.060974,0.040222,56.0,10000
47,250638948260153,0.060363,0.040588,54.0,10000
48,250638958259873,0.060730,0.040650,56.0,10000
49,250638968259923,0.061218,0.041076,56.0,10000
50,250638978259716,0.059387,0.039795,56.0,10000
51,250638988259634,0.060486,0.040466,56.0,10000
52,250638998259716,0.060974,0.041016,56.0,10000
53,250639008260215,0.060181,0.040161,57.0,10000
54,250639018260072,0.060363,0.040527,56.0,10000
55,250639028259736,0.060547,0.040588,56.0,10000
56,250639038259772,0.060791,0.040833,57.0,10000
57,250639048260002,0.059814,0.040222,56.0,10000
58,250639058259874,0.061523,0.041198,56.0,10000
59,250639068260143,0.060059,0.040284,56.0,10000
60,250639078259629,0.060058,0.040222,54.0,10000
61,250639088259932,0.060730,0.040771,56.0,10000
62,250639098259938,0.059509,0.039856,56.0,10000
63,250639108259668,0.061096,0.040710,56.0,10000
64,250639118260165,0.060364,0.040344,54.0,10000
65,250639128259650,0.064270,0.040589,56.0,10000
66,250639138260221,0.061584,0.040466,56.0,10000
67,250639148260138,0.061340,0.041259,56.0,10000
68,250639158260092,0.060181,0.039795,56.0,10000
69,250639168260499,0.060913,0.040833,56.0,10000
70,250639178259922,0.061096,0.040649,56.0,10000
71,250639188260275,0.060974,0.040466,56.0,10000
72,250639198260046,0.059631,0.039795,54.0,10000
73,250639208260217,0.060913,0.040649,56.0,10000
74,250639218260951,0.062133,0.041504,54.0,10000
75,250639228259928,0.060486,0.039978,56.0,10000
76,250639238259770,0.061340,0.040893,56.0,10000
77,250639248259617,0.060059,0.040345,54.0,10000
78,250639258259809,0.061218,0.040649,57.0,10000
79,250639268260557,0.060241,0.040222,56.0,10000
80,250639278260248,0.060364,0.040710,56.0,10000
81,250639288259930,0.060974,0.040955,56.0,10000
82,250639298259621,0.060669,0.040466,56.0,10000
83,250639308260552,0.060119,0.040283,56.0,10000
84,250639318259615,0.060303,0.040222,56.0,10000
85,250639328260787,0.060546,0.040772,56.0,10000
86,250639338259957,0.061707,0.040588,56.0,10000
87,250639348260111,0.062866,0.039917,56.0,10000
88,250639358260279,0.060730,0.040466,56.0,10000
89,250639368259719,0.060791,0.040771,56.0,10000
90,250639378260398,0.060607,0.040711,56.0,10000
91,250639388260456,0.061157,0.041076,57.0,10000
92,250639398259716,0.059509,0.039795,57.0,10000
93,250639408259746,0.061035,0.041077,56.0,10000
94,250639418260202,0.060425,0.040588,56.0,10000
95,250639428260356,0.060242,0.040161,54.0,10000
96,250639438260079,0.060485,0.040222,55.0,10000
97,250639448259693,0.060486,0.040405,56.0,10000
98,250639458260547,0.061401,0.040955,56.0,10000
99,250639468260365,0.059754,0.039978,56.0,10000
100,250639478260268,0.061401,0.041320,57.0,10000
101,250639488260620,0.059997,0.040222,56.0,10000
102,250639498259791,0.060120,0.040344,57.0,10000
103,250639508260121,0.061462,0.041199,54.0,10000
104,250639518259726,0.060058,0.040100,56.0,10000
105,250639528260556,0.061218,0.040649,57.0,10000
106,250639538259883,0.062256,0.040467,57.0,10000
107,250639548259621,0.064514,0.040832,56.0,10000
108,250639558259899,0.060852,0.040283,56.0,10000
109,250639568259696,0.060730,0.040161,56.0,10000
110,250639578260394,0.061462,0.040833,56.0,10000
111,250639588259856,0.060425,0.040100,56.0,10000
112,250639598260236,0.060363,0.040100,56.0,10000
113,250639608260210,0.061585,0.040771,56.0,10000
114,250639618259974,0.060729,0.040649,55.0,10000
115,250639628260647,0.060913,0.040833,57.0,10000
116,250639638259802,0.059693,0.039611,56.0,10000
117,250639648260393,0.061584,0.041077,56.0,10000
118,250639658260000,0.061096,0.040649,56.0,10000
119,250639668259652,0.060730,0.039917,54.0,10000
120,250639678259696,0.061706,0.040771,55.0,10000
121,250639688260523,0.060425,0.040467,56.0,10000
122,250639698259697,0.061035,0.040588,55.0,10000
123,250639708260194,0.060913,0.040405,56.0,10000
124,250639718260156,0.059448,0.039795,56.0,10000
125,250639728259521,0.060241,0.040344,54.0,10000
126,250639738259513,0.061219,0.041260,56.0,10000
