sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,62347657102986,0.058532,0.034851,52.0,10000
2,62347667101749,0.056092,0.035462,52.0,10000
3,62347677101436,0.056884,0.035888,53.0,10000
4,62347687100809,0.054505,0.034241,53.0,10000
5,62347697101292,0.056091,0.035522,53.0,10000
6,62347707100645,0.054565,0.034546,52.0,10000
7,62347717100660,0.055908,0.035034,53.0,10000
8,62347727100817,0.056152,0.035523,53.0,10000
9,62347737101077,0.055420,0.035278,53.0,10000
10,62347747101353,0.056091,0.036011,54.0,10000
11,62347757101161,0.056824,0.036559,52.0,10000
12,62347767101115,0.055603,0.035218,53.0,10000
13,62347777101151,0.056152,0.035522,52.0,10000
14,62347787100945,0.056396,0.036133,52.0,10000
15,62347797101341,0.054504,0.034729,52.0,10000
16,62347807101196,0.055847,0.035827,53.0,10000
17,62347817100610,0.054810,0.034485,53.0,10000
18,62347827100750,0.056396,0.036316,52.0,10000
19,62347837101055,0.054382,0.034790,52.0,10000
20,62347847101029,0.057190,0.036499,52.0,10000
21,62347857100916,0.055603,0.035278,52.0,10000
22,62347867101036,0.058472,0.035095,52.0,10000
23,62347877101230,0.056762,0.034851,53.0,10000
24,62347887100631,0.056580,0.036255,52.0,10000
25,62347897101552,0.055297,0.034912,52.0,10000
26,62347907100746,0.054810,0.034973,52.0,10000
27,62347917100472,0.054443,0.034424,52.0,10000
28,62347927100524,0.055237,0.034790,52.0,10000
29,62347937100808,0.056335,0.036132,53.0,10000
30,62347947100783,0.054992,0.034607,52.0,10000
31,62347957101072,0.055176,0.034851,52.0,10000
32,62347967100768,0.055603,0.035156,52.0,10000
33,62347977101214,0.056763,0.035828,53.0,10000
34,62347987101301,0.056945,0.035949,52.0,10000
35,62347997101451,0.055176,0.034790,53.0,10000
36,62348007101121,0.055908,0.035828,53.0,10000
37,62348017101409,0.054809,0.034607,52.0,10000
38,62348027101435,0.054749,0.035034,53.0,10000
39,62348037100788,0.056213,0.035766,53.0,10000
40,62348047100814,0.055908,0.035645,53.0,10000
41,62348057101238,0.055847,0.035644,52.0,10000
42,62348067100741,0.059387,0.036011,53.0,10000
43,62348077100714,0.057434,0.035217,52.0,10000
44,62348087100912,0.055176,0.034851,53.0,10000
45,62348097100962,0.055542,0.034973,53.0,10000
46,62348107100797,0.054504,0.034058,53.0,10000
47,62348117100613,0.054443,0.034484,52.0,10000
48,62348127100752,0.055969,0.035401,54.0,10000
49,62348137101423,0.056580,0.036316,52.0,10000
50,62348147100959,0.055602,0.035156,53.0,10000
51,62348157101324,0.054200,0.034240,53.0,10000
52,62348167100857,0.054138,0.033997,53.0,10000
53,62348177101120,0.056152,0.035644,53.0,10000
54,62348187100490,0.055359,0.035156,53.0,10000
55,62348197100471,0.052978,0.033326,53.0,10000
56,62348207100897,0.056762,0.036560,52.0,10000
57,62348217101012,0.054138,0.034667,53.0,10000
58,62348227100566,0.055909,0.035584,53.0,10000
59,62348237101576,0.054321,0.034485,52.0,10000
60,62348247100520,0.056396,0.035949,52.0,10000
61,62348257100685,0.054932,0.034973,53.0,10000
62,62348267101274,0.055053,0.035156,52.0,10000
63,62348277100934,0.055481,0.035340,53.0,10000
64,62348287100696,0.057739,0.034362,53.0,10000
65,62348297101094,0.057678,0.036438,53.0,10000
66,62348307100986,0.054443,0.034302,53.0,10000
67,62348317101043,0.055603,0.035339,53.0,10000
68,62348327100684,0.056152,0.035462,54.0,10000
69,62348337100945,0.055970,0.035522,52.0,10000
70,62348347101093,0.056945,0.036377,52.0,10000
71,62348357100638,0.055359,0.034729,53.0,10000
72,62348367101055,0.055603,0.035156,52.0,10000
73,62348377101325,0.055725,0.034973,52.0,10000
74,62348387101151,0.055725,0.034973,52.0,10000
75,62348397100812,0.055175,0.034912,52.0,10000
76,62348407100726,0.055359,0.034729,53.0,10000
77,62348417100826,0.056274,0.035217,52.0,10000
78,62348427101164,0.056641,0.035523,52.0,10000
79,62348437100476,0.055359,0.034484,53.0,10000
80,62348447101441,0.057006,0.035889,53.0,10000
81,62348457100721,0.055481,0.035278,52.0,10000
82,62348467100514,0.055481,0.034912,52.0,10000
83,62348477100636,0.056762,0.035767,52.0,10000
84,62348487100870,0.059510,0.035400,53.0,10000
85,62348497101346,0.057556,0.036316,53.0,10000
86,62348507101265,0.055419,0.035278,53.0,10000
87,62348517100750,0.056214,0.035766,53.0,10000
88,62348527101032,0.056457,0.036011,53.0,10000
89,62348537100888,0.055847,0.035339,52.0,10000
90,62348547100822,0.056885,0.035706,52.0,10000
91,62348557101527,0.056030,0.035156,53.0,10000
92,62348567100936,0.057251,0.036316,52.0,10000
93,62348577100434,0.055847,0.035400,53.0,10000
94,62348587101124,0.057922,0.036682,52.0,10000
95,62348597101340,0.056884,0.035889,53.0,10000
96,62348607101137,0.055176,0.034362,53.0,10000
97,62348617100757,0.056274,0.035523,53.0,10000
98,62348627100825,0.054932,0.034790,53.0,10000
99,62348637101463,0.055725,0.035034,53.0,10000
100,62348647101657,0.054626,0.034179,53.0,10000
101,62348657101215,0.055420,0.035340,53.0,10000
102,62348667101128,0.056518,0.036010,53.0,10000
103,62348677100610,0.055237,0.034546,52.0,10000
104,62348687100641,0.055481,0.035156,52.0,10000
105,62348697100849,0.058044,0.035706,52.0,10000
106,62348707100668,0.058411,0.034851,52.0,10000
107,62348717100990,0.054626,0.034546,52.0,10000
108,62348727100855,0.055359,0.035278,53.0,10000
109,62348737101130,0.056213,0.035400,52.0,10000
110,62348747100653,0.056152,0.035706,53.0,10000
111,62348757101270,0.055664,0.034790,53.0,10000
112,62348767101527,0.056885,0.036254,52.0,10000
113,62348777100529,0.055725,0.035218,52.0,10000
114,62348787101156,0.054748,0.034728,54.0,10000
115,62348797101011,0.056457,0.035706,52.0,10000
116,62348807100696,0.055725,0.035339,53.0,10000
117,62348817100921,0.055786,0.035278,52.0,10000
118,62348827101616,0.056641,0.036011,53.0,10000
119,62348837101442,0.055786,0.035156,52.0,10000
120,62348847101163,0.057495,0.036072,53.0,10000
121,62348857101393,0.056762,0.036011,53.0,10000
122,62348867101544,0.056091,0.035400,52.0,10000
123,62348877100909,0.056397,0.035705,53.0,10000
124,62348887100624,0.056335,0.035401,52.0,10000
125,62348897101492,0.057861,0.035522,53.0,10000
126,62348907101087,0.058777,0.034973,53.0,10000
127,62348917101053,0.057251,0.036072,53.0,10000
128,62348927101365,0.056091,0.035095,53.0,10000
129,62348937101175,0.056152,0.035644,53.0,10000
130,62348947100904,0.056397,0.035157,53.0,10000
131,62348957100868,0.055724,0.034912,52.0,10000
132,62348967101142,0.055115,0.034484,52.0,10000
133,62348977100566,0.055481,0.035156,53.0,10000
134,62348987100870,0.055664,0.035401,52.0,10000
135,62348997101079,0.056640,0.035583,52.0,10000
136,62349007100414,0.055664,0.034973,52.0,10000
137,62349017101258,0.056030,0.034973,53.0,10000
138,62349027100580,0.056336,0.035156,53.0,10000
139,62349037101125,0.054260,0.033936,52.0,10000
140,62349047100732,0.054443,0.034118,53.0,10000
141,62349057100624,0.055969,0.035218,53.0,10000
142,62349067100984,0.055908,0.035461,52.0,10000
143,62349077100636,0.057068,0.036377,52.0,10000
144,62349087101025,0.054748,0.034424,53.0,10000
145,62349097100976,0.056275,0.035461,52.0,10000
146,62349107100882,0.056213,0.035522,52.0,10000
147,62349117100930,0.059204,0.035645,52.0,10000
148,62349127100435,0.057434,0.035034,52.0,10000
149,62349137100815,0.054870,0.034485,52.0,10000
150,62349147101720,0.054871,0.034179,52.0,10000
151,62349157100911,0.055908,0.034973,52.0,10000
152,62349167100788,0.055053,0.034363,52.0,10000
153,62349177100822,0.055786,0.035278,52.0,10000
154,62349187100897,0.056458,0.035828,52.0,10000
155,62349197101304,0.056091,0.035156,52.0,10000
156,62349207100894,0.056274,0.035583,53.0,10000
157,62349217101425,0.056091,0.035462,52.0,10000
158,62349227101036,0.055786,0.035034,52.0,10000
159,62349237100479,0.054626,0.034179,52.0,10000
160,62349247101092,0.056580,0.035279,53.0,10000
161,62349257100495,0.056091,0.035461,53.0,10000
162,62349267101317,0.056152,0.035278,53.0,10000
163,62349277101167,0.054749,0.034424,52.0,10000
164,62349287100629,0.056701,0.036072,53.0,10000
165,62349297101031,0.056824,0.035400,53.0,10000
166,62349307100720,0.056030,0.035217,53.0,10000
167,62349317101022,0.059692,0.035339,53.0,10000
168,62349327101600,0.058838,0.035645,52.0,10000
169,62349337101107,0.055725,0.034790,53.0,10000
170,62349347100877,0.056823,0.035522,52.0,10000
171,62349357100623,0.057007,0.035034,52.0,10000
172,62349367100666,0.056274,0.034973,53.0,10000
173,62349377101372,0.055664,0.034912,54.0,10000
174,62349387101273,0.056946,0.035950,53.0,10000
175,62349397101478,0.055481,0.034729,52.0,10000
176,62349407101410,0.056091,0.035034,53.0,10000
177,62349417100932,0.056763,0.035339,53.0,10000
178,62349427100533,0.055297,0.034302,54.0,10000
179,62349437101279,0.056824,0.035339,54.0,10000
180,62349447101361,0.056701,0.035217,53.0,10000
181,62349457101031,0.057678,0.036072,53.0,10000
182,62349467100933,0.057068,0.035400,53.0,10000
183,62349477100777,0.056946,0.035645,53.0,10000
184,62349487100825,0.056884,0.035766,53.0,10000
185,62349497101349,0.056458,0.035156,52.0,10000
186,62349507100540,0.056274,0.035034,53.0,10000
187,62349517100708,0.057495,0.036194,52.0,10000
188,62349527100904,0.056396,0.035339,53.0,10000
189,62349537101451,0.060852,0.035828,53.0,10000
190,62349547100768,0.058045,0.036194,53.0,10000
191,62349557101315,0.054687,0.034057,53.0,10000
192,62349567100769,0.055969,0.034790,53.0,10000
193,62349577100636,0.057983,0.036743,52.0,10000
