sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,82924904881724,0.028748,0.009583,42.0,10000
2,82924914881161,0.026550,0.007141,43.0,10000
3,82924924877915,0.025879,0.006409,43.0,10000
4,82924934880005,0.026977,0.007446,43.0,10000
5,82924944878052,0.026306,0.006653,41.0,10000
6,82924954877339,0.026490,0.006653,42.0,10000
7,82924964879399,0.025939,0.006530,43.0,10000
8,82924974876801,0.028443,0.006409,42.0,10000
9,82924984876681,0.029358,0.006775,42.0,10000
10,82924994878136,0.026550,0.006714,42.0,10000
11,82925004878328,0.025879,0.006531,43.0,10000
12,82925014877156,0.026001,0.006713,42.0,10000
13,82925024877619,0.026184,0.006653,43.0,10000
14,82925034878540,0.025329,0.006409,43.0,10000
15,82925044878071,0.026184,0.006653,41.0,10000
16,82925054878328,0.027710,0.008178,43.0,10000
17,82925064878009,0.028564,0.009644,43.0,10000
18,82925074879656,0.027039,0.007568,42.0,10000
19,82925084879389,0.026428,0.007141,43.0,10000
20,82925094877670,0.025879,0.006348,43.0,10000
21,82925104877748,0.025940,0.006470,41.0,10000
22,82925114876795,0.025573,0.006591,41.0,10000
23,82925124879135,0.027344,0.007996,42.0,10000
24,82925134879718,0.027039,0.007568,41.0,10000
25,82925144877159,0.026001,0.006714,43.0,10000
26,82925154878770,0.026428,0.006897,41.0,10000
27,82925164879519,0.026062,0.006714,42.0,10000
28,82925174879597,0.029418,0.006958,41.0,10000
29,82925184877175,0.028321,0.006531,41.0,10000
30,82925194879389,0.026916,0.007141,41.0,10000
31,82925204877130,0.025574,0.006347,42.0,10000
32,82925214877722,0.026245,0.006592,42.0,10000
33,82925224878327,0.026123,0.006775,43.0,10000
34,82925234877634,0.025390,0.006409,42.0,10000
35,82925244877774,0.025940,0.006409,41.0,10000
36,82925254877774,0.026306,0.006652,43.0,10000
37,82925264877399,0.025757,0.006470,42.0,10000
38,82925274879213,0.026672,0.007080,43.0,10000
39,82925284877435,0.026062,0.006348,43.0,10000
40,82925294878070,0.026367,0.006836,42.0,10000
