sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,281193591409722,0.029297,0.009827,43.0,10000
2,281193601408175,0.027039,0.007752,43.0,10000
3,281193611406951,0.029113,0.007141,43.0,10000
4,281193621407488,0.029175,0.006530,42.0,10000
5,281193631406837,0.026306,0.006531,42.0,10000
6,281193641406232,0.026550,0.006531,42.0,10000
7,281193651408012,0.026184,0.006714,42.0,10000
8,281193661407781,0.026123,0.006653,43.0,10000
9,281193671406180,0.025879,0.006347,43.0,10000
10,281193681406759,0.026550,0.006592,43.0,10000
11,281193691408549,0.026551,0.007446,41.0,10000
12,281193701406169,0.026000,0.005921,43.0,10000
13,281193711405919,0.025574,0.006408,43.0,10000
14,281193721408718,0.026245,0.007080,42.0,10000
15,281193731407533,0.025757,0.006531,43.0,10000
16,281193741407465,0.028808,0.007446,42.0,10000
17,281193751408399,0.023499,0.006775,43.0,10000
18,281193761407976,0.026733,0.006592,43.0,10000
19,281193771407937,0.028321,0.007263,43.0,10000
20,281193781408272,0.023742,0.006226,43.0,10000
21,281193791408139,0.028320,0.007324,43.0,10000
22,281193801408523,0.023926,0.006409,43.0,10000
23,281193811408356,0.026306,0.006958,42.0,10000
24,281193821405606,0.025513,0.006408,43.0,10000
25,281193831407985,0.030639,0.007141,41.0,10000
26,281193841405778,0.027649,0.006470,43.0,10000
27,281193851406361,0.025391,0.006287,42.0,10000
28,281193861407491,0.026123,0.006653,43.0,10000
29,281193871406179,0.028320,0.007080,43.0,10000
30,281193881405424,0.023682,0.006042,42.0,10000
31,281193891408418,0.026550,0.007385,42.0,10000
32,281193901406185,0.025940,0.006592,43.0,10000
33,281193911406839,0.026123,0.006653,43.0,10000
34,281193921408132,0.026306,0.007385,43.0,10000
35,281193931406116,0.026489,0.006958,43.0,10000
36,281193941407939,0.026367,0.006531,42.0,10000
37,281193951406240,0.026062,0.006470,43.0,10000
38,281193961406257,0.026184,0.006530,43.0,10000
39,281193971408747,0.026062,0.007019,43.0,10000
40,281193981405719,0.026794,0.006836,43.0,10000
41,281193991405475,0.026001,0.006592,43.0,10000
42,281194001408089,0.026489,0.007080,42.0,10000
43,281194011405800,0.025391,0.006287,43.0,10000
44,281194021407819,0.028870,0.007629,43.0,10000
45,281194031405534,0.026733,0.005920,43.0,10000
46,281194041407975,0.030212,0.007691,43.0,10000
47,281194051406585,0.023194,0.005920,42.0,10000
48,281194061406152,0.026000,0.006531,43.0,10000
49,281194071407333,0.026245,0.006836,43.0,10000
50,281194081405976,0.025574,0.006348,42.0,10000
51,281194091405621,0.025818,0.006469,43.0,10000
52,281194101407480,0.026245,0.006958,43.0,10000
53,281194111406464,0.025879,0.006531,43.0,10000
54,281194121405328,0.025879,0.006592,43.0,10000
55,281194131407750,0.025879,0.006653,43.0,10000
56,281194141405631,0.028442,0.006836,43.0,10000
57,281194151405631,0.023498,0.005859,43.0,10000
58,281194161408375,0.026795,0.007751,42.0,10000
59,281194171406168,0.025329,0.005738,43.0,10000
60,281194181408189,0.026306,0.006713,43.0,10000
61,281194191407541,0.026612,0.007081,43.0,10000
62,281194201406057,0.025878,0.006591,43.0,10000
63,281194211406500,0.026062,0.006653,43.0,10000
64,281194221405197,0.028931,0.007752,43.0,10000
65,281194231407746,0.023804,0.006469,43.0,10000
66,281194241407642,0.027648,0.007263,43.0,10000
67,281194251406122,0.032288,0.007019,43.0,10000
68,281194261406083,0.025757,0.006287,43.0,10000
69,281194271405484,0.023376,0.005982,43.0,10000
70,281194281405682,0.025818,0.006408,43.0,10000
71,281194291408036,0.026062,0.006775,42.0,10000
72,281194301406037,0.025879,0.006409,42.0,10000
73,281194311405923,0.028320,0.007324,43.0,10000
74,281194321407700,0.026245,0.006958,43.0,10000
75,281194331405786,0.023376,0.005859,41.0,10000
76,281194341407987,0.029175,0.007508,42.0,10000
77,281194351406346,0.026062,0.006652,43.0,10000
78,281194361407896,0.024048,0.006287,42.0,10000
79,281194371407687,0.025879,0.006714,43.0,10000
80,281194381407833,0.026245,0.006775,42.0,10000
81,281194391407970,0.026611,0.007080,43.0,10000
82,281194401406160,0.025269,0.006286,43.0,10000
83,281194411406004,0.026000,0.006531,43.0,10000
84,281194421408442,0.025879,0.006775,43.0,10000
85,281194431407928,0.026001,0.006836,43.0,10000
86,281194441407427,0.027466,0.007080,43.0,10000
87,281194451407859,0.030151,0.007324,43.0,10000
88,281194461405421,0.026306,0.005921,43.0,10000
89,281194471405822,0.027832,0.006897,43.0,10000
90,281194481408621,0.024414,0.006836,43.0,10000
91,281194491405900,0.026367,0.006774,43.0,10000
92,281194501407592,0.026551,0.007080,43.0,10000
93,281194511405525,0.028686,0.007203,43.0,10000
94,281194521405968,0.023682,0.006530,42.0,10000
95,281194531407791,0.026855,0.006287,42.0,10000
96,281194541405707,0.026001,0.006409,43.0,10000
97,281194551405821,0.028076,0.006836,43.0,10000
98,281194561407328,0.026184,0.006835,42.0,10000
99,281194571405785,0.023315,0.005860,43.0,10000
100,281194581415916,0.026062,0.007080,43.0,10000
101,281194591408188,0.025818,0.006164,43.0,10000
102,281194601407696,0.026367,0.007141,43.0,10000
103,281194611407693,0.026184,0.006836,43.0,10000
104,281194621407921,0.025757,0.006531,43.0,10000
105,281194631405499,0.028015,0.006897,42.0,10000
106,281194641407999,0.025208,0.006348,43.0,10000
107,281194651406211,0.030212,0.006775,43.0,10000
108,281194661407374,0.025696,0.006530,43.0,10000
109,281194671406208,0.026001,0.006653,43.0,10000
110,281194681406098,0.025573,0.006409,43.0,10000
111,281194691408467,0.026245,0.006775,42.0,10000
112,281194701405603,0.025269,0.006347,43.0,10000
113,281194711405759,0.026123,0.006531,43.0,10000
114,281194721408135,0.026001,0.007019,43.0,10000
115,281194731406618,0.026062,0.006714,43.0,10000
116,281194741407927,0.026245,0.006958,43.0,10000
117,281194751405446,0.026245,0.007019,43.0,10000
118,281194761405739,0.025512,0.005920,43.0,10000
119,281194771408425,0.025818,0.006714,42.0,10000
120,281194781406234,0.028076,0.006958,43.0,10000
121,281194791405368,0.023682,0.005982,43.0,10000
122,281194801407773,0.028625,0.007446,43.0,10000
123,281194811405410,0.023438,0.005981,42.0,10000
124,281194821406123,0.025817,0.006348,42.0,10000
125,281194831407894,0.026490,0.006897,42.0,10000
