sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,290580474585965,0.058410,0.038391,52.0,10000
2,290580484583331,0.056335,0.036559,52.0,10000
3,290580494583752,0.059387,0.038880,53.0,10000
4,290580504583780,0.056763,0.036865,52.0,10000
5,290580514583158,0.057556,0.037475,53.0,10000
6,290580524583247,0.057312,0.037049,53.0,10000
7,290580534583990,0.057861,0.037841,52.0,10000
8,290580544583762,0.057739,0.037476,52.0,10000
9,290580554583653,0.057800,0.037536,52.0,10000
10,290580564583513,0.059204,0.038391,53.0,10000
11,290580574583679,0.057861,0.037232,53.0,10000
12,290580584583363,0.057923,0.037597,52.0,10000
13,290580594583835,0.057311,0.036804,52.0,10000
14,290580604583305,0.058838,0.038636,52.0,10000
15,290580614583791,0.059326,0.037597,52.0,10000
16,290580624583441,0.061646,0.037659,52.0,10000
17,290580634583809,0.061035,0.037536,53.0,10000
18,290580644582949,0.059631,0.037110,53.0,10000
19,290580654583435,0.058715,0.038207,53.0,10000
20,290580664583465,0.057190,0.036560,53.0,10000
21,290580674583765,0.057861,0.037842,53.0,10000
22,290580684583767,0.058716,0.037537,53.0,10000
23,290580694583887,0.058166,0.037902,52.0,10000
24,290580704583321,0.058411,0.038269,54.0,10000
25,290580714583098,0.057983,0.037415,52.0,10000
26,290580724583116,0.057678,0.037109,53.0,10000
27,290580734583763,0.057434,0.037109,52.0,10000
28,290580744582918,0.058533,0.038269,53.0,10000
29,290580754583016,0.056579,0.036743,52.0,10000
30,290580764583062,0.059692,0.039551,52.0,10000
31,290580774583965,0.056458,0.036987,53.0,10000
32,290580784583224,0.058410,0.038330,53.0,10000
33,290580794583318,0.057678,0.037537,53.0,10000
34,290580804584119,0.056824,0.037048,52.0,10000
35,290580814583017,0.057251,0.037109,53.0,10000
36,290580824583382,0.056640,0.036865,53.0,10000
37,290580834583202,0.060486,0.037720,53.0,10000
38,290580844583103,0.059509,0.037170,53.0,10000
39,290580854583392,0.057861,0.037781,54.0,10000
40,290580864582963,0.058350,0.037598,54.0,10000
41,290580874583788,0.057678,0.037597,53.0,10000
42,290580884583244,0.056762,0.036438,52.0,10000
43,290580894583026,0.058411,0.037659,52.0,10000
44,290580904582850,0.058532,0.037963,52.0,10000
45,290580914583168,0.057740,0.037110,53.0,10000
46,290580924582955,0.058166,0.037841,52.0,10000
47,290580934583357,0.056762,0.036499,52.0,10000
48,290580944583273,0.058045,0.037659,52.0,10000
49,290580954583325,0.057251,0.037048,53.0,10000
50,290580964583381,0.057922,0.037781,52.0,10000
51,290580974583582,0.057006,0.036865,53.0,10000
52,290580984583600,0.058167,0.037903,53.0,10000
53,290580994583568,0.057800,0.037231,53.0,10000
54,290581004583786,0.056579,0.036987,53.0,10000
55,290581014583217,0.057556,0.037598,52.0,10000
56,290581024583161,0.057068,0.037170,53.0,10000
57,290581034583443,0.061462,0.038513,52.0,10000
58,290581044583213,0.059632,0.037171,52.0,10000
59,290581054583088,0.057983,0.037719,54.0,10000
60,290581064583162,0.057068,0.036926,53.0,10000
61,290581074583221,0.057311,0.037293,53.0,10000
62,290581084582948,0.057801,0.037170,52.0,10000
63,290581094583183,0.057983,0.037353,53.0,10000
64,290581104583089,0.058349,0.037842,52.0,10000
65,290581114582812,0.058777,0.038025,53.0,10000
66,290581124584002,0.058288,0.037842,53.0,10000
67,290581134583260,0.057678,0.036987,53.0,10000
68,290581144583197,0.059876,0.038940,53.0,10000
69,290581154583003,0.056701,0.036438,53.0,10000
70,290581164582878,0.059876,0.039001,52.0,10000
71,290581174583601,0.057373,0.037049,53.0,10000
72,290581184583522,0.058166,0.037353,53.0,10000
73,290581194583503,0.058349,0.037537,52.0,10000
74,290581204583193,0.057617,0.036987,53.0,10000
75,290581214583456,0.058716,0.038025,52.0,10000
76,290581224583624,0.058472,0.037597,53.0,10000
77,290581234584031,0.058410,0.037659,53.0,10000
78,290581244583043,0.057251,0.036804,53.0,10000
79,290581254583780,0.062927,0.038391,53.0,10000
80,290581264583546,0.059570,0.037597,53.0,10000
81,290581274583382,0.057678,0.037415,52.0,10000
82,290581284583266,0.058167,0.037475,53.0,10000
83,290581294583480,0.057739,0.037171,53.0,10000
84,290581304583702,0.058227,0.037719,53.0,10000
85,290581314583212,0.058227,0.037293,52.0,10000
86,290581324583083,0.057923,0.037658,52.0,10000
87,290581334583444,0.059204,0.037903,53.0,10000
88,290581344583396,0.058410,0.037903,54.0,10000
89,290581354583244,0.057861,0.037353,53.0,10000
90,290581364583753,0.057556,0.037110,54.0,10000
91,290581374583823,0.058960,0.038024,52.0,10000
92,290581384583337,0.057922,0.036988,54.0,10000
93,290581394583234,0.059326,0.038452,52.0,10000
94,290581404583732,0.056885,0.036437,53.0,10000
95,290581414582950,0.059875,0.038636,53.0,10000
96,290581424583796,0.057007,0.036743,53.0,10000
97,290581434583813,0.057983,0.037536,52.0,10000
98,290581444583374,0.059326,0.037781,54.0,10000
99,290581454583442,0.062073,0.037842,53.0,10000
100,290581464583529,0.058716,0.037170,53.0,10000
101,290581474583926,0.058166,0.037353,52.0,10000
102,290581484583724,0.058349,0.037842,52.0,10000
103,290581494583753,0.058472,0.037414,52.0,10000
104,290581504583632,0.059021,0.038330,52.0,10000
105,290581514583808,0.058227,0.037354,53.0,10000
106,290581524583780,0.057373,0.037170,53.0,10000
107,290581534583046,0.058716,0.037720,54.0,10000
108,290581544583966,0.058105,0.037658,53.0,10000
109,290581554583491,0.056885,0.036927,53.0,10000
110,290581564583127,0.056640,0.036865,52.0,10000
111,290581574583063,0.058105,0.038086,54.0,10000
112,290581584583822,0.056702,0.036804,53.0,10000
113,290581594583780,0.058044,0.037780,53.0,10000
114,290581604583593,0.058289,0.037598,52.0,10000
115,290581614583355,0.058654,0.038574,53.0,10000
116,290581624583264,0.057251,0.036987,53.0,10000
117,290581634583529,0.057861,0.037476,52.0,10000
118,290581644583618,0.057861,0.037048,53.0,10000
119,290581654583787,0.058777,0.037781,52.0,10000
120,290581664583635,0.059387,0.037597,53.0,10000
121,290581674583406,0.061707,0.037415,52.0,10000
122,290581684583563,0.059082,0.038085,52.0,10000
123,290581694583511,0.056884,0.036377,52.0,10000
124,290581704583394,0.059509,0.038574,52.0,10000
125,290581714583049,0.057678,0.036988,52.0,10000
126,290581724583232,0.057434,0.037292,53.0,10000
127,290581734582889,0.057495,0.037109,52.0,10000
128,290581744582817,0.058289,0.037537,53.0,10000
129,290581754583487,0.059143,0.038452,53.0,10000
130,290581764583757,0.056884,0.036621,53.0,10000
131,290581774583028,0.059448,0.038513,52.0,10000
132,290581784582862,0.056702,0.036377,53.0,10000
133,290581794583843,0.058288,0.037658,53.0,10000
134,290581804582984,0.058777,0.037537,53.0,10000
135,290581814583696,0.057922,0.037353,52.0,10000
136,290581824583609,0.058472,0.037537,52.0,10000
137,290581834583879,0.057922,0.037475,52.0,10000
138,290581844583166,0.057434,0.037110,53.0,10000
139,290581854583735,0.057373,0.036865,53.0,10000
140,290581864583218,0.060241,0.038269,53.0,10000
141,290581874583196,0.059998,0.036865,53.0,10000
142,290581884583067,0.059570,0.038818,52.0,10000
143,290581894583678,0.056396,0.036133,53.0,10000
144,290581904583671,0.058716,0.038147,53.0,10000
145,290581914583436,0.057678,0.037170,53.0,10000
146,290581924582921,0.058716,0.037842,53.0,10000
147,290581934583732,0.057861,0.037475,52.0,10000
148,290581944583413,0.057983,0.036988,53.0,10000
149,290581954583354,0.058044,0.037475,53.0,10000
150,290581964583711,0.057739,0.036865,52.0,10000
151,290581974583654,0.059021,0.038513,52.0,10000
152,290581984583586,0.057373,0.036987,53.0,10000
153,290581994583370,0.057739,0.037232,52.0,10000
154,290582004583217,0.058838,0.037719,53.0,10000
155,290582014583324,0.057434,0.036866,53.0,10000
156,290582024583812,0.057983,0.037414,52.0,10000
157,290582034582915,0.058167,0.037414,53.0,10000
158,290582044583858,0.059265,0.039002,52.0,10000
159,290582054583600,0.056823,0.036499,53.0,10000
160,290582064583788,0.058899,0.038147,52.0,10000
161,290582074583618,0.057800,0.037292,53.0,10000
162,290582084583386,0.061096,0.038269,53.0,10000
163,290582094583253,0.060181,0.037292,52.0,10000
164,290582104582940,0.058044,0.037720,52.0,10000
165,290582114583423,0.057739,0.037170,53.0,10000
166,290582124583343,0.057800,0.037171,53.0,10000
167,290582134583860,0.059082,0.038330,52.0,10000
168,290582144582872,0.056946,0.036499,53.0,10000
169,290582154583633,0.059326,0.038391,53.0,10000
170,290582164583711,0.058898,0.037719,53.0,10000
171,290582174583603,0.058655,0.037781,53.0,10000
172,290582184583429,0.057068,0.036316,52.0,10000
173,290582194583367,0.059448,0.038147,52.0,10000
