sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,133881502118157,0.062011,0.040527,53.0,10000
2,133881512117254,0.061707,0.040588,56.0,10000
3,133881522117765,0.060608,0.040039,56.0,10000
4,133881532116732,0.061279,0.040222,56.0,10000
5,133881542117219,0.055175,0.036560,56.0,10000
6,133881552117080,0.067444,0.044129,54.0,10000
7,133881562116853,0.062134,0.040832,55.0,10000
8,133881572117378,0.060791,0.039917,54.0,10000
9,133881582117405,0.061645,0.040832,54.0,10000
10,133881592116858,0.060302,0.039612,56.0,10000
11,133881602117593,0.061402,0.040222,56.0,10000
12,133881612116987,0.062072,0.040772,54.0,10000
13,133881622117277,0.055359,0.040649,55.0,10000
14,133881632117037,0.067139,0.039673,54.0,10000
15,133881642117117,0.059265,0.038208,54.0,10000
16,133881652116638,0.058410,0.037719,53.0,10000
17,133881662118063,0.059143,0.038025,55.0,10000
18,133881672116945,0.062988,0.038086,54.0,10000
19,133881682117510,0.054077,0.033813,55.0,10000
20,133881692116699,0.064575,0.041748,54.0,10000
21,133881702117384,0.057922,0.037476,53.0,10000
22,133881712117600,0.053650,0.034729,56.0,10000
23,133881722117105,0.058777,0.037658,54.0,10000
24,133881732116738,0.065368,0.042236,53.0,10000
25,133881742116846,0.053711,0.034241,55.0,10000
26,133881752116755,0.065185,0.041931,54.0,10000
27,133881762116953,0.058167,0.037231,56.0,10000
28,133881772117420,0.052795,0.034241,54.0,10000
29,133881782117043,0.065796,0.042419,54.0,10000
30,133881792117010,0.052978,0.034302,55.0,10000
31,133881802117575,0.064453,0.041443,54.0,10000
32,133881812116676,0.058960,0.038086,54.0,10000
33,133881822117570,0.057800,0.037353,56.0,10000
34,133881832117062,0.054321,0.038879,54.0,10000
35,133881842117520,0.064575,0.037903,55.0,10000
36,133881852117287,0.058045,0.037659,54.0,10000
37,133881862117121,0.053710,0.034423,54.0,10000
38,133881872117261,0.064575,0.041626,56.0,10000
39,133881882117788,0.053223,0.034058,56.0,10000
40,133881892117081,0.062072,0.037658,54.0,10000
41,133881902116798,0.063233,0.040283,55.0,10000
42,133881912117104,0.058349,0.037415,55.0,10000
43,133881922116840,0.061157,0.039612,55.0,10000
44,133881932116564,0.057922,0.037353,54.0,10000
45,133881942117272,0.059082,0.038086,55.0,10000
46,133881952116940,0.059326,0.037964,54.0,10000
47,133881962116748,0.052552,0.033874,55.0,10000
48,133881972117166,0.063903,0.041138,54.0,10000
49,133881982116694,0.058289,0.037536,54.0,10000
50,133881992117924,0.059936,0.039185,55.0,10000
51,133882002117266,0.060242,0.039245,53.0,10000
52,133882012117100,0.061340,0.040466,54.0,10000
53,133882022116971,0.059692,0.039612,54.0,10000
54,133882032116893,0.061157,0.040405,54.0,10000
55,133882042117002,0.055237,0.036560,56.0,10000
56,133882052117146,0.065978,0.043823,54.0,10000
57,133882062116892,0.061097,0.040711,55.0,10000
58,133882072117310,0.060790,0.040283,54.0,10000
59,133882082117320,0.062195,0.040466,54.0,10000
60,133882092117506,0.058105,0.036316,54.0,10000
61,133882102116813,0.067871,0.044311,54.0,10000
62,133882112117276,0.060852,0.040161,54.0,10000
63,133882122116713,0.060913,0.039978,56.0,10000
64,133882132117253,0.062195,0.040650,56.0,10000
65,133882142117330,0.054626,0.035827,54.0,10000
