sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,78738915432659,0.058593,0.037537,53.0,10000
2,78738925429720,0.059509,0.038025,54.0,10000
3,78738935429133,0.057739,0.037109,55.0,10000
4,78738945429599,0.058533,0.037475,54.0,10000
5,78738955429908,0.059509,0.038025,55.0,10000
6,78738965429785,0.059204,0.038086,54.0,10000
7,78738975429980,0.059021,0.037598,54.0,10000
8,78738985429591,0.058654,0.037536,55.0,10000
9,78738995429824,0.058716,0.037720,54.0,10000
10,78739005429129,0.059265,0.037903,54.0,10000
11,78739015429219,0.058777,0.037719,54.0,10000
12,78739025429421,0.059082,0.037659,54.0,10000
13,78739035430441,0.059143,0.037780,54.0,10000
14,78739045429445,0.060058,0.038147,54.0,10000
15,78739055430284,0.058166,0.037110,54.0,10000
16,78739065429301,0.060181,0.038513,53.0,10000
17,78739075429617,0.061096,0.037170,54.0,10000
18,78739085430274,0.061767,0.037720,54.0,10000
19,78739095429956,0.058472,0.037292,54.0,10000
20,78739105429683,0.059631,0.038025,55.0,10000
21,78739115429286,0.059082,0.037597,54.0,10000
22,78739125430000,0.058533,0.037232,55.0,10000
23,78739135430223,0.059448,0.038025,54.0,10000
24,78739145429257,0.059326,0.037963,55.0,10000
25,78739155429601,0.057861,0.036926,54.0,10000
26,78739165430518,0.059265,0.037720,54.0,10000
27,78739175429589,0.059021,0.037598,56.0,10000
28,78739185429836,0.058654,0.037597,54.0,10000
29,78739195430979,0.059143,0.037537,54.0,10000
30,78739205429715,0.059937,0.038147,56.0,10000
31,78739215430555,0.058837,0.037475,54.0,10000
32,78739225431007,0.059082,0.037720,56.0,10000
33,78739235429846,0.058289,0.037475,55.0,10000
34,78739245429367,0.058959,0.037842,56.0,10000
35,78739255430007,0.058716,0.037720,56.0,10000
36,78739265430015,0.057617,0.037048,56.0,10000
37,78739275430173,0.061462,0.038025,56.0,10000
38,78739285429550,0.061585,0.037658,54.0,10000
39,78739295430120,0.058960,0.037476,54.0,10000
40,78739305429587,0.058959,0.037414,54.0,10000
41,78739315430568,0.059021,0.037598,53.0,10000
42,78739325430297,0.058594,0.037475,55.0,10000
43,78739335429586,0.059265,0.038086,56.0,10000
44,78739345430383,0.058715,0.037598,56.0,10000
