sample,timestamp_ns,cpu_package_energy_J,cores_energy_J,temperature_C,interval_us
1,4058414997730,0.061462,0.038879,56.0,10000
2,4058424995314,0.061950,0.039063,56.0,10000
3,4058434994705,0.061707,0.039184,56.0,10000
4,4058444994730,0.060974,0.038452,56.0,10000
5,4058454994883,0.061340,0.038636,56.0,10000
6,4058464994800,0.060669,0.038330,54.0,10000
7,4058474994794,0.062255,0.039733,56.0,10000
8,4058484995563,0.060791,0.038697,56.0,10000
9,4058494994860,0.060913,0.038391,55.0,10000
10,4058504994625,0.061463,0.038879,56.0,10000
11,4058514994801,0.060851,0.038391,56.0,10000
12,4058524994914,0.061524,0.038513,54.0,10000
13,4058534995004,0.061645,0.039123,56.0,10000
14,4058544995061,0.062744,0.038574,54.0,10000
15,4058554995192,0.064453,0.038697,56.0,10000
16,4058564994746,0.061767,0.038940,55.0,10000
17,4058574994677,0.062195,0.039368,56.0,10000
18,4058584994803,0.060791,0.038269,56.0,10000
19,4058594995194,0.062134,0.039062,56.0,10000
20,4058604995241,0.061401,0.038635,54.0,10000
21,4058614994573,0.061889,0.038879,56.0,10000
22,4058624995648,0.062439,0.039246,55.0,10000
23,4058634994849,0.061706,0.038879,56.0,10000
24,4058644994921,0.060425,0.037903,56.0,10000
25,4058654995061,0.062195,0.038940,55.0,10000
26,4058664994535,0.061340,0.038391,56.0,10000
27,4058674995765,0.063293,0.039795,54.0,10000
28,4058684994821,0.060059,0.037537,56.0,10000
29,4058694995171,0.062194,0.039123,54.0,10000
30,4058704995730,0.062317,0.039185,54.0,10000
31,4058714995238,0.061767,0.038940,54.0,10000
32,4058724994987,0.060913,0.038391,54.0,10000
33,4058734995185,0.060364,0.037964,54.0,10000
34,4058744995500,0.064209,0.039611,54.0,10000
35,4058754995522,0.064026,0.038208,56.0,10000
36,4058764995787,0.061889,0.038574,55.0,10000
37,4058774995425,0.061645,0.038819,56.0,10000
38,4058784995370,0.060913,0.038513,54.0,10000
39,4058794995475,0.061951,0.038940,54.0,10000
40,4058804995839,0.062317,0.039368,56.0,10000
41,4058814995135,0.061157,0.038452,57.0,10000
42,4058824994906,0.060729,0.038269,56.0,10000
43,4058834995000,0.062683,0.039855,55.0,10000
44,4058844994599,0.060181,0.037842,54.0,10000
45,4058854994323,0.061645,0.039185,56.0,10000
46,4058864994662,0.061768,0.038879,54.0,10000
47,4058874994842,0.061035,0.038574,54.0,10000
48,4058884995201,0.061523,0.039123,56.0,10000
49,4058894995303,0.061706,0.039063,56.0,10000
50,4058904995402,0.060059,0.037903,54.0,10000
51,4058914994922,0.062011,0.039062,54.0,10000
52,4058924995301,0.062317,0.039368,54.0,10000
53,4058934995439,0.061768,0.039062,54.0,10000
54,4058944995212,0.060668,0.038269,56.0,10000
55,4058954995024,0.061402,0.039123,56.0,10000
56,4058964995164,0.064514,0.038880,56.0,10000
57,4058974995965,0.065002,0.039917,55.0,10000
58,4058984994982,0.061157,0.038818,56.0,10000
59,4058994995705,0.061035,0.038452,54.0,10000
60,4059004995072,0.061157,0.039001,56.0,10000
61,4059014994914,0.061340,0.038757,56.0,10000
62,4059024995246,0.061340,0.038697,56.0,10000
63,4059034994773,0.061829,0.038940,56.0,10000
64,4059044995002,0.061462,0.038818,56.0,10000
65,4059054995348,0.060058,0.037903,56.0,10000
66,4059064995064,0.061463,0.038940,56.0,10000
67,4059074995116,0.061767,0.039368,54.0,10000
68,4059084995028,0.060669,0.038452,54.0,10000
69,4059094995317,0.061889,0.039429,55.0,10000
