file,algorithm,sign_ops_per_s,verify_ops_per_s,sign_dyn_pkg_mj_per_op,verify_dyn_pkg_mj_per_op,sign_dyn_cores_mj_per_op,verify_dyn_cores_mj_per_op
benchmark_log_dilithium_20260115_004300.txt,dilithium-Dilithium2,8770.56,23451.5,0.388,0.144,0.388,0.144
benchmark_log_dilithium_20260115_011100.txt,dilithium-Dilithium2,8785.27,23463.32,0.387,0.144,0.387,0.144
benchmark_log_dilithium_20260115_020700.txt,dilithium-Dilithium2,8707.36,23467.68,0.388,0.143,0.387,0.142
benchmark_log_dilithium_20260115_023500.txt,dilithium-Dilithium2,8807.68,23471.5,0.389,0.144,0.386,0.143
benchmark_log_dilithium_20260115_062831.txt,dilithium-Dilithium2,8777.92,23494.58,0.387,0.143,0.387,0.143
benchmark_log_dilithium_20260115_190349.txt,dilithium-Dilithium2,8803.31,23458.77,0.391,0.146,0.386,0.144
benchmark_log_dilithium_20260115_215632.txt,dilithium-Dilithium2,8827.77,23447.83,0.396,0.148,0.387,0.145
benchmark_log_dilithium_20260115_235305.txt,dilithium-Dilithium2,8833.9,23448.81,0.39,0.147,0.385,0.145
benchmark_log_dilithium_20260116_043358.txt,dilithium-Dilithium2,8811.0,23285.84,0.391,0.147,0.387,0.146
benchmark_log_dilithium_20260116_072628.txt,dilithium-Dilithium2,8788.72,23438.79,0.392,0.146,0.388,0.144
benchmark_log_dilithium_20260116_201538.txt,dilithium-Dilithium2,8771.15,23441.8,0.392,0.147,0.386,0.144
benchmark_log_dilithium_20260117_003229.txt,dilithium-Dilithium2,8791.33,23451.21,0.39,0.146,0.386,0.144
benchmark_log_dilithium_20260117_015629.txt,dilithium-Dilithium2,8765.9,23444.79,0.392,0.146,0.387,0.144
benchmark_log_dilithium_20260117_025243.txt,dilithium-Dilithium2,8779.37,23476.5,0.396,0.147,0.388,0.144
benchmark_log_dilithium_20260117_083814.txt,dilithium-Dilithium2,8732.69,23442.58,0.392,0.145,0.389,0.144
benchmark_log_dilithium_20260119_120134.txt,dilithium-Dilithium2,8782.38,23440.39,0.387,0.146,0.387,0.145
benchmark_log_dilithium_20260119_165105.txt,dilithium-Dilithium2,8825.35,23441.49,0.389,0.145,0.385,0.144
benchmark_log_dilithium_20260119_201152.txt,dilithium-Dilithium2,8803.57,23419.0,0.39,0.145,0.385,0.144
benchmark_log_dilithium_20260119_220822.txt,dilithium-Dilithium2,8741.5,23409.41,0.39,0.146,0.389,0.145
benchmark_log_dilithium_20260119_233249.txt,dilithium-Dilithium2,8729.02,23479.4,0.39,0.144,0.389,0.143
benchmark_log_ecdsa_20260114_231846.txt,ecdsa-P-256,23141.76,8210.36,0.124,0.335,0.123,0.33
benchmark_log_ecdsa_20260115_013900.txt,ecdsa-P-256,23135.24,8207.69,0.128,0.336,0.126,0.33
benchmark_log_ecdsa_20260115_053218.txt,ecdsa-P-256,23155.2,8212.06,0.123,0.335,0.122,0.331
benchmark_log_ecdsa_20260115_092110.txt,ecdsa-P-256,23139.5,8210.11,0.121,0.336,0.121,0.331
benchmark_log_ecdsa_20260115_120919.txt,ecdsa-P-256,23166.0,8214.47,0.119,0.334,0.119,0.332
benchmark_log_ecdsa_20260115_180319.txt,ecdsa-P-256,23133.87,8216.26,0.132,0.333,0.131,0.33
benchmark_log_ecdsa_20260115_212832.txt,ecdsa-P-256,23128.8,8205.03,0.129,0.339,0.128,0.333
