file,algorithm,sign_ops_per_s,verify_ops_per_s,sign_dyn_pkg_mj_per_op,verify_dyn_pkg_mj_per_op,sign_dyn_cores_mj_per_op,verify_dyn_cores_mj_per_op
benchmark_log_dilithium_20260117_161738.txt,dilithium-Dilithium3,5466.38,14321.56,0.634,0.245,0.62,0.24
benchmark_log_dilithium_20260117_222405.txt,dilithium-Dilithium3,5447.87,14331.93,0.627,0.239,0.624,0.237
benchmark_log_dilithium_20260117_232027.txt,dilithium-Dilithium3,5463.81,14322.46,0.629,0.239,0.621,0.237
benchmark_log_dilithium_20260117_234828.txt,dilithium-Dilithium3,5453.85,14325.82,0.628,0.237,0.623,0.237
benchmark_log_dilithium_20260118_001628.txt,dilithium-Dilithium3,5465.05,14337.13,0.629,0.24,0.62,0.237
benchmark_log_dilithium_20260118_060754.txt,dilithium-Dilithium3,5439.41,14298.79,0.636,0.243,0.624,0.239
benchmark_log_dilithium_20260118_113651.txt,dilithium-Dilithium3,5450.6,14301.06,0.637,0.242,0.623,0.238
benchmark_log_dilithium_20260118_145026.txt,dilithium-Dilithium3,5456.34,14337.48,0.627,0.238,0.619,0.236
benchmark_log_dilithium_20260118_161609.txt,dilithium-Dilithium3,5460.48,14298.05,0.635,0.242,0.622,0.238
benchmark_log_dilithium_20260118_171210.txt,dilithium-Dilithium3,5458.8,14324.29,0.647,0.243,0.623,0.236
benchmark_log_dilithium_20260118_182909.txt,dilithium-Dilithium3,5461.67,14312.27,0.649,0.242,0.621,0.237
benchmark_log_dilithium_20260118_195333.txt,dilithium-Dilithium3,5459.94,14358.11,0.629,0.238,0.619,0.234
benchmark_log_dilithium_20260118_205757.txt,dilithium-Dilithium3,5467.79,14328.42,0.637,0.242,0.621,0.237
benchmark_log_dilithium_20260119_040327.txt,dilithium-Dilithium3,5462.09,14340.46,0.611,0.238,0.617,0.235
benchmark_log_dilithium_20260119_055552.txt,dilithium-Dilithium3,5473.65,14335.1,0.634,0.24,0.618,0.235
benchmark_log_dilithium_20260120_110225.txt,dilithium-Dilithium3,5445.09,14301.6,0.635,0.243,0.623,0.238
benchmark_log_dilithium_20260120_122833.txt,dilithium-Dilithium3,5464.49,14330.51,0.632,0.24,0.622,0.237
benchmark_log_dilithium_20260120_170852.txt,dilithium-Dilithium3,5459.38,14333.3,0.643,0.244,0.625,0.237
